id,LambdaDensity,LinesOfCodeInClass,MethodReferenceDensity,NumberOfAccessorMethods,NumberOfLambdaExpressionsInClass,NumberOfMethodReferencesPerClass,NumberOfMethods,NumberOfMutatorMethods,NumberOfPublicFields,NumberOfPrivateFields,WeightedMethodsPerClass,WeightedMethodsPerClassWithoutAccessorAndMutatorMethods,WeightOfClass,NumberOfPublicMethods,ResponseForClass,NumberOfAnnotations,Age,Severity
295,0.0,35,0.0,0,0,0,1,0,0,1,6,6,1.0,1,22,0,1194,1
296,16.86046511627907,172,5.232558139534884,0,29,9,10,1,0,5,22,21,0.9,8,134,0,338,0
297,0.0,80,0.0,1,0,0,7,0,0,0,13,12,0.8571428571428571,4,31,0,3392,1
298,0.0,6,0.0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,747,0
299,0.0,18,0.0,1,0,0,2,0,0,1,2,1,0.5,2,4,0,961,0
300,0.0,10,0.0,0,0,0,1,0,0,0,2,2,1.0,1,2,0,400,0
301,0.0,57,0.0,4,0,0,9,0,0,2,11,7,0.5555555555555556,9,15,0,979,0
302,0.0,20,0.0,1,0,0,2,1,0,1,2,0,0.0,2,2,0,1570,0
303,0.0,20,0.0,0,0,0,8,0,1,0,8,8,1.0,8,8,0,2682,1
304,0.0,60,0.0,3,0,0,8,0,1,4,9,6,0.625,8,16,4,3143,0
305,0.0,338,0.0,1,0,0,7,0,1,18,68,67,0.8571428571428571,6,132,17,2766,1
306,0.0,91,0.0,8,0,0,12,0,1,5,16,7,0.3333333333333333,12,26,4,3115,0
307,0.0,9,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,3143,0
308,0.0,28,0.0,0,0,0,13,0,0,0,13,13,1.0,0,13,0,2120,0
309,0.0,981,0.0,5,0,0,32,2,0,4,168,161,0.78125,26,542,36,2682,2
310,0.0,357,0.0,0,0,0,22,0,0,4,57,57,1.0,5,165,0,1701,2
311,0.0,7,0.0,0,0,0,2,0,0,0,2,2,1.0,2,2,0,3477,0
312,0.0,197,0.0,18,0,0,27,1,0,16,28,9,0.2962962962962963,27,33,0,2647,0
313,0.0,30,0.0,0,0,0,2,0,0,2,3,3,1.0,2,13,0,2699,0
314,0.0,21,0.0,0,0,0,1,0,0,0,3,3,1.0,0,4,0,4215,0
315,0.0,54,0.0,0,0,0,2,0,0,0,10,10,1.0,2,22,0,2699,2
316,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,4088,0
317,0.0,24,0.0,0,0,0,2,0,0,0,4,4,1.0,0,13,0,4373,0
318,1.2195121951219512,82,1.2195121951219512,3,1,1,9,0,0,4,18,15,0.6666666666666666,1,37,0,40,0
319,0.0,47,0.0,1,0,0,5,0,0,3,6,5,0.8,5,13,0,1858,0
320,0.0,20,0.0,0,0,0,3,0,0,1,4,4,1.0,3,6,0,1840,0
321,0.0,65,0.0,0,0,0,3,0,1,1,15,15,1.0,3,21,0,1858,0
322,0.0,15,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,4649,0
323,0.0,153,0.0,4,0,0,13,0,0,3,50,45,0.6923076923076923,13,28,0,1858,0
324,0.0,19,0.0,0,0,0,1,0,0,0,5,5,1.0,1,11,0,367,0
325,0.0,29,0.0,0,0,0,3,0,0,0,3,3,1.0,3,7,0,3879,0
326,0.0,202,0.0,11,0,0,20,0,1,12,30,19,0.45,20,52,0,1673,0
327,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,1867,0
328,0.0,19,0.0,0,0,0,1,0,0,0,3,3,1.0,1,9,0,1101,0
329,0.0,104,0.0,1,0,0,6,0,0,4,15,14,0.8333333333333334,5,50,0,1076,1
330,0.0,32,0.0,1,0,0,3,0,0,2,5,4,0.6666666666666666,3,12,0,1922,0
331,0.0,20,0.0,0,0,0,1,0,0,3,2,2,1.0,1,6,0,984,0
332,0.0,69,0.0,2,0,0,6,0,0,0,18,16,0.6666666666666666,5,18,0,1867,0
333,0.0,738,0.0,15,0,0,52,5,6,10,166,146,0.6153846153846154,50,146,0,1867,0
334,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,893,0
335,0.0,41,0.0,0,0,0,2,0,0,0,7,7,1.0,2,16,0,3025,0
336,0.0,30,0.0,3,0,0,4,0,0,1,4,1,0.25,4,5,0,1430,0
337,0.0,83,0.0,0,0,0,2,0,0,0,16,16,1.0,2,28,0,3853,1
338,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,3853,0
339,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,3853,0
340,0.0,7,0.0,0,0,0,1,0,0,0,1,1,1.0,1,2,0,605,0
341,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,532,0
342,0.0,30,0.0,0,0,0,4,0,0,0,4,4,1.0,4,23,0,1016,0
343,0.0,80,0.0,0,0,0,3,0,0,1,18,18,1.0,0,66,0,1424,1
344,0.0,28,0.0,0,0,0,2,0,0,1,3,3,1.0,2,12,0,3853,0
345,0.0,27,0.0,0,0,0,3,0,0,0,4,4,1.0,2,10,0,3853,0
346,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,2201,0
347,0.0,108,0.0,1,0,0,5,0,0,2,21,20,0.8,4,14,0,2157,0
348,0.0,28,0.0,0,0,0,3,0,1,0,3,3,1.0,2,7,0,2507,0
349,0.0,48,0.0,4,0,0,5,0,1,4,5,1,0.2,5,8,0,632,0
350,0.0,124,0.0,6,0,0,20,2,1,1,30,18,0.6,19,20,0,4066,1
351,0.0,47,0.0,0,0,0,7,0,0,1,8,8,1.0,7,28,0,2945,0
352,0.0,51,0.0,0,0,0,1,0,0,4,7,7,1.0,1,15,0,2613,1
353,0.0,33,0.0,0,0,0,1,0,2,1,12,12,1.0,1,27,0,2475,1
354,0.0,99,0.0,0,0,0,3,0,0,6,18,18,1.0,3,26,0,1542,0
355,0.0,26,0.0,0,0,0,0,0,7,0,0,0,0.0,0,0,0,2087,0
356,0.0,56,0.0,0,0,0,3,0,2,3,8,8,1.0,1,28,0,562,0
357,0.0,38,0.0,2,0,0,3,1,0,2,5,0,0.0,2,8,0,1481,0
358,0.0,19,0.0,0,0,0,2,0,0,1,4,4,1.0,1,5,0,1878,0
359,0.0,135,0.0,3,0,0,10,0,0,6,21,18,0.7,0,23,0,1705,0
360,0.0,24,0.0,3,0,0,3,0,0,2,3,0,0.0,3,5,0,1878,0
361,0.0,103,0.0,3,0,0,8,0,0,2,15,12,0.625,7,36,2,718,0
362,0.0,78,0.0,1,0,0,5,0,0,8,8,7,0.8,5,26,3,1878,2
363,0.0,164,0.0,0,0,0,7,0,0,9,26,26,1.0,0,56,9,1056,0
364,0.0,17,0.0,1,0,0,3,0,0,0,3,2,0.6666666666666666,3,7,0,4543,0
365,0.0,259,0.0,9,0,0,32,7,0,3,65,45,0.5,29,88,0,4507,2
366,0.0,16,0.0,0,0,0,6,0,0,0,6,6,1.0,0,7,0,4592,0
367,0.0,10,0.0,0,0,0,4,0,0,0,4,4,1.0,0,4,0,5143,0
368,0.0,15,0.0,0,0,0,1,0,0,0,4,4,1.0,1,1,0,5143,0
369,0.0,79,0.0,0,0,0,7,0,1,0,13,13,1.0,5,31,0,4067,0
370,0.0,242,0.0,2,0,0,23,0,0,4,47,45,0.9130434782608696,19,66,0,2176,0
371,0.0,41,0.0,1,0,0,4,0,2,0,7,6,0.75,4,7,0,2044,0
372,0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,452,0
373,0.0,33,0.0,0,0,0,2,0,0,0,6,6,1.0,2,6,0,2917,0
374,0.0,17,0.0,0,0,0,1,0,0,0,1,1,1.0,0,7,0,670,0
375,0.0,34,0.0,2,0,0,5,1,0,2,6,3,0.4,5,5,0,4491,0
376,0.0,61,0.0,1,0,0,6,0,0,3,9,8,0.8333333333333334,6,21,0,5060,0
377,0.0,51,0.0,2,0,0,4,1,0,2,7,2,0.25,3,12,0,4560,0
378,0.0,7,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,2340,0
379,0.0,31,0.0,0,0,0,3,0,0,0,5,5,1.0,3,7,0,165,0
380,0.0,48,0.0,3,0,0,7,2,0,1,7,2,0.2857142857142857,7,10,0,555,0
381,0.0,125,0.0,1,0,0,7,1,1,9,20,18,0.7142857142857143,7,15,0,1337,0
382,0.0,23,0.0,0,0,0,1,0,0,0,5,5,1.0,1,22,0,728,0
383,0.0,59,0.0,1,0,0,3,0,1,3,6,5,0.6666666666666666,3,26,2,1174,0
384,0.0,23,0.0,0,0,0,7,0,0,0,7,7,1.0,0,7,0,1045,0
385,0.0,23,0.0,0,0,0,3,0,0,0,5,5,1.0,2,21,0,707,0
386,0.1342281879194631,745,0.0,31,1,0,73,10,0,5,114,73,0.4383561643835616,54,232,0,2912,0
387,0.0,9,0.0,0,0,0,1,0,0,1,1,1,1.0,1,1,0,2565,0
388,0.0,30,0.0,1,0,0,4,0,1,2,4,3,0.75,4,4,0,2573,0
389,0.0,142,0.0,0,0,0,8,0,0,2,26,26,1.0,5,151,0,2137,0
390,0.0,71,0.0,2,0,0,5,0,1,9,14,12,0.6,5,16,1,2573,0
391,0.0,14,0.0,0,0,0,6,0,0,0,6,6,1.0,6,6,0,3046,0
392,0.0,8,0.0,0,0,0,3,0,0,0,3,3,1.0,0,3,0,742,0
393,0.0,21,0.0,0,0,0,1,0,0,0,3,3,1.0,1,4,0,1804,0
394,0.0,80,0.0,2,0,0,7,0,0,8,11,9,0.7142857142857143,7,22,0,2324,0
395,0.0,17,0.0,0,0,0,2,0,0,1,3,3,1.0,1,12,0,822,0
396,0.0,19,0.0,2,0,0,2,0,0,2,2,0,0.0,2,2,0,1892,0
397,0.0,15,0.0,0,0,0,6,0,0,0,6,6,1.0,0,6,0,1726,0
398,0.0,114,0.0,0,0,0,9,0,0,1,25,25,1.0,7,133,0,2516,2
399,0.0,49,0.0,1,0,0,6,0,0,2,9,8,0.8333333333333334,4,16,0,183,0
400,0.0,41,0.0,1,0,0,4,0,2,0,5,4,0.75,4,13,0,2044,0
401,0.0,14,0.0,0,0,0,1,0,0,0,1,1,1.0,1,13,0,2508,0
402,0.0,6,0.0,0,0,0,1,0,0,0,1,1,1.0,1,2,0,1862,0
403,0.0,16,0.0,0,0,0,2,0,0,0,2,2,1.0,2,4,0,2119,0
404,0.0,9,0.0,0,0,0,2,0,0,0,2,2,1.0,2,4,0,3638,0
405,0.0,103,0.0,0,0,0,9,1,0,5,19,17,0.8888888888888888,8,31,0,3638,1
406,0.0,25,0.0,0,0,0,1,0,0,0,3,3,1.0,1,3,0,4443,0
407,0.0,21,0.0,0,0,0,1,0,0,1,2,2,1.0,1,4,0,582,0
408,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,4443,0
409,0.0,57,0.0,3,0,0,9,0,0,2,13,10,0.6666666666666666,8,12,0,1533,0
410,0.0,44,0.0,1,0,0,3,0,0,3,7,6,0.6666666666666666,3,10,0,4443,0
411,0.0,25,0.0,0,0,0,3,0,0,1,3,3,1.0,2,7,0,313,0
412,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2577,0
413,0.0,10,0.0,0,0,0,4,0,0,0,4,4,1.0,0,4,0,1217,0
414,0.0,19,0.0,1,0,0,1,0,3,1,1,0,0.0,1,1,0,3885,0
415,0.0,56,0.0,4,0,0,8,2,0,2,8,2,0.25,7,8,0,6529,0
416,0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,3482,0
417,0.0,8,0.0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,6109,0
418,0.0,19,0.0,0,0,0,1,0,1,2,2,2,1.0,0,1,0,4321,0
419,0.0,34,0.0,0,0,0,2,0,0,0,6,6,1.0,2,21,0,2700,0
420,0.0,14,0.0,1,0,0,1,0,0,2,1,0,0.0,1,1,0,2638,0
421,0.0,41,0.0,4,0,0,5,0,0,2,7,3,0.2,5,15,0,580,0
422,0.0,200,0.0,1,0,0,32,0,0,1,60,59,0.96875,31,32,0,1809,1
423,0.0,8,0.0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,4801,0
424,0.0,124,0.0,3,0,0,11,0,0,3,24,21,0.7272727272727273,9,18,0,5313,0
425,0.0,35,0.0,0,0,0,2,0,0,1,6,6,1.0,1,19,0,3985,0
426,0.0,348,0.0,0,0,0,21,0,0,2,80,80,1.0,2,173,0,3985,1
427,1.7857142857142858,56,0.0,0,1,0,4,0,0,1,9,9,1.0,0,34,0,816,0
428,0.0,17,0.0,0,0,0,2,0,0,1,2,2,1.0,2,5,0,955,0
429,0.0,60,0.0,0,0,0,2,0,10,1,9,9,1.0,2,25,0,726,0
430,0.0,57,0.0,1,0,0,10,0,0,1,10,9,0.9,10,19,0,955,0
431,0.0,40,0.0,2,0,0,4,0,0,2,7,5,0.5,4,12,0,623,0
432,0.0,18,0.0,0,0,0,1,0,0,0,5,5,1.0,0,7,0,955,0
433,0.0,231,0.0,3,0,0,25,0,0,3,53,50,0.88,25,122,0,1024,0
434,0.0,28,0.0,0,0,0,1,0,0,1,4,4,1.0,1,6,0,2073,0
435,0.0,15,0.0,0,0,0,2,0,0,0,3,3,1.0,2,7,0,214,0
436,0.0,10,0.0,0,0,0,4,0,0,0,4,4,1.0,4,4,0,480,0
437,0.0,74,0.0,1,0,0,1,0,24,0,1,0,0.0,1,1,3,1846,0
438,0.0,31,0.0,1,0,0,2,0,0,1,5,4,0.5,2,9,0,309,0
439,0.0,47,0.0,1,0,0,3,1,0,4,8,6,0.3333333333333333,3,14,0,1786,0
440,0.0,16,0.0,0,0,0,2,0,0,0,2,2,1.0,2,2,2,1437,0
441,0.0,19,0.0,0,0,0,2,0,0,2,2,2,1.0,2,7,0,2390,0
442,0.0,10,0.0,0,0,0,4,0,0,0,4,4,1.0,4,4,0,2460,0
443,0.0,12,0.0,0,0,0,5,0,0,0,5,5,1.0,0,5,0,2341,0
444,0.0,246,0.0,2,0,0,15,2,10,10,35,31,0.7333333333333333,9,63,0,2397,1
445,0.0,9,0.0,0,0,0,1,0,0,1,1,1,1.0,1,5,0,1463,0
446,0.0,77,0.0,4,0,0,8,0,4,5,11,7,0.5,7,15,9,566,0
447,0.0,191,0.0,4,0,0,13,2,0,11,31,23,0.5384615384615384,9,48,0,1623,1
448,0.0,10,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,4744,0
449,0.0,71,0.0,5,0,0,9,0,0,5,13,8,0.4444444444444444,5,22,0,2206,0
450,0.0,134,0.0,0,0,0,18,0,2,1,26,26,1.0,18,145,0,2187,1
451,0.0,20,0.0,0,0,0,0,0,3,0,0,0,0.0,0,0,2,574,0
452,0.0,306,0.0,0,0,0,7,0,0,13,49,49,1.0,6,137,0,2195,2
453,0.0,51,0.0,7,0,0,7,0,0,6,7,0,0.0,7,7,0,653,0
454,0.0,8,0.0,0,0,0,3,0,0,0,3,3,1.0,0,3,0,2360,0
455,0.0,60,0.0,2,0,0,11,1,0,3,11,8,0.7272727272727273,11,31,0,3791,0
456,0.0,18,0.0,0,0,0,3,0,0,0,3,3,1.0,0,9,0,2302,0
457,0.0,116,0.0,3,0,0,13,0,0,4,17,14,0.7692307692307693,13,19,0,969,0
458,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,2831,0
459,0.0,52,0.0,0,0,0,9,0,0,1,11,11,1.0,9,12,0,1243,0
460,0.0,10,0.0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,754,0
461,1.492537313432836,67,0.0,4,1,0,10,0,1,2,10,6,0.6,10,14,0,2559,0
462,0.0,3,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2797,0
463,0.0,16,0.0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,3018,0
464,0.0,77,0.0,0,0,0,17,0,1,0,17,17,1.0,5,47,0,5492,0
465,0.0,12,0.0,1,0,0,2,0,0,0,2,1,0.5,2,2,0,3018,0
466,0.0,37,0.0,0,0,0,2,0,1,1,5,5,1.0,2,13,1,500,0
467,0.0,19,0.0,1,0,0,3,0,0,1,3,2,0.6666666666666666,3,5,0,1068,0
468,0.0,57,0.0,2,0,0,3,0,0,1,13,11,0.3333333333333333,3,12,0,2646,0
469,0.0,12,0.0,0,0,0,5,0,0,0,5,5,1.0,0,5,0,5135,0
470,0.0,19,0.0,2,0,0,2,0,0,2,2,0,0.0,2,2,0,784,0
471,0.0,71,0.0,6,0,0,9,0,3,0,9,3,0.3333333333333333,9,16,0,1047,0
472,0.0,12,0.0,0,0,0,5,0,0,0,5,5,1.0,0,5,0,4686,0
473,0.0,15,0.0,0,0,0,1,0,0,1,2,2,1.0,1,6,0,931,0
474,0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,2,2,0,3457,0
475,0.0,129,0.0,0,0,0,5,0,0,5,28,28,1.0,0,36,0,220,0
476,0.0,154,0.0,0,0,0,2,0,0,0,33,33,1.0,2,66,0,2326,0
477,0.0,17,0.0,0,0,0,1,0,0,0,1,1,1.0,1,27,0,1135,0
478,0.0,42,0.0,4,0,0,5,0,0,2,5,1,0.2,5,10,0,732,0
479,0.0,75,0.0,2,0,0,7,2,0,3,14,10,0.4285714285714285,7,14,0,144,0
480,5.882352941176471,17,0.0,1,1,0,2,0,0,0,2,1,0.5,2,2,0,212,0
481,0.0,49,0.0,3,0,0,4,0,1,5,6,3,0.25,4,8,0,632,0
482,0.0,11,0.0,0,0,0,2,0,0,0,2,2,1.0,1,2,0,2967,0
483,0.0,72,0.0,3,0,0,7,0,0,2,13,10,0.5714285714285714,7,21,0,1424,0
484,0.0,35,0.0,5,0,0,7,0,0,0,7,2,0.2857142857142857,7,7,0,1139,0
485,0.0,66,0.0,2,0,0,7,1,0,3,12,8,0.5714285714285714,7,10,0,3073,0
486,0.0,25,0.0,1,0,0,4,0,0,1,4,3,0.75,4,4,0,2737,0
487,0.0,28,0.0,3,0,0,3,0,0,3,3,0,0.0,3,3,0,616,0
488,0.0,15,0.0,0,0,0,1,0,0,0,1,1,1.0,1,10,0,3644,0
489,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,3025,0
490,0.0,4,0.0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,2726,0
491,0.0,85,0.0,0,0,0,12,0,0,0,22,22,1.0,12,40,0,4129,1
492,0.0,16,0.0,0,0,0,1,0,0,2,1,1,1.0,1,2,0,2340,0
493,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,4552,0
494,0.0,14,0.0,1,0,0,2,0,0,1,2,1,0.5,2,2,0,2914,0
495,0.0,21,0.0,0,0,0,1,0,0,1,2,2,1.0,1,7,0,4179,0
496,0.0,45,0.0,3,0,0,7,3,0,4,8,2,0.1428571428571428,7,7,0,3272,0
497,0.0,39,0.0,0,0,0,3,0,0,2,5,5,1.0,0,11,0,1031,0
498,0.0,27,0.0,1,0,0,2,0,2,1,2,1,0.5,2,6,0,191,0
499,0.0,62,0.0,0,0,0,1,0,0,0,15,15,1.0,1,22,0,2187,0
500,0.0,182,0.0,0,0,0,9,0,0,6,37,37,1.0,8,65,0,2928,1
501,0.0,120,0.0,8,0,0,10,0,0,9,12,4,0.2,10,31,0,233,0
502,0.0,26,0.0,0,0,0,2,0,0,3,2,2,1.0,1,7,0,1713,0
503,0.0,132,0.0,2,0,0,11,0,0,4,29,27,0.8181818181818182,1,34,0,2784,1
504,0.0,98,0.0,7,0,0,12,3,0,9,14,4,0.1666666666666666,12,15,0,2383,1
505,0.0,59,0.0,2,0,0,12,0,2,0,15,13,0.8333333333333334,11,16,0,2113,0
506,0.0,37,0.0,0,0,0,1,0,0,7,2,2,1.0,1,6,0,3356,0
507,0.0,18,0.0,1,0,0,2,0,0,1,2,1,0.5,2,4,0,665,0
508,0.0,236,0.0,17,0,0,35,16,0,20,40,7,0.0571428571428571,35,39,33,2380,0
509,0.0,66,0.0,1,0,0,11,1,0,4,11,9,0.8181818181818182,11,23,0,3598,0
510,0.0,12,0.0,0,0,0,1,0,0,0,1,1,1.0,1,10,0,930,0
511,0.0,8,0.0,0,0,0,3,0,0,0,3,3,1.0,3,3,0,1082,0
512,0.0,26,0.0,0,0,0,1,0,0,2,3,3,1.0,1,15,0,531,0
513,0.0,82,0.0,0,0,0,4,0,0,4,15,15,1.0,0,68,0,1634,1
514,0.0,35,2.857142857142857,0,0,1,4,0,0,3,4,4,1.0,2,16,0,1128,0
515,0.0,47,0.0,2,0,0,7,2,0,4,8,4,0.4285714285714285,7,18,0,1396,0
516,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,218,0
517,0.0,49,0.0,2,0,0,6,0,0,2,8,6,0.6666666666666666,6,16,1,1848,0
518,0.0,126,0.0,0,0,0,2,0,0,0,14,14,1.0,2,68,0,2743,0
519,0.0,12,0.0,0,0,0,5,0,0,0,5,5,1.0,0,5,0,2022,0
520,0.0,116,0.0,3,0,0,10,0,0,7,22,19,0.7,10,28,0,1720,0
521,0.0,10,0.0,0,0,0,4,0,0,0,4,4,1.0,0,4,0,1135,0
522,0.0,12,0.0,1,0,0,2,0,0,0,2,1,0.5,2,3,0,1190,0
523,0.0,10,0.0,0,0,0,4,0,0,0,4,4,1.0,4,4,0,2823,0
524,0.0,43,0.0,4,0,0,6,2,0,2,6,0,0.0,6,7,0,3803,0
525,0.0,452,0.0,8,0,0,40,1,3,8,98,89,0.775,37,98,2,2255,1
526,0.0,9,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,1115,0
527,0.0,33,0.0,3,0,0,4,0,0,0,7,4,0.25,2,5,0,2726,0
528,0.0,37,0.0,0,0,0,2,0,4,0,5,5,1.0,0,20,0,690,0
529,0.0,60,0.0,0,0,0,1,0,0,0,1,1,1.0,1,81,0,4724,0
530,0.0,16,0.0,0,0,0,1,0,0,0,1,1,1.0,1,2,0,431,0
531,0.0,132,0.0,5,0,0,18,1,0,2,26,20,0.6666666666666666,15,29,0,567,1
532,0.0,111,0.0,4,0,0,12,0,0,1,20,16,0.6666666666666666,11,29,0,1567,1
533,0.0,30,0.0,1,0,0,2,0,0,2,3,2,0.5,2,7,0,2923,0
534,0.0,337,0.0,7,0,0,33,1,1,8,66,58,0.7575757575757576,30,69,1,2743,0
535,0.0,7,0.0,0,0,0,1,0,0,0,1,1,1.0,1,6,0,14,0
536,0.0,24,0.0,1,0,0,6,0,0,1,6,5,0.8333333333333334,6,6,0,486,0
537,0.0,59,0.0,3,0,0,6,0,0,0,8,5,0.5,6,10,0,1155,0
538,0.0,7,0.0,0,0,0,1,0,0,0,1,1,1.0,1,3,0,148,0
539,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,218,0
540,0.0,330,0.0,1,0,0,20,0,0,4,72,71,0.95,6,162,0,4347,2
541,0.0,37,0.0,1,0,0,3,0,0,2,10,9,0.6666666666666666,2,9,0,431,0
542,0.0,29,0.0,0,0,0,5,0,0,0,6,6,1.0,5,9,0,3467,0
543,0.0,15,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,2994,0
544,0.0,35,0.0,1,0,0,4,0,2,0,4,3,0.75,4,5,0,1023,0
545,0.0,141,0.0,0,0,0,6,1,0,5,30,26,0.8333333333333334,3,45,0,381,0
546,0.0,13,0.0,0,0,0,5,0,0,0,5,5,1.0,0,5,0,4552,0
547,0.0,30,0.0,1,0,0,1,0,0,1,1,0,0.0,1,1,0,431,0
548,0.0,56,0.0,2,0,0,7,0,1,2,8,6,0.7142857142857143,6,25,2,1042,0
549,0.0,781,0.0,0,0,0,3,0,34,113,7,7,1.0,2,515,127,1135,2
550,0.0,3,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2232,0
551,0.0,7,0.0,0,0,0,2,0,0,0,2,2,1.0,2,2,0,1529,0
552,0.0,9,0.0,1,0,0,1,0,0,1,1,0,0.0,1,1,0,2841,0
553,0.0,47,0.0,0,0,0,1,0,0,2,11,11,1.0,1,12,2,1185,0
554,0.0,131,0.0,0,0,0,5,0,0,0,6,6,1.0,5,123,0,588,1
555,0.0,170,0.0,1,0,0,20,0,0,6,20,19,0.95,14,30,0,21,1
556,0.0,58,0.0,0,0,0,7,0,0,2,9,9,1.0,6,14,0,165,0
557,0.0,30,0.0,0,0,0,3,0,0,1,5,5,1.0,3,7,0,1262,0
558,0.0,205,0.0,1,0,0,26,0,0,0,31,30,0.9615384615384616,12,104,0,1361,1
559,0.0,92,0.0,14,0,0,16,0,0,0,18,4,0.125,16,19,0,589,0
560,0.0,26,0.0,0,0,0,3,1,0,0,3,2,0.6666666666666666,2,9,0,3295,0
561,0.0,45,0.0,5,0,0,7,2,0,1,7,0,0.0,7,9,0,4130,0
562,0.0,193,0.0,2,0,0,13,0,3,2,30,28,0.8461538461538461,7,107,0,392,1
563,0.0,10,0.0,0,0,0,2,0,0,0,2,2,1.0,2,2,0,1882,0
564,0.0,23,0.0,2,0,0,4,2,0,2,4,0,0.0,4,4,0,814,0
565,0.0,23,0.0,2,0,0,4,0,0,0,4,2,0.5,4,5,0,233,0
566,0.0,60,0.0,0,0,0,5,0,7,0,7,7,1.0,5,15,0,6378,0
567,1.2987012987012987,77,0.0,0,1,0,4,0,0,4,14,14,1.0,4,30,0,263,0
568,0.0,255,0.0,3,0,0,24,0,0,8,37,34,0.875,18,146,0,1101,1
569,0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,362,0
570,0.0,89,0.0,0,0,0,3,0,0,3,23,23,1.0,3,52,0,830,0
571,0.0,31,0.0,1,0,0,3,0,0,0,6,5,0.6666666666666666,2,4,1,2185,0
572,0.0,71,0.0,0,0,0,34,0,0,0,34,34,1.0,0,34,0,2459,0
573,0.0,3,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1761,0
574,0.0,31,0.0,2,0,0,4,2,0,2,4,0,0.0,4,4,0,88,0
575,0.0,75,0.0,12,0,0,12,0,0,12,12,0,0.0,12,36,0,632,0
576,0.0,23,0.0,0,0,0,3,0,0,1,3,3,1.0,3,3,0,2774,0
577,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,2726,0
578,0.0,28,0.0,2,0,0,3,0,0,2,3,1,0.3333333333333333,3,8,0,649,0
579,0.0,30,0.0,1,0,0,4,3,0,3,4,0,0.0,4,4,0,1610,0
580,0.0,57,0.0,5,0,0,8,0,0,4,8,3,0.375,8,16,0,2225,0
581,0.0,10,0.0,0,0,0,1,0,0,0,1,1,1.0,1,3,0,4129,0
582,0.0,33,0.0,0,0,0,5,0,0,1,6,6,1.0,4,6,0,276,0
583,1.9047619047619049,105,1.9047619047619049,0,2,2,16,0,0,0,27,27,1.0,16,77,0,2164,0
584,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,5536,0
585,0.0,21,0.0,2,0,0,3,1,0,1,3,0,0.0,3,3,0,576,0
586,0.0,94,0.0,0,0,0,6,0,0,0,12,12,1.0,4,29,0,157,0
587,0.0,24,0.0,0,0,0,1,0,0,3,1,1,1.0,1,2,2,218,0
588,0.0,101,0.0,0,0,0,5,0,0,7,20,20,1.0,3,24,0,1992,0
589,0.0,41,0.0,0,0,0,3,1,0,6,3,2,0.6666666666666666,3,16,0,823,0
590,0.0,23,0.0,0,0,0,10,0,0,0,10,10,1.0,0,10,0,653,0
591,0.0,24,0.0,0,0,0,1,0,0,3,1,1,1.0,1,2,2,218,0
592,0.0,73,0.0,8,0,0,11,0,0,1,16,8,0.2727272727272727,11,28,0,3279,0
593,0.0,20,0.0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,3356,0
594,0.0,372,0.0,4,0,0,28,3,0,17,49,41,0.75,8,70,0,5068,0
