id,LambdaDensity,LinesOfCodeInClass,MethodReferenceDensity,NumberOfAccessorMethods,NumberOfLambdaExpressionsInClass,NumberOfMethodReferencesPerClass,NumberOfMethods,NumberOfMutatorMethods,NumberOfPublicFields,NumberOfPrivateFields,WeightedMethodsPerClass,WeightedMethodsPerClassWithoutAccessorAndMutatorMethods,WeightOfClass,NumberOfPublicMethods,ResponseForClass,NumberOfAnnotations,AverageNumberOfModifiedLines,Severity
276,0.0,785,0.0,13,0,0,78,7,0,10,161,136,0.7435897435897436,71,219,0,14331.111111111111,1
277,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,1613.126984126984,0
278,0.0,81,0.0,7,0,0,14,7,0,7,14,0,0.0,14,16,5,79.63636363636364,0
279,0.0,7,0.0,0,0,0,1,0,0,0,1,1,1.0,1,1,0,15.0,0
280,0.0,5,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,28.0,0
281,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,16.5,0
282,0.0,40,0.0,0,0,0,2,0,0,2,8,8,1.0,2,15,0,41.77777777777778,0
283,0.0,59,0.0,0,0,0,3,0,2,3,7,7,1.0,2,32,0,27.125,0
284,0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,9.25,0
285,0.0,30,0.0,0,0,0,2,0,0,2,3,3,1.0,2,12,0,1613.126984126984,0
286,0.0,25,0.0,0,0,0,2,0,0,1,3,3,1.0,1,19,1,11.846153846153848,0
287,0.0,183,0.0,11,0,0,31,0,0,2,34,23,0.6451612903225806,30,36,0,46.583333333333336,0
288,0.0,18,0.0,0,0,0,2,0,0,1,2,2,1.0,2,4,0,10.25,0
289,0.0,13,0.0,1,0,0,2,1,0,1,2,0,0.0,2,2,0,13.375,0
290,0.0,33,0.0,4,0,0,5,0,0,1,5,1,0.2,5,5,0,253.0,0
291,0.0,44,0.0,0,0,0,2,0,0,1,8,8,1.0,1,17,0,52.74468085106383,0
292,0.0,44,0.0,4,0,0,8,4,0,4,8,0,0.0,8,8,1,36.0,0
293,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,6.222222222222222,0
294,0.0,86,0.0,0,0,0,1,0,0,1,15,15,1.0,1,43,0,13.590909090909092,0
295,0.0,35,0.0,0,0,0,1,0,0,1,6,6,1.0,1,22,0,43.5,1
296,16.86046511627907,172,5.232558139534884,0,29,9,10,1,0,5,22,21,0.9,8,134,0,161.5,0
297,0.0,80,0.0,1,0,0,7,0,0,0,13,12,0.8571428571428571,4,31,0,35.25,1
298,0.0,6,0.0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,12.0,0
299,0.0,18,0.0,1,0,0,2,0,0,1,2,1,0.5,2,4,0,28.428571428571427,0
300,0.0,10,0.0,0,0,0,1,0,0,0,2,2,1.0,1,2,0,14.75,0
301,0.0,57,0.0,4,0,0,9,0,0,2,11,7,0.5555555555555556,9,15,0,41.0,0
302,0.0,20,0.0,1,0,0,2,1,0,1,2,0,0.0,2,2,0,13.444444444444445,0
303,0.0,20,0.0,0,0,0,8,0,1,0,8,8,1.0,8,8,0,14.61111111111111,1
304,0.0,60,0.0,3,0,0,8,0,1,4,9,6,0.625,8,16,4,13.767441860465116,0
305,0.0,338,0.0,1,0,0,7,0,1,18,68,67,0.8571428571428571,6,132,17,32.175,1
306,0.0,91,0.0,8,0,0,12,0,1,5,16,7,0.3333333333333333,12,26,4,13.79245283018868,0
307,0.0,9,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,14.0,0
308,0.0,28,0.0,0,0,0,13,0,0,0,13,13,1.0,0,13,0,15.571428571428571,0
309,0.0,981,0.0,5,0,0,32,2,0,4,168,161,0.78125,26,542,36,51.69230769230769,2
310,0.0,357,0.0,0,0,0,22,0,0,4,57,57,1.0,5,165,0,123.66666666666669,2
311,0.0,7,0.0,0,0,0,2,0,0,0,2,2,1.0,2,2,0,4.0,0
312,0.0,197,0.0,18,0,0,27,1,0,16,28,9,0.2962962962962963,27,33,0,41.41463414634146,0
313,0.0,30,0.0,0,0,0,2,0,0,2,3,3,1.0,2,13,0,4740.923076923077,0
314,0.0,21,0.0,0,0,0,1,0,0,0,3,3,1.0,0,4,0,40.63076923076923,0
315,0.0,54,0.0,0,0,0,2,0,0,0,10,10,1.0,2,22,0,4740.923076923077,2
316,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,128.75675675675674,0
317,0.0,24,0.0,0,0,0,2,0,0,0,4,4,1.0,0,13,0,9.46341463414634,0
318,1.2195121951219512,82,1.2195121951219512,3,1,1,9,0,0,4,18,15,0.6666666666666666,1,37,0,196.0,0
319,0.0,47,0.0,1,0,0,5,0,0,3,6,5,0.8,5,13,0,22.403846153846157,0
320,0.0,20,0.0,0,0,0,3,0,0,1,4,4,1.0,3,6,0,8.777777777777779,0
321,0.0,65,0.0,0,0,0,3,0,1,1,15,15,1.0,3,21,0,12.428571428571429,0
322,0.0,15,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,14.375,0
323,0.0,153,0.0,4,0,0,13,0,0,3,50,45,0.6923076923076923,13,28,0,82.875,0
324,0.0,19,0.0,0,0,0,1,0,0,0,5,5,1.0,1,11,0,164.77777777777777,0
325,0.0,29,0.0,0,0,0,3,0,0,0,3,3,1.0,3,7,0,161.6,0
326,0.0,202,0.0,11,0,0,20,0,1,12,30,19,0.45,20,52,0,37.63636363636363,0
327,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,7273.413265306122,0
328,0.0,19,0.0,0,0,0,1,0,0,0,3,3,1.0,1,9,0,47.02702702702703,0
329,0.0,104,0.0,1,0,0,6,0,0,4,15,14,0.8333333333333334,5,50,0,158.0,1
330,0.0,32,0.0,1,0,0,3,0,0,2,5,4,0.6666666666666666,3,12,0,16.4,0
331,0.0,20,0.0,0,0,0,1,0,0,3,2,2,1.0,1,6,0,13.285714285714286,0
332,0.0,69,0.0,2,0,0,6,0,0,0,18,16,0.6666666666666666,5,18,0,8270.47247706422,0
333,0.0,738,0.0,15,0,0,52,5,6,10,166,146,0.6153846153846154,50,146,0,8270.47247706422,0
334,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,4536.473684210527,0
335,0.0,41,0.0,0,0,0,2,0,0,0,7,7,1.0,2,16,0,45.1764705882353,0
336,0.0,30,0.0,3,0,0,4,0,0,1,4,1,0.25,4,5,0,42.5,0
337,0.0,83,0.0,0,0,0,2,0,0,0,16,16,1.0,2,28,0,5112.509803921569,1
338,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,5112.509803921569,0
339,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,5112.509803921569,0
340,0.0,7,0.0,0,0,0,1,0,0,0,1,1,1.0,1,2,0,119.4,0
341,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,206.4,0
342,0.0,30,0.0,0,0,0,4,0,0,0,4,4,1.0,4,23,0,36.5,0
343,0.0,80,0.0,0,0,0,3,0,0,1,18,18,1.0,0,66,0,36.8,1
344,0.0,28,0.0,0,0,0,2,0,0,1,3,3,1.0,2,12,0,5112.509803921569,0
345,0.0,27,0.0,0,0,0,3,0,0,0,4,4,1.0,2,10,0,15.923076923076923,0
346,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,1187.7894736842106,0
347,0.0,108,0.0,1,0,0,5,0,0,2,21,20,0.8,4,14,0,34.94117647058823,0
348,0.0,28,0.0,0,0,0,3,0,1,0,3,3,1.0,2,7,0,12.823529411764708,0
349,0.0,48,0.0,4,0,0,5,0,1,4,5,1,0.2,5,8,0,362.5,0
350,0.0,124,0.0,6,0,0,20,2,1,1,30,18,0.6,19,20,0,19.565217391304348,1
351,0.0,47,0.0,0,0,0,7,0,0,1,8,8,1.0,7,28,0,32.285714285714285,0
352,0.0,51,0.0,0,0,0,1,0,0,4,7,7,1.0,1,15,0,37.588235294117645,1
353,0.0,33,0.0,0,0,0,1,0,2,1,12,12,1.0,1,27,0,7.75,1
354,0.0,99,0.0,0,0,0,3,0,0,6,18,18,1.0,3,26,0,36.285714285714285,0
355,0.0,26,0.0,0,0,0,0,0,7,0,0,0,0.0,0,0,0,20.61290322580645,0
356,0.0,56,0.0,0,0,0,3,0,2,3,8,8,1.0,1,28,0,93.0,0
357,0.0,38,0.0,2,0,0,3,1,0,2,5,0,0.0,2,8,0,22.2,0
358,0.0,19,0.0,0,0,0,2,0,0,1,4,4,1.0,1,5,0,10.818181818181818,0
359,0.0,135,0.0,3,0,0,10,0,0,6,21,18,0.7,0,23,0,46.57964601769911,0
360,0.0,24,0.0,3,0,0,3,0,0,2,3,0,0.0,3,5,0,11.166666666666666,0
361,0.0,103,0.0,3,0,0,8,0,0,2,15,12,0.625,7,36,2,12.529411764705882,0
362,0.0,78,0.0,1,0,0,5,0,0,8,8,7,0.8,5,26,3,14.36734693877551,2
363,0.0,164,0.0,0,0,0,7,0,0,9,26,26,1.0,0,56,9,17.37037037037037,0
364,0.0,17,0.0,1,0,0,3,0,0,0,3,2,0.6666666666666666,3,7,0,61.0,0
365,0.0,259,0.0,9,0,0,32,7,0,3,65,45,0.5,29,88,0,73.4,2
366,0.0,16,0.0,0,0,0,6,0,0,0,6,6,1.0,0,7,0,45.5,0
367,0.0,10,0.0,0,0,0,4,0,0,0,4,4,1.0,0,4,0,37.5,0
368,0.0,15,0.0,0,0,0,1,0,0,0,4,4,1.0,1,1,0,25.666666666666668,0
369,0.0,79,0.0,0,0,0,7,0,1,0,13,13,1.0,5,31,0,26.5,0
370,0.0,242,0.0,2,0,0,23,0,0,4,47,45,0.9130434782608696,19,66,0,151.58333333333334,0
371,0.0,41,0.0,1,0,0,4,0,2,0,7,6,0.75,4,7,0,20.25,0
372,0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,99.5,0
373,0.0,33,0.0,0,0,0,2,0,0,0,6,6,1.0,2,6,0,16.384615384615383,0
374,0.0,17,0.0,0,0,0,1,0,0,0,1,1,1.0,0,7,0,291.0,0
375,0.0,34,0.0,2,0,0,5,1,0,2,6,3,0.4,5,5,0,57.0,0
376,0.0,61,0.0,1,0,0,6,0,0,3,9,8,0.8333333333333334,6,21,0,13.394736842105264,0
377,0.0,51,0.0,2,0,0,4,1,0,2,7,2,0.25,3,12,0,19.142857142857142,0
378,0.0,7,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,62.0,0
379,0.0,31,0.0,0,0,0,3,0,0,0,5,5,1.0,3,7,0,224.2,0
380,0.0,48,0.0,3,0,0,7,2,0,1,7,2,0.2857142857142857,7,10,0,27.285714285714285,0
381,0.0,125,0.0,1,0,0,7,1,1,9,20,18,0.7142857142857143,7,15,0,38.75,0
382,0.0,23,0.0,0,0,0,1,0,0,0,5,5,1.0,1,22,0,25.125,0
383,0.0,59,0.0,1,0,0,3,0,1,3,6,5,0.6666666666666666,3,26,2,20.25,0
384,0.0,23,0.0,0,0,0,7,0,0,0,7,7,1.0,0,7,0,22.5,0
385,0.0,23,0.0,0,0,0,3,0,0,0,5,5,1.0,2,21,0,12.428571428571429,0
386,0.1342281879194631,745,0.0,31,1,0,73,10,0,5,114,73,0.4383561643835616,54,232,0,45.90816326530612,0
387,0.0,9,0.0,0,0,0,1,0,0,1,1,1,1.0,1,1,0,41.175,0
388,0.0,30,0.0,1,0,0,4,0,1,2,4,3,0.75,4,4,0,30.09090909090909,0
389,0.0,142,0.0,0,0,0,8,0,0,2,26,26,1.0,5,151,0,19.625,0
390,0.0,71,0.0,2,0,0,5,0,1,9,14,12,0.6,5,16,1,38.13157894736842,0
391,0.0,14,0.0,0,0,0,6,0,0,0,6,6,1.0,6,6,0,17.3125,0
392,0.0,8,0.0,0,0,0,3,0,0,0,3,3,1.0,0,3,0,5.0,0
393,0.0,21,0.0,0,0,0,1,0,0,0,3,3,1.0,1,4,0,16.333333333333332,0
394,0.0,80,0.0,2,0,0,7,0,0,8,11,9,0.7142857142857143,7,22,0,23.392857142857142,0
395,0.0,17,0.0,0,0,0,2,0,0,1,3,3,1.0,1,12,0,25.0,0
396,0.0,19,0.0,2,0,0,2,0,0,2,2,0,0.0,2,2,0,15.571428571428571,0
397,0.0,15,0.0,0,0,0,6,0,0,0,6,6,1.0,0,6,0,8.0625,0
398,0.0,114,0.0,0,0,0,9,0,0,1,25,25,1.0,7,133,0,18.955882352941178,2
399,0.0,49,0.0,1,0,0,6,0,0,2,9,8,0.8333333333333334,4,16,0,98.25,0
400,0.0,41,0.0,1,0,0,4,0,2,0,5,4,0.75,4,13,0,105.14666666666666,0
401,0.0,14,0.0,0,0,0,1,0,0,0,1,1,1.0,1,13,0,20.3125,0
402,0.0,6,0.0,0,0,0,1,0,0,0,1,1,1.0,1,2,0,28.88888888888889,0
403,0.0,16,0.0,0,0,0,2,0,0,0,2,2,1.0,2,4,0,75.73333333333333,0
404,0.0,9,0.0,0,0,0,2,0,0,0,2,2,1.0,2,4,0,18.166666666666668,0
405,0.0,103,0.0,0,0,0,9,1,0,5,19,17,0.8888888888888888,8,31,0,21.526315789473685,1
406,0.0,25,0.0,0,0,0,1,0,0,0,3,3,1.0,1,3,0,21.6,0
407,0.0,21,0.0,0,0,0,1,0,0,1,2,2,1.0,1,4,0,74.28571428571429,0
408,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,5.2,0
409,0.0,57,0.0,3,0,0,9,0,0,2,13,10,0.6666666666666666,8,12,0,71.0,0
410,0.0,44,0.0,1,0,0,3,0,0,3,7,6,0.6666666666666666,3,10,0,58.4,0
411,0.0,25,0.0,0,0,0,3,0,0,1,3,3,1.0,2,7,0,117.5,0
412,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,9.0,0
413,0.0,10,0.0,0,0,0,4,0,0,0,4,4,1.0,0,4,0,19.25,0
414,0.0,19,0.0,1,0,0,1,0,3,1,1,0,0.0,1,1,0,40.33112582781457,0
415,0.0,56,0.0,4,0,0,8,2,0,2,8,2,0.25,7,8,0,27.466666666666665,0
416,0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,17.75,0
417,0.0,8,0.0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,25.933333333333334,0
418,0.0,19,0.0,0,0,0,1,0,1,2,2,2,1.0,0,1,0,9.6,0
419,0.0,34,0.0,0,0,0,2,0,0,0,6,6,1.0,2,21,0,11.0625,0
420,0.0,14,0.0,1,0,0,1,0,0,2,1,0,0.0,1,1,0,17.0,0
421,0.0,41,0.0,4,0,0,5,0,0,2,7,3,0.2,5,15,0,18.4,0
422,0.0,200,0.0,1,0,0,32,0,0,1,60,59,0.96875,31,32,0,64.0,1
423,0.0,8,0.0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,12.0,0
424,0.0,124,0.0,3,0,0,11,0,0,3,24,21,0.7272727272727273,9,18,0,105.36363636363636,0
425,0.0,35,0.0,0,0,0,2,0,0,1,6,6,1.0,1,19,0,34.55555555555556,0
426,0.0,348,0.0,0,0,0,21,0,0,2,80,80,1.0,2,173,0,22.26732673267327,1
427,1.7857142857142858,56,0.0,0,1,0,4,0,0,1,9,9,1.0,0,34,0,28.77777777777778,0
428,0.0,17,0.0,0,0,0,2,0,0,1,2,2,1.0,2,5,0,24.0,0
429,0.0,60,0.0,0,0,0,2,0,10,1,9,9,1.0,2,25,0,16.22222222222222,0
430,0.0,57,0.0,1,0,0,10,0,0,1,10,9,0.9,10,19,0,107.5,0
431,0.0,40,0.0,2,0,0,4,0,0,2,7,5,0.5,4,12,0,61.0,0
432,0.0,18,0.0,0,0,0,1,0,0,0,5,5,1.0,0,7,0,29.0,0
433,0.0,231,0.0,3,0,0,25,0,0,3,53,50,0.88,25,122,0,51.57142857142857,0
434,0.0,28,0.0,0,0,0,1,0,0,1,4,4,1.0,1,6,0,36.26865671641791,0
435,0.0,15,0.0,0,0,0,2,0,0,0,3,3,1.0,2,7,0,441.0,0
436,0.0,10,0.0,0,0,0,4,0,0,0,4,4,1.0,4,4,0,45.0,0
437,0.0,74,0.0,1,0,0,1,0,24,0,1,0,0.0,1,1,3,94.76,0
438,0.0,31,0.0,1,0,0,2,0,0,1,5,4,0.5,2,9,0,55.0,0
439,0.0,47,0.0,1,0,0,3,1,0,4,8,6,0.3333333333333333,3,14,0,41.0,0
440,0.0,16,0.0,0,0,0,2,0,0,0,2,2,1.0,2,2,2,72.66666666666667,0
441,0.0,19,0.0,0,0,0,2,0,0,2,2,2,1.0,2,7,0,64.33333333333333,0
442,0.0,10,0.0,0,0,0,4,0,0,0,4,4,1.0,4,4,0,36.5,0
443,0.0,12,0.0,0,0,0,5,0,0,0,5,5,1.0,0,5,0,1942.5,0
444,0.0,246,0.0,2,0,0,15,2,10,10,35,31,0.7333333333333333,9,63,0,78.22222222222223,1
445,0.0,9,0.0,0,0,0,1,0,0,1,1,1,1.0,1,5,0,50.42307692307692,0
446,0.0,77,0.0,4,0,0,8,0,4,5,11,7,0.5,7,15,9,53.57142857142857,0
447,0.0,191,0.0,4,0,0,13,2,0,11,31,23,0.5384615384615384,9,48,0,24.181818181818183,1
448,0.0,10,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,27.0,0
449,0.0,71,0.0,5,0,0,9,0,0,5,13,8,0.4444444444444444,5,22,0,96.0,0
450,0.0,134,0.0,0,0,0,18,0,2,1,26,26,1.0,18,145,0,31.0,1
451,0.0,20,0.0,0,0,0,0,0,3,0,0,0,0.0,0,0,2,197.0,0
452,0.0,306,0.0,0,0,0,7,0,0,13,49,49,1.0,6,137,0,39.130434782608695,2
453,0.0,51,0.0,7,0,0,7,0,0,6,7,0,0.0,7,7,0,77.0,0
454,0.0,8,0.0,0,0,0,3,0,0,0,3,3,1.0,0,3,0,12.727272727272728,0
455,0.0,60,0.0,2,0,0,11,1,0,3,11,8,0.7272727272727273,11,31,0,45.57142857142857,0
456,0.0,18,0.0,0,0,0,3,0,0,0,3,3,1.0,0,9,0,18.4,0
457,0.0,116,0.0,3,0,0,13,0,0,4,17,14,0.7692307692307693,13,19,0,198.0,0
458,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,15.10344827586207,0
459,0.0,52,0.0,0,0,0,9,0,0,1,11,11,1.0,9,12,0,144.8,0
460,0.0,10,0.0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,16.0,0
461,1.492537313432836,67,0.0,4,1,0,10,0,1,2,10,6,0.6,10,14,0,19.647058823529413,0
462,0.0,3,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,14.23076923076923,0
463,0.0,16,0.0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,11.4,0
464,0.0,77,0.0,0,0,0,17,0,1,0,17,17,1.0,5,47,0,13.521739130434783,0
465,0.0,12,0.0,1,0,0,2,0,0,0,2,1,0.5,2,2,0,14.347826086956522,0
466,0.0,37,0.0,0,0,0,2,0,1,1,5,5,1.0,2,13,1,47.8,0
467,0.0,19,0.0,1,0,0,3,0,0,1,3,2,0.6666666666666666,3,5,0,79.0,0
468,0.0,57,0.0,2,0,0,3,0,0,1,13,11,0.3333333333333333,3,12,0,13.478260869565217,0
469,0.0,12,0.0,0,0,0,5,0,0,0,5,5,1.0,0,5,0,18.689655172413797,0
470,0.0,19,0.0,2,0,0,2,0,0,2,2,0,0.0,2,2,0,16.875,0
471,0.0,71,0.0,6,0,0,9,0,3,0,9,3,0.3333333333333333,9,16,0,35.833333333333336,0
472,0.0,12,0.0,0,0,0,5,0,0,0,5,5,1.0,0,5,0,34.0625,0
473,0.0,15,0.0,0,0,0,1,0,0,1,2,2,1.0,1,6,0,15.555555555555555,0
474,0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,2,2,0,14.25,0
475,0.0,129,0.0,0,0,0,5,0,0,5,28,28,1.0,0,36,0,80.66666666666667,0
476,0.0,154,0.0,0,0,0,2,0,0,0,33,33,1.0,2,66,0,100.95238095238096,0
477,0.0,17,0.0,0,0,0,1,0,0,0,1,1,1.0,1,27,0,21.0,0
478,0.0,42,0.0,4,0,0,5,0,0,2,5,1,0.2,5,10,0,31.846153846153847,0
479,0.0,75,0.0,2,0,0,7,2,0,3,14,10,0.4285714285714285,7,14,0,139.0,0
480,5.882352941176471,17,0.0,1,1,0,2,0,0,0,2,1,0.5,2,2,0,20.0,0
481,0.0,49,0.0,3,0,0,4,0,1,5,6,3,0.25,4,8,0,447.5,0
482,0.0,11,0.0,0,0,0,2,0,0,0,2,2,1.0,1,2,0,17.75,0
483,0.0,72,0.0,3,0,0,7,0,0,2,13,10,0.5714285714285714,7,21,0,20.09090909090909,0
484,0.0,35,0.0,5,0,0,7,0,0,0,7,2,0.2857142857142857,7,7,0,10.846153846153848,0
485,0.0,66,0.0,2,0,0,7,1,0,3,12,8,0.5714285714285714,7,10,0,28.428571428571427,0
486,0.0,25,0.0,1,0,0,4,0,0,1,4,3,0.75,4,4,0,33.5,0
487,0.0,28,0.0,3,0,0,3,0,0,3,3,0,0.0,3,3,0,65.0,0
488,0.0,15,0.0,0,0,0,1,0,0,0,1,1,1.0,1,10,0,9.76,0
489,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,48.4375,0
490,0.0,4,0.0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,44.142857142857146,0
491,0.0,85,0.0,0,0,0,12,0,0,0,22,22,1.0,12,40,0,45.0,1
492,0.0,16,0.0,0,0,0,1,0,0,2,1,1,1.0,1,2,0,13.263157894736842,0
493,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,23.07692307692308,0
494,0.0,14,0.0,1,0,0,2,0,0,1,2,1,0.5,2,2,0,11.0,0
495,0.0,21,0.0,0,0,0,1,0,0,1,2,2,1.0,1,7,0,17.263157894736842,0
496,0.0,45,0.0,3,0,0,7,3,0,4,8,2,0.1428571428571428,7,7,0,28.75,0
497,0.0,39,0.0,0,0,0,3,0,0,2,5,5,1.0,0,11,0,445.0,0
498,0.0,27,0.0,1,0,0,2,0,2,1,2,1,0.5,2,6,0,37.5,0
499,0.0,62,0.0,0,0,0,1,0,0,0,15,15,1.0,1,22,0,18.5,0
500,0.0,182,0.0,0,0,0,9,0,0,6,37,37,1.0,8,65,0,32.6,1
501,0.0,120,0.0,8,0,0,10,0,0,9,12,4,0.2,10,31,0,34.42857142857143,0
502,0.0,26,0.0,0,0,0,2,0,0,3,2,2,1.0,1,7,0,17.428571428571427,0
503,0.0,132,0.0,2,0,0,11,0,0,4,29,27,0.8181818181818182,1,34,0,83.33333333333333,1
504,0.0,98,0.0,7,0,0,12,3,0,9,14,4,0.1666666666666666,12,15,0,47.4,1
505,0.0,59,0.0,2,0,0,12,0,2,0,15,13,0.8333333333333334,11,16,0,24.642857142857142,0
506,0.0,37,0.0,0,0,0,1,0,0,7,2,2,1.0,1,6,0,28.11111111111111,0
507,0.0,18,0.0,1,0,0,2,0,0,1,2,1,0.5,2,4,0,35.75,0
508,0.0,236,0.0,17,0,0,35,16,0,20,40,7,0.0571428571428571,35,39,33,22.94871794871795,0
509,0.0,66,0.0,1,0,0,11,1,0,4,11,9,0.8181818181818182,11,23,0,55.54545454545455,0
510,0.0,12,0.0,0,0,0,1,0,0,0,1,1,1.0,1,10,0,15.5,0
511,0.0,8,0.0,0,0,0,3,0,0,0,3,3,1.0,3,3,0,82.5,0
512,0.0,26,0.0,0,0,0,1,0,0,2,3,3,1.0,1,15,0,42.0,0
513,0.0,82,0.0,0,0,0,4,0,0,4,15,15,1.0,0,68,0,64.33333333333333,1
514,0.0,35,2.857142857142857,0,0,1,4,0,0,3,4,4,1.0,2,16,0,15.625,0
515,0.0,47,0.0,2,0,0,7,2,0,4,8,4,0.4285714285714285,7,18,0,10.941176470588236,0
516,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,12.0,0
517,0.0,49,0.0,2,0,0,6,0,0,2,8,6,0.6666666666666666,6,16,1,12.833333333333334,0
518,0.0,126,0.0,0,0,0,2,0,0,0,14,14,1.0,2,68,0,133.13333333333333,0
519,0.0,12,0.0,0,0,0,5,0,0,0,5,5,1.0,0,5,0,10.555555555555555,0
520,0.0,116,0.0,3,0,0,10,0,0,7,22,19,0.7,10,28,0,35.714285714285715,0
521,0.0,10,0.0,0,0,0,4,0,0,0,4,4,1.0,0,4,0,33.0,0
522,0.0,12,0.0,1,0,0,2,0,0,0,2,1,0.5,2,3,0,12.714285714285714,0
523,0.0,10,0.0,0,0,0,4,0,0,0,4,4,1.0,4,4,0,35.94505494505494,0
524,0.0,43,0.0,4,0,0,6,2,0,2,6,0,0.0,6,7,0,11.2,0
525,0.0,452,0.0,8,0,0,40,1,3,8,98,89,0.775,37,98,2,9708.520833333334,1
526,0.0,9,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,7.8,0
527,0.0,33,0.0,3,0,0,4,0,0,0,7,4,0.25,2,5,0,1613.126984126984,0
528,0.0,37,0.0,0,0,0,2,0,4,0,5,5,1.0,0,20,0,88.0,0
529,0.0,60,0.0,0,0,0,1,0,0,0,1,1,1.0,1,81,0,30.125,0
530,0.0,16,0.0,0,0,0,1,0,0,0,1,1,1.0,1,2,0,115.0,0
531,0.0,132,0.0,5,0,0,18,1,0,2,26,20,0.6666666666666666,15,29,0,766.5,1
532,0.0,111,0.0,4,0,0,12,0,0,1,20,16,0.6666666666666666,11,29,0,31.4,1
533,0.0,30,0.0,1,0,0,2,0,0,2,3,2,0.5,2,7,0,14.5,0
534,0.0,337,0.0,7,0,0,33,1,1,8,66,58,0.7575757575757576,30,69,1,2084.6545454545453,0
535,0.0,7,0.0,0,0,0,1,0,0,0,1,1,1.0,1,6,0,118.0,0
536,0.0,24,0.0,1,0,0,6,0,0,1,6,5,0.8333333333333334,6,6,0,42.0,0
537,0.0,59,0.0,3,0,0,6,0,0,0,8,5,0.5,6,10,0,52.0,0
538,0.0,7,0.0,0,0,0,1,0,0,0,1,1,1.0,1,3,0,100.66666666666669,0
539,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,11.0,0
540,0.0,330,0.0,1,0,0,20,0,0,4,72,71,0.95,6,162,0,30.485294117647054,2
541,0.0,37,0.0,1,0,0,3,0,0,2,10,9,0.6666666666666666,2,9,0,54.0,0
542,0.0,29,0.0,0,0,0,5,0,0,0,6,6,1.0,5,9,0,12.555555555555555,0
543,0.0,15,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,18.875,0
544,0.0,35,0.0,1,0,0,4,0,2,0,4,3,0.75,4,5,0,43.5,0
545,0.0,141,0.0,0,0,0,6,1,0,5,30,26,0.8333333333333334,3,45,0,30.25,0
546,0.0,13,0.0,0,0,0,5,0,0,0,5,5,1.0,0,5,0,22.392857142857142,0
547,0.0,30,0.0,1,0,0,1,0,0,1,1,0,0.0,1,1,0,226.5,0
548,0.0,56,0.0,2,0,0,7,0,1,2,8,6,0.7142857142857143,6,25,2,48.0,0
549,0.0,781,0.0,0,0,0,3,0,34,113,7,7,1.0,2,515,127,76.29577464788733,2
550,0.0,3,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,9.666666666666666,0
551,0.0,7,0.0,0,0,0,2,0,0,0,2,2,1.0,2,2,0,114.33333333333331,0
552,0.0,9,0.0,1,0,0,1,0,0,1,1,0,0.0,1,1,0,55.142857142857146,0
553,0.0,47,0.0,0,0,0,1,0,0,2,11,11,1.0,1,12,2,13.125,0
554,0.0,131,0.0,0,0,0,5,0,0,0,6,6,1.0,5,123,0,92.0,1
555,0.0,170,0.0,1,0,0,20,0,0,6,20,19,0.95,14,30,0,203.0,1
