LambdaDensity,LinesOfCodeInClass,MethodReferenceDensity,NumberOfAccessorMethods,NumberOfLambdaExpressionsInClass,NumberOfMethodReferencesPerClass,NumberOfMethods,NumberOfMutatorMethods,NumberOfPublicFields,NumberOfPrivateFields,WeightedMethodsPerClass,WeightedMethodsPerClassWithoutAccessorAndMutatorMethods,WeightOfClass,NumberOfPublicMethods,ResponseForClass,NumberOfAnnotations,AverageNumberOfAddedLines,MaxNumberOfAddedLines,Age,AverageTimeBetweenChanges,NumberOfBugFixes,CodeChurn,MeanCommitMessageLength,NumberOfRevisions,NumberOfCommitsWithoutMessage,DaysWithCommits,AverageNumberOfDeletedLines,MaxNumberOfDeletedLines,MeanAuthorCommits,NumberOfDistinctCommitters,AverageNumberOfModifiedLines,MaxNumberOfModifiedLines,NumberOfRefactorings,AuthorFragmentation,TimePassedSinceTheLastChange,Severity
0.0,94,0.0,0,0,0,6,0,0,0,12,12,1.0,4,29,0,323.6666666666667,890,157,21,0,933,267.6666666666667,3,0,3,12.666666666666666,27,3829.0,1,336.3333333333333,890,0,14,94,0
0.0,24,0.0,0,0,0,1,0,0,3,1,1,1.0,1,2,2,27.0,27,218,0,0,27,60.0,1,0,1,0.0,0,223.0,1,27.0,27,0,1,218,0
0.0,101,0.0,0,0,0,5,0,0,7,20,20,1.0,3,24,0,54.0,124,1992,250,3,230,117.85714285714286,7,0,4,21.142857142857142,124,8357.0,3,75.14285714285714,248,1,11,236,0
0.0,41,0.0,0,0,0,3,1,0,6,3,2,0.6666666666666666,3,16,0,11.4,51,823,75,0,88,33.4,10,0,10,2.6,10,13.714285714285714,7,14.0,51,0,6,68,0
0.0,23,0.0,0,0,0,10,0,0,0,10,10,1.0,0,10,0,58.06666666666667,510,653,21,6,1145,53.43333333333333,30,0,18,19.9,106,377.72727272727275,11,77.96666666666667,547,1,14,0,0
0.0,24,0.0,0,0,0,1,0,0,3,1,1,1.0,1,2,2,27.0,27,218,0,0,27,60.0,1,0,1,0.0,0,223.0,1,27.0,27,0,1,218,0
0.0,73,0.0,8,0,0,11,0,0,1,16,8,0.2727272727272727,11,28,0,15.538461538461538,150,3279,195,2,122,110.3076923076923,13,0,12,6.153846153846154,49,997.6666666666666,3,21.692307692307693,150,0,3,735,0
0.0,20,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,21.666666666666668,63,3356,1118,0,63,53.333333333333336,3,0,2,0.6666666666666666,2,1091.0,2,22.333333333333332,63,0,2,0,0
0.0,372,0.0,4,0,0,28,3,0,17,49,41,0.75,8,70,0,53.86363636363637,490,5068,217,1,552,87.45454545454545,22,0,22,28.772727272727273,432,417.8333333333333,12,82.63636363636364,845,0,13,278,0
0.0,12,0.0,0,0,0,1,0,0,0,2,2,1.0,1,2,0,8.714285714285714,54,889,44,1,57,28.714285714285715,7,0,5,0.5714285714285714,1,559.5,4,9.285714285714286,54,1,3,575,0
0.0,10,0.0,0,0,0,1,0,0,0,2,2,1.0,1,2,0,14.666666666666666,89,2269,210,0,96,167.33333333333334,9,0,8,4.0,25,5146.0,1,18.666666666666668,89,0,1,379,0
0.0,22,0.0,0,0,0,3,0,0,2,4,4,1.0,2,5,0,339.0,339,311,0,0,339,168.0,1,0,1,0.0,0,3829.0,1,339.0,339,0,2,311,0
0.0,106,0.0,7,0,0,12,3,0,5,16,6,0.16666666666666666,12,27,0,31.833333333333332,95,2225,366,1,185,106.5,6,0,6,1.0,3,39.833333333333336,6,32.833333333333336,95,0,6,27,0
0.0,22,0.0,0,0,0,5,0,0,0,5,5,1.0,5,10,0,60.333333333333336,162,4563,223,1,79,60.333333333333336,3,0,3,34.0,72,1819.0,1,94.33333333333333,162,0,6,3894,0
0.0,36,0.0,3,0,0,4,0,0,2,6,3,0.25,4,5,0,27.571428571428573,130,1188,128,1,161,74.14285714285714,7,0,7,4.571428571428571,10,1084.3333333333333,3,32.142857142857146,130,0,4,290,0
0.0,185,0.0,0,0,0,8,0,0,6,31,31,1.0,6,67,0,63.8,206,3512,668,0,256,115.0,5,0,5,12.6,38,425.5,2,76.4,206,1,33,172,0
0.0,130,0.0,1,0,0,5,0,0,0,17,16,0.8,5,84,0,262.5,519,312,74,0,519,85.5,2,0,2,3.0,6,3829.0,1,265.5,519,0,1,164,2
0.0,17,0.0,0,0,0,2,0,0,1,4,4,1.0,0,11,0,93.75,442,2187,160,1,660,106.16666666666667,12,0,11,38.75,359,383.5,6,132.5,718,0,2,267,0
0.0,19,0.0,2,0,0,2,0,0,2,2,0,0.0,0,2,0,44.21951219512195,862,1560,18,13,1972,70.1829268292683,82,0,64,20.170731707317074,344,320.25925925925924,27,64.39024390243902,862,8,7,52,0
0.0,681,0.0,6,0,0,32,5,0,7,161,150,0.65625,5,215,0,353.125,906,2844,234,0,913,51.5,8,0,8,239.0,906,461.1666666666667,6,592.125,1812,0,69,968,0
0.0,150,0.0,6,0,0,12,0,0,6,36,30,0.5,12,47,5,13.150943396226415,218,1858,25,12,280,47.132075471698116,53,0,34,7.867924528301887,114,821.5,14,21.0188679245283,218,0,1,527,0
0.0,55,0.0,1,0,0,6,0,0,1,11,10,0.8333333333333334,4,9,0,7.461538461538462,39,3481,190,3,74,83.38461538461539,13,0,11,1.7692307692307692,10,735.0,5,9.23076923076923,39,0,6,1011,0
0.0,29,0.0,1,0,0,3,0,0,1,5,4,0.6666666666666666,3,6,0,34.0,67,1135,70,0,67,57.5,2,0,2,0.5,1,33.0,1,34.5,67,1,5,994,0
0.0,55,0.0,2,0,0,6,0,0,0,10,8,0.6666666666666666,5,14,0,1116.3684210526317,12996,2201,91,0,19854,114.26315789473684,19,0,14,71.42105263157895,858,381.9166666666667,12,1187.7894736842106,12996,3,5,466,0
0.0,10,0.0,0,0,0,3,0,0,0,3,3,1.0,0,4,0,17.666666666666668,53,1222,78,0,53,59.0,3,0,3,0.0,0,69.33333333333333,3,17.666666666666668,53,0,13,988,0
0.0,12,0.0,0,0,0,2,0,0,0,2,2,1.0,2,4,0,140.5,278,744,0,1,279,32.5,2,0,1,1.0,2,663.0,1,141.5,278,0,1,744,0
0.0,8,0.0,0,0,0,3,0,0,0,3,3,1.0,0,3,0,34.5,68,1010,230,0,69,46.0,2,0,2,0.0,0,674.0,2,34.5,68,0,20,549,0
0.0,69,0.0,11,0,0,11,0,0,11,11,0,0.0,11,33,0,924.9411764705883,13732,632,29,1,14119,72.58823529411765,17,0,17,94.41176470588235,618,138.66666666666666,6,1019.3529411764706,13732,2,11,126,0
0.0,20,0.0,2,0,0,2,0,0,1,2,0,0.0,2,5,0,32.77777777777778,224,748,45,1,187,107.55555555555556,9,0,4,12.0,54,1721.6666666666667,3,44.77777777777778,224,1,1,340,0
0.0,221,0.0,3,0,0,17,0,1,4,45,42,0.8235294117647058,15,112,0,55.0,335,426,49,2,374,41.285714285714285,7,0,7,1.5714285714285714,7,502.5,2,56.57142857142857,335,0,4,79,2
0.0,14,0.0,0,0,0,2,0,0,0,2,2,1.0,1,5,0,7.25,45,1763,30,3,50,155.75,12,0,11,3.0833333333333335,15,1427.5,4,10.333333333333334,45,0,4,1401,0
0.0,10,0.0,0,0,0,1,0,0,0,1,1,1.0,1,2,0,24.8,114,1240,98,0,34,35.6,5,0,5,18.0,83,322.25,4,42.8,114,0,3,746,0
0.0,12,0.0,2,0,0,3,0,0,0,3,1,0.3333333333333333,3,3,0,5.571428571428571,18,1725,94,0,55,43.714285714285715,14,0,12,1.6428571428571428,8,3594.75,4,7.214285714285714,18,2,1,398,0
0.0,12,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0,36.0,36,1082,2,1,36,18.5,2,0,2,18.0,36,121.0,2,54.0,72,0,1,1077,0
0.0,31,0.0,1,0,0,4,1,0,1,6,4,0.5,3,8,0,9.25,69,4547,324,1,71,42.25,12,0,11,3.3333333333333335,26,1007.0,4,12.583333333333334,69,0,3,654,0
0.0,108,0.0,0,0,0,12,10,10,0,23,13,0.16666666666666666,11,41,0,65.5,130,645,4,0,260,50.25,4,0,4,0.5,1,32.0,2,66.0,130,0,4,626,0
0.0,35,0.0,3,0,0,3,0,0,0,3,0,0.0,3,3,0,34.0,68,1363,31,0,68,30.0,2,0,2,0.0,0,130.5,2,34.0,68,0,1,1301,0
15.789473684210526,19,0.0,0,3,0,4,0,0,0,4,4,1.0,0,6,0,14.545454545454545,49,4129,324,1,100,142.45454545454547,11,0,11,5.454545454545454,27,3829.0,1,20.0,59,0,11,556,0
0.0,334,0.0,1,0,0,18,0,0,4,105,103,0.9444444444444444,6,73,0,75.83333333333333,449,2509,218,0,436,40.666666666666664,6,0,6,3.1666666666666665,9,15268.0,1,79.0,449,0,3,1197,1
0.0,92,0.0,2,0,0,13,0,0,1,18,16,0.8461538461538461,13,24,0,83.5,166,1135,70,0,166,57.5,2,0,2,0.5,1,33.0,1,84.0,166,1,3,994,1
0.0,12,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0,11.0,42,2383,462,0,42,68.0,4,0,3,0.5,2,822.0,3,11.5,42,0,1,534,0
0.0,33,0.0,1,0,0,6,3,0,0,6,2,0.3333333333333333,5,9,0,16.875,118,3305,170,1,153,58.6875,16,0,14,7.3125,59,956.6666666666666,6,24.1875,177,0,2,576,0
0.0,6,33.333333333333336,0,0,2,1,0,0,0,1,1,1.0,1,3,0,9.25,28,1047,254,1,25,29.5,4,0,4,3.0,8,1758.0,1,12.25,28,0,2,29,0
0.0,82,0.0,1,0,0,8,0,0,0,18,17,0.875,2,13,0,312.6,1557,842,168,1,1497,54.0,5,0,5,13.2,56,220.66666666666666,3,325.8,1557,0,2,0,0
0.0,99,0.0,0,0,0,11,0,0,0,24,24,1.0,3,67,0,10.875,143,1450,42,1,167,50.25,32,0,23,5.65625,74,986.6666666666666,3,16.53125,143,1,10,103,0
0.0,28,0.0,0,0,0,7,0,0,0,7,7,1.0,7,7,0,34.96296296296296,390,1520,56,7,869,46.629629629629626,27,0,19,2.7777777777777777,20,2100.3333333333335,6,37.74074074074074,390,0,2,4,0
0.0,7,0.0,0,0,0,1,0,0,0,1,1,1.0,1,1,0,11.25,39,3753,938,0,40,58.25,4,0,4,1.25,4,109.5,4,12.5,39,0,3,0,0
0.0,1295,0.0,24,0,0,73,7,1,21,286,250,0.5753424657534246,70,334,7,135.04166666666666,817,1508,61,2,1405,59.958333333333336,24,0,22,76.5,230,368.64285714285717,14,211.54166666666666,817,2,90,22,2
0.0,7,0.0,0,0,0,1,0,0,0,1,1,1.0,1,3,0,7.833333333333333,29,823,125,0,31,39.666666666666664,6,0,6,2.6666666666666665,12,16.4,5,10.5,29,0,1,68,0
0.0,142,0.0,0,0,0,2,0,0,2,27,27,1.0,2,83,0,24.357142857142858,274,6139,315,0,277,136.42857142857142,14,0,12,4.571428571428571,21,232.33333333333334,6,28.928571428571427,274,2,28,1722,0
0.0,21,0.0,0,0,0,4,0,0,0,4,4,1.0,4,7,0,7.555555555555555,26,3467,373,0,29,243.55555555555554,9,0,9,4.333333333333333,19,3829.0,1,11.88888888888889,40,0,1,104,0
0.0,21,9.523809523809524,0,0,2,3,0,0,0,3,3,1.0,1,9,0,33.416666666666664,214,788,58,1,291,41.0,12,0,10,9.166666666666666,51,2864.4,5,42.583333333333336,214,0,4,82,0
0.0,8,0.0,0,0,0,1,0,0,0,2,2,1.0,1,3,0,22.0,145,4004,207,1,269,48.5,18,0,16,7.055555555555555,69,1195.3333333333333,3,29.055555555555557,145,0,4,264,0
0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,7.428571428571429,18,2808,400,0,34,53.857142857142854,7,0,6,2.5714285714285716,7,754.0,5,10.0,18,0,3,8,0
0.0,94,0.0,1,0,0,12,0,0,2,21,20,0.9166666666666666,8,15,0,1.5,3,660,63,0,1,23.0,2,0,2,1.0,2,6234.5,2,2.5,5,0,4,534,0
0.0,124,0.0,8,0,0,19,6,0,3,21,7,0.2631578947368421,18,26,0,11.954545454545455,49,2870,129,6,146,23.363636363636363,22,0,16,5.318181818181818,55,1091.3333333333333,3,17.272727272727273,104,9,8,26,0
0.0,35,0.0,0,0,0,7,0,0,0,7,7,1.0,7,8,0,21.5,86,774,123,1,86,43.5,4,0,4,0.0,0,178.33333333333334,3,21.5,86,0,1,281,0
0.0,46,0.0,0,0,0,3,0,0,0,9,9,1.0,3,31,0,17.0,101,1866,97,0,155,44.25,12,0,12,4.083333333333333,23,404.375,8,21.083333333333332,101,0,13,695,0
0.0,142,0.0,14,0,0,28,14,0,14,28,0,0.0,28,33,0,64.44444444444444,309,630,52,0,365,32.333333333333336,9,0,9,23.88888888888889,201,183.6,5,88.33333333333333,403,0,29,154,0
0.0,18,0.0,0,0,0,1,0,0,3,1,1,1.0,0,5,3,42.43333333333333,530,929,30,3,1097,58.1,30,0,29,5.866666666666666,60,198.33333333333334,15,48.3,530,1,5,5,0
0.0,26,0.0,0,0,0,2,0,0,0,4,4,1.0,0,13,0,5.633333333333334,30,1794,58,6,61,97.26666666666667,30,0,21,3.6,18,2438.1666666666665,6,9.233333333333333,37,1,5,32,0
0.0,64,0.0,0,0,0,6,0,4,2,11,11,1.0,6,33,0,9.52,96,3911,152,3,171,74.44,25,0,22,2.68,15,1576.5714285714287,7,12.2,96,1,7,97,1
0.0,148,0.0,0,0,0,11,0,0,3,32,32,1.0,9,19,0,68.66666666666667,297,2726,158,3,298,83.33333333333333,15,0,12,48.8,217,725.6,5,117.46666666666667,419,0,9,350,0
0.0,87,0.0,0,0,0,5,1,0,0,15,13,0.8,2,39,0,79.0,237,1903,555,0,237,49.666666666666664,3,0,3,0.0,0,58.333333333333336,3,79.0,237,0,4,238,1
0.0,26,0.0,0,0,0,2,0,0,1,3,3,1.0,2,12,0,12.555555555555555,93,5034,461,4,89,97.66666666666667,9,0,8,2.6666666666666665,6,936.8333333333334,6,15.222222222222221,93,3,6,883,0
0.0,12,0.0,1,0,0,1,0,0,1,1,0,0.0,1,1,0,14.7,71,2183,171,0,107,150.0,10,0,8,4.0,14,5181.5,2,18.7,71,0,1,469,0
0.0,13,0.0,0,0,0,1,0,0,0,2,2,1.0,1,3,0,12.3,51,4854,295,3,43,62.3,10,0,9,8.0,46,586.5,4,20.3,64,0,1,1900,0
0.0,52,0.0,1,0,0,6,0,0,1,10,9,0.8333333333333334,6,35,0,19.333333333333332,77,425,38,0,99,57.5,6,0,6,2.8333333333333335,7,217.5,2,22.166666666666668,77,0,4,192,0
0.0,94,0.0,0,0,0,14,0,0,0,14,14,1.0,0,14,0,150.0,150,613,0,0,150,61.0,1,0,1,0.0,0,484.0,1,150.0,150,0,1,613,0
0.0,20,0.0,0,0,0,7,0,0,0,7,7,1.0,0,7,0,13.285714285714286,82,1347,144,0,84,30.857142857142858,7,0,7,1.2857142857142858,5,480.5,4,14.571428571428571,82,2,3,336,0
0.0,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.166666666666666,16,2068,222,0,35,125.83333333333333,6,0,6,2.3333333333333335,11,1489.5,2,10.5,25,2,1,735,0
0.0,26,0.0,2,0,0,3,0,0,0,4,2,0.3333333333333333,3,7,0,10.2,31,2638,228,2,48,59.4,10,0,8,5.4,20,499.6666666666667,3,15.6,40,0,3,349,0
0.0,26,0.0,1,0,0,3,1,0,0,3,1,0.3333333333333333,3,6,0,75.0,75,1082,2,1,75,18.5,2,0,2,37.5,75,121.0,2,112.5,150,0,1,1077,0
0.0,75,0.0,0,0,0,2,0,0,0,23,23,1.0,2,31,0,16.764705882352942,92,2145,126,1,170,49.64705882352941,17,0,17,6.764705882352941,24,1779.625,8,23.529411764705884,92,0,17,2,0
0.0,283,0.0,1,0,0,13,0,18,0,43,42,0.9230769230769231,5,95,0,63.470588235294116,540,4472,210,3,517,89.52941176470588,17,0,16,33.05882352941177,474,1529.6,5,96.52941176470588,934,1,35,897,0
0.0,242,0.0,5,0,0,15,2,2,6,50,43,0.5333333333333333,12,101,0,208.5,409,2403,104,2,734,120.75,4,0,4,25.0,84,1377.5,2,233.5,409,0,21,1984,0
0.0,36,0.0,3,0,0,5,2,0,1,5,0,0.0,5,5,0,27.8,55,1463,136,0,79,58.4,5,0,5,12.0,34,129.0,5,39.8,70,0,5,779,0
0.0,10,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,32.0,32,431,0,0,32,18.0,1,0,1,0.0,0,1.0,1,32.0,32,0,1,431,0
6.25,32,3.125,1,2,1,4,0,0,1,5,4,0.75,2,18,0,46.0,62,491,226,0,72,52.0,2,0,2,10.0,20,22.0,2,56.0,62,0,8,39,0
0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,1,1,0,16.5,32,630,31,0,32,18.5,2,0,2,0.5,1,138.0,1,17.0,32,1,2,568,0
0.0,17,0.0,0,0,0,1,0,0,0,2,2,1.0,1,1,0,10.375,55,4065,253,3,42,66.25,16,0,15,7.75,39,3438.1111111111113,9,18.125,78,0,3,5,0
0.0,82,0.0,3,0,0,9,0,0,2,14,11,0.6666666666666666,6,29,0,8.074074074074074,85,3108,115,2,119,61.592592592592595,27,0,22,3.6666666666666665,17,121.66666666666667,6,11.74074074074074,85,3,15,0,1
0.0,17,0.0,0,0,0,3,0,0,0,3,3,1.0,3,8,0,9.4,31,620,11,2,63,42.266666666666666,15,0,13,5.2,17,663.6666666666666,3,14.6,31,1,4,450,0
0.0,14,0.0,0,0,0,1,0,0,0,3,3,1.0,1,3,0,6.666666666666667,35,2786,109,1,43,77.41666666666667,12,0,10,3.0833333333333335,15,1980.0,3,9.75,35,0,2,1474,0
0.0,14,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.666666666666668,488,1205,39,3,327,113.1,30,0,29,13.766666666666667,285,697.0,9,38.43333333333333,488,2,1,18,0
0.0,39,0.0,2,0,0,4,0,0,2,5,3,0.5,4,19,0,92.0,92,298,0,0,92,372.0,1,0,1,0.0,0,288.0,1,92.0,92,1,1,298,0
0.0,152,0.0,7,0,0,17,1,0,4,30,22,0.5294117647058824,17,66,0,23.333333333333332,181,831,91,0,194,221.44444444444446,9,0,9,1.7777777777777777,9,3829.0,1,25.11111111111111,181,0,5,10,0
0.0,74,0.0,0,0,0,5,0,0,5,14,14,1.0,3,89,0,19.263157894736842,114,2153,74,2,147,92.26315789473684,19,0,19,11.526315789473685,49,241.36363636363637,11,30.789473684210527,114,0,22,737,0
0.0,75,0.0,3,0,0,6,0,0,1,14,11,0.5,5,43,0,8.38888888888889,92,3789,127,6,106,79.05555555555556,18,0,16,2.5,15,500.25,4,10.88888888888889,92,0,9,1494,0
0.0,170,0.0,5,0,0,13,0,0,4,23,18,0.6153846153846154,13,48,0,250.0,250,3777,0,0,250,26.0,1,0,1,0.0,0,930.0,1,250.0,250,0,28,3777,0
0.0,34,0.0,0,0,0,4,0,0,0,4,4,1.0,0,4,0,10.285714285714286,83,2965,57,1,112,54.19047619047619,21,0,19,4.9523809523809526,17,1120.4,5,15.238095238095237,83,1,5,1748,0
0.0,364,0.0,7,0,0,26,0,0,16,68,61,0.7307692307692307,14,200,0,55.583333333333336,486,958,62,2,621,54.166666666666664,12,0,9,3.8333333333333335,18,62.857142857142854,7,59.416666666666664,486,0,30,207,0
0.0,21,0.0,0,0,0,5,0,0,0,5,5,1.0,0,5,0,8.95,30,2391,85,0,52,80.6,20,0,20,6.35,13,553.1428571428571,14,15.3,34,0,3,672,0
0.0,13,0.0,0,0,0,1,0,0,1,1,1,1.0,1,4,1,4.793103448275862,30,4388,151,6,41,99.37931034482759,29,0,26,3.3793103448275863,12,3455.222222222222,9,8.172413793103448,30,3,3,5,0
0.0,4,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.333333333333333,22,814,119,1,22,62.0,6,0,5,1.6666666666666667,6,99.0,2,7.0,22,0,2,97,0
0.0,33,0.0,3,0,0,4,0,0,0,7,4,0.25,2,5,0,7120.6875,81607,2255,46,5,217577,69.52083333333333,48,0,32,2587.8333333333335,28985,665.5,8,9708.520833333334,88369,1,3,22,0
0.0,10,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,6.833333333333333,37,4173,694,0,36,98.66666666666667,6,0,6,0.8333333333333334,2,1617.5,2,7.666666666666667,37,2,1,9,0
0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,32.54545454545455,179,6165,265,6,50,119.9090909090909,22,0,20,30.272727272727273,214,113.77777777777777,9,62.81818181818182,360,1,3,331,0
0.0,18,0.0,0,0,0,1,0,0,3,1,1,1.0,1,2,0,142.22222222222223,1151,1194,53,1,1218,50.44444444444444,9,0,7,6.888888888888889,48,69.0,5,149.11111111111111,1151,0,6,712,0
0.0,52,0.0,0,0,0,3,0,0,4,5,5,1.0,2,12,0,84.825,2737,1922,38,9,643,112.275,40,0,35,68.75,2333,906.2857142857143,14,153.575,2737,0,10,382,0
0.0,183,0.0,0,0,0,8,0,0,1,34,34,1.0,4,31,0,57.0,325,3515,386,2,334,88.0,8,0,8,15.25,110,785.0,5,72.25,325,0,12,427,0
0.0,49,0.0,5,0,0,7,0,0,4,8,3,0.2857142857142857,7,8,0,170.66666666666666,452,2474,824,0,502,51.333333333333336,3,0,3,3.3333333333333335,9,89.66666666666667,3,174.0,452,0,2,0,0
0.0,9,0.0,0,0,0,1,0,0,0,1,1,1.0,0,2,0,7.666666666666667,20,968,252,0,19,40.666666666666664,3,0,3,1.3333333333333333,3,674.0,2,9.0,20,0,3,212,0
0.0,467,0.4282655246252677,6,0,2,35,1,0,11,121,112,0.8,6,61,0,80.28571428571429,524,341,45,5,528,47.42857142857143,7,0,4,4.857142857142857,26,882.5,2,85.14285714285714,524,0,20,25,2
0.0,28,0.0,1,0,0,3,0,0,2,3,2,0.6666666666666666,2,5,0,101.53846153846153,1068,1194,51,3,99,57.23076923076923,13,0,12,93.92307692307692,1209,54.22222222222222,9,195.46153846153845,1242,0,8,523,0
0.5571030640668524,359,0.0,26,2,0,52,18,0,19,75,28,0.15384615384615385,49,91,19,11.753086419753087,237,4377,53,15,496,77.46913580246914,81,0,71,5.62962962962963,76,2769.9411764705883,17,17.382716049382715,237,5,16,5,0
0.0,26,0.0,2,0,0,4,2,0,2,4,0,0.0,4,4,0,76.23076923076923,721,1424,96,1,639,103.46153846153847,13,0,12,27.076923076923077,175,228.8181818181818,11,103.3076923076923,721,1,5,168,0
0.0,13,0.0,0,0,0,0,0,0,5,0,0,0,0,0,0,11.333333333333334,33,1831,610,0,33,26.333333333333332,3,0,3,0.3333333333333333,1,33.0,2,11.666666666666666,33,0,1,0,0
0.0,14,0.0,1,0,0,1,0,0,1,1,0,0.0,1,2,0,18.307692307692307,147,5314,408,4,167,68.15384615384616,13,0,13,5.461538461538462,25,1442.0,3,23.76923076923077,147,1,1,9,0
0.0,79,0.0,0,0,0,3,0,0,2,10,10,1.0,2,22,0,48.125,121,2322,164,0,137,34.5,8,0,8,31.0,119,200.0,3,79.125,168,0,1,1007,1
0.0,7,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.5,29,3853,244,3,35,87.57142857142857,14,0,14,2.0,8,443.2,10,6.5,29,0,2,427,0
0.0,55,0.0,5,0,0,10,4,0,4,11,2,0.1,10,11,0,13.555555555555555,58,672,59,0,76,52.22222222222222,9,0,9,5.111111111111111,32,197.83333333333334,6,18.666666666666668,64,0,1,134,0
0.0,13,7.6923076923076925,1,0,1,3,0,0,0,3,2,0.6666666666666666,0,4,0,92.0,92,623,0,0,92,33.0,1,0,1,0.0,0,1457.0,1,92.0,92,0,4,623,0
0.0,27,0.0,0,0,0,3,0,0,0,4,4,1.0,2,3,0,53.0,102,754,183,0,106,73.0,2,0,2,0.0,0,127.0,2,53.0,102,0,5,388,0
0.0,7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.823529411764707,34,1604,94,0,37,53.64705882352941,17,0,16,6.647058823529412,25,411.0,2,15.470588235294118,40,5,1,1,0
0.0,7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,16,2020,335,1,29,50.5,6,0,6,1.1666666666666667,5,417.3333333333333,6,7.166666666666667,16,1,3,5,0
0.0,40,0.0,2,0,0,5,0,0,3,6,4,0.6,5,14,0,17.0,50,2166,227,0,68,66.0,4,0,4,0.0,0,2761.5,2,17.0,50,0,2,1258,0
0.0,112,0.0,0,0,0,20,0,0,0,26,26,1.0,19,28,0,23.55,272,4646,46,14,228,106.85,20,0,19,12.15,91,1285.25,4,35.7,272,1,2,3710,0
0.0,78,0.0,1,0,0,3,0,0,1,15,14,0.6666666666666666,1,22,0,101.0,147,1170,291,0,163,40.0,4,0,4,60.25,124,4378.25,4,161.25,241,0,6,5,1
0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,5.0,18,1808,169,1,10,46.0,9,0,9,3.888888888888889,12,821.4285714285714,7,8.88888888888889,22,0,3,286,0
0.0,22,0.0,0,0,0,1,0,0,2,2,2,1.0,1,7,0,19.5,72,218,52,0,63,19.25,4,0,3,3.75,11,418.5,2,23.25,72,0,2,8,0
0.0,179,0.0,0,0,0,25,0,0,1,43,43,1.0,18,58,0,22.4,243,4490,65,2,221,105.26666666666667,15,0,11,7.666666666666667,65,791.25,4,30.066666666666666,243,2,9,3502,0
0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,4805.04128440367,39519,1867,8,23,292035,49.11009174311926,218,0,156,3465.4311926605506,32316,356.07142857142856,14,8270.47247706422,58435,1,2,1,0
0.0,24,0.0,0,0,0,2,0,0,0,7,7,1.0,2,5,0,7.5,51,430,30,1,70,44.42857142857143,14,0,12,2.5,8,2586.6666666666665,3,10.0,51,0,2,8,0
0.0,12,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.611111111111111,15,3201,116,4,32,54.55555555555556,18,0,18,2.8333333333333335,12,2164.75,4,7.444444444444445,27,1,1,1106,0
0.0,47,0.0,1,0,0,4,0,0,2,6,5,0.75,4,17,0,23.071428571428573,88,3040,116,0,87,57.92857142857143,14,1,12,16.857142857142858,88,181.6,5,39.92857142857143,88,1,5,1409,0
0.0,26,0.0,3,0,0,3,0,0,3,3,0,0.0,3,3,0,103.14285714285714,471,1178,145,1,692,56.57142857142857,7,0,4,4.285714285714286,26,179.33333333333334,3,107.42857142857143,471,0,1,158,0
0.0,57,0.0,0,0,0,6,0,0,2,9,9,1.0,5,9,0,64.6,103,2580,274,0,103,84.0,5,0,5,44.0,104,839.25,4,108.6,207,0,1,1208,0
0.0,10,20.0,0,0,2,1,0,0,0,1,1,1.0,1,8,0,7.625,39,686,61,0,45,40.375,8,0,6,2.0,6,3031.5,4,9.625,39,0,4,192,0
0.0,9,0.0,0,0,0,1,0,0,1,1,1,1.0,1,2,0,148.54545454545453,1499,1194,92,3,1556,53.72727272727273,11,0,9,7.090909090909091,31,69.0,5,155.63636363636363,1499,0,3,180,0
0.0,64,0.0,0,0,0,3,0,0,0,17,17,1.0,2,22,0,34.5,76,1007,199,0,118,121.75,4,0,4,5.0,7,141.0,2,39.5,83,2,3,208,0
0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,29.0,100,1247,255,1,59,370.5,4,0,4,14.25,29,483.0,2,43.25,100,1,5,225,0
0.0,47,0.0,0,0,0,3,0,4,3,8,8,1.0,3,6,0,21.125,74,4854,236,3,16,57.25,8,0,8,19.125,106,764.6666666666666,3,40.25,110,0,2,2960,0
0.0,8,0.0,0,0,0,1,0,1,0,1,1,1.0,1,2,0,3.2777777777777777,39,2812,116,1,40,51.44444444444444,18,0,17,1.0555555555555556,3,486.3333333333333,3,4.333333333333333,39,1,2,716,0
0.0,63,0.0,10,0,0,10,0,0,10,10,0,0.0,10,30,0,76.33333333333333,187,1010,18,0,190,52.666666666666664,3,0,3,13.0,38,107.0,1,89.33333333333333,187,0,1,956,0
