SampleId,SampleType,AverageNumberOfAddedLines,MaxNumberOfAddedLines,Age,AverageTimeBetweenChanges,NumberOfBugFixes,CodeChurn,MeanCommitMessageLength,NumberOfRevisions,NumberOfCommitsWithoutMessage,DaysWithCommits,AverageNumberOfDeletedLines,MaxNumberOfDeletedLines,MeanAuthorCommits,NumberOfDistinctCommitters,AverageNumberOfModifiedLines,MaxNumberOfModifiedLines,NumberOfRefactorings,AuthorFragmentation,TimePassedSinceTheLastChange
8608959,CLASS,10.533333333333333,64,1557,55,6,120,43.13333333333333,15,0,13,2.533333333333333,19,1025.6666666666667,6,13.066666666666666,66,0,5,727
7302347,CLASS,654.6666666666666,975,1082,153,1,988,17.0,3,0,3,325.3333333333333,975,121.0,2,980.0,1950,0,1,621
5246871,CLASS,15.875,64,2750,308,3,83,58.0,8,0,5,5.5,17,349.0,3,21.375,64,0,2,286
4545257,CLASS,8.375,28,2010,116,0,-3,43.5,8,0,5,8.75,48,451.3333333333333,6,17.125,48,1,1,1077
8783458,CLASS,14.0,86,961,69,0,74,101.625,8,0,8,4.75,15,694.5,6,18.75,86,0,4,402
4331802,CLASS,28.352941176470587,217,5313,296,1,225,116.11764705882354,17,0,17,15.117647058823529,217,523.125,8,43.470588235294116,434,1,3,278
7617518,CLASS,20.0,39,2485,1238,0,39,42.0,2,0,2,0.5,1,384.5,2,20.5,39,0,1,9
7105505,CLASS,647.0,1294,913,105,0,1294,97.5,2,0,2,0.0,0,571.0,2,647.0,1294,0,2,702
4039655,CLASS,9.0,51,2573,132,5,64,102.0,13,0,12,4.076923076923077,12,152.28571428571428,7,13.076923076923077,51,1,8,849
4794476,CLASS,10.662337662337663,178,1159,14,1,278,27.07792207792208,77,0,24,7.0519480519480515,171,7267.5,2,17.714285714285715,183,6,1,7
8128905,CLASS,53792.0,53792,988,0,0,53792,65.0,1,0,1,0.0,0,144.0,1,53792.0,53792,0,4,988
6512007,CLASS,28.142857142857142,163,854,56,1,1,48.0,7,0,6,28.0,169,295.0,1,56.142857142857146,169,0,1,462
7460730,CLASS,27.0,27,218,0,0,27,60.0,1,0,1,0.0,0,223.0,1,27.0,27,0,1,218
8312832,CLASS,108.0,215,286,65,0,215,38.0,2,0,2,0.5,1,7.0,2,108.5,215,2,1,156
4928696,CLASS,31.0,60,294,0,2,60,49.0,2,0,1,1.0,2,4629.0,1,32.0,60,0,4,294
4292390,CLASS,101.33333333333333,233,677,1,0,272,64.33333333333333,3,0,3,10.666666666666666,30,619.0,1,112.0,233,0,2,672
6635481,CLASS,24.166666666666668,63,2116,63,0,125,44.0,6,0,4,3.3333333333333335,18,101.0,1,27.5,63,0,1,1738
9369034,CLASS,43.0,85,296,143,0,85,126.5,2,0,2,0.5,1,3829.0,1,43.5,85,0,2,9
4063507,CLASS,15.454545454545455,159,735,32,2,259,50.40909090909091,22,0,21,3.6818181818181817,20,653.25,8,19.136363636363637,165,0,26,28
5098876,CLASS,8.142857142857142,42,4217,208,1,43,43.42857142857143,7,0,6,2.0,9,248.0,4,10.142857142857142,42,0,3,2760
5205041,CLASS,67.5,135,413,169,0,132,124.5,2,0,2,1.5,3,3605.0,2,69.0,135,0,1,75
4002575,CLASS,18.375,89,4969,74,0,99,52.625,16,0,15,12.1875,89,751.4285714285714,7,30.5625,178,2,5,3779
7006068,CLASS,41.666666666666664,122,499,39,0,107,51.0,3,0,3,6.0,18,348.6666666666667,3,47.666666666666664,122,0,9,380
6441911,CLASS,11.166666666666666,34,2984,21,4,25,45.166666666666664,6,0,6,7.0,21,634.5,4,18.166666666666668,45,0,1,2854
4948454,CLASS,8.545454545454545,47,3486,90,4,122,68.84848484848484,33,0,30,4.848484848484849,16,963.7142857142857,7,13.393939393939394,47,5,8,495
7247159,CLASS,49.4,437,1896,163,2,471,48.0,10,0,7,2.3,8,1021.5,2,51.7,437,1,9,264
5359797,CLASS,43.32258064516129,3329,2264,7,32,5317,116.66451612903226,310,0,246,26.170967741935485,3355,1423.6,15,69.49354838709678,3396,15,107,2
7429354,CLASS,7.916666666666667,126,1773,69,2,115,69.45833333333333,24,0,21,3.125,11,1632.0,7,11.041666666666666,126,0,9,116
4567462,CLASS,44.54761904761905,658,3859,66,19,1551,157.54761904761904,42,0,42,7.619047619047619,67,514.0,8,52.166666666666664,658,2,1,1069
5670638,CLASS,23.333333333333332,181,2796,42,2,317,251.23809523809524,21,0,18,8.238095238095237,75,537.4,5,31.571428571428573,181,2,4,1908
6442866,CLASS,20.235294117647058,139,1645,12,16,239,71.3529411764706,17,0,13,6.176470588235294,29,76.75,4,26.41176470588235,139,0,8,1440
8811340,CLASS,4805.04128440367,39519,1867,8,23,292035,49.11009174311926,218,0,156,3465.4311926605506,32316,356.07142857142856,14,8270.47247706422,58435,1,10,1
9260596,CLASS,75.57142857142857,254,4129,510,1,255,111.85714285714286,7,0,7,39.142857142857146,254,3829.0,1,114.71428571428571,254,0,1,556
3827535,CLASS,44.442953020134226,1285,2726,18,11,1215,76.71812080536913,149,0,129,36.288590604026844,1050,368.2,25,80.73154362416108,2030,8,94,39
8722299,CLASS,75.0,75,350,0,1,75,72.0,1,0,1,0.0,0,29.0,1,75.0,75,0,1,350
6443200,CLASS,47.0,47,1546,0,1,47,70.0,1,0,1,0.0,0,138.0,1,47.0,47,0,2,1546
4435794,CLASS,54.5,104,1653,98,0,102,64.0,2,0,2,3.5,7,121.0,2,58.0,104,0,4,1457
9453983,CLASS,70.0,171,2024,156,1,205,80.33333333333333,3,0,3,1.6666666666666667,4,533.5,2,71.66666666666667,171,0,14,1556
3972251,CLASS,25.8,74,2971,284,0,215,168.4,10,0,9,4.3,13,115.83333333333333,6,30.1,80,1,1,130
8962194,CLASS,1070.7777777777778,5882,1513,51,0,21350,106.14814814814815,27,0,24,280.037037037037,2625,468.7142857142857,7,1350.8148148148148,6836,2,186,133
4925720,CLASS,50.27272727272727,232,3194,245,6,237,47.90909090909091,11,0,8,28.727272727272727,176,4544.666666666667,3,79.0,351,0,6,489
5133545,CLASS,29.0,154,2374,288,1,137,52.57142857142857,7,0,5,9.428571428571429,29,183.66666666666666,3,38.42857142857143,154,0,4,356
8347642,CLASS,143.0,143,5925,0,0,143,15.0,1,0,1,0.0,0,918.0,1,143.0,143,0,12,5925
3996032,CLASS,59.0,59,2340,0,0,59,85.0,1,0,1,0.0,0,1597.0,1,59.0,59,0,2,2340
7786735,CLASS,18.939393939393938,127,4896,67,3,-132,57.484848484848484,33,0,29,22.939393939393938,127,2392.8,10,41.878787878787875,254,3,6,2681
4088995,CLASS,20.83783783783784,204,2912,72,2,66,70.72972972972973,37,0,34,19.054054054054053,290,117.3529411764706,17,39.891891891891895,358,0,14,219
8403578,CLASS,71.33333333333333,211,422,139,1,213,40.666666666666664,3,0,3,0.3333333333333333,1,264.6666666666667,3,71.66666666666667,211,0,16,5
4062660,CLASS,60.0,163,321,65,1,177,53.333333333333336,3,0,3,1.0,3,97.5,2,61.0,163,1,9,124
3787706,CLASS,168.0,168,501,0,0,168,23.0,1,0,1,0.0,0,34.0,1,168.0,168,0,1,501
9024840,CLASS,198.0,198,718,0,0,396,46.0,2,0,2,0.0,0,653.0,1,198.0,198,0,14,717
7412708,CLASS,9.25,63,3129,190,2,65,71.75,16,0,16,5.1875,27,308.3333333333333,6,14.4375,63,1,4,77
5832025,CLASS,75.0,528,4744,230,7,629,93.625,16,0,15,35.6875,528,5623.833333333333,6,110.6875,1056,0,35,1058
6703649,CLASS,40.266666666666666,234,564,36,1,509,37.6,15,0,11,6.333333333333333,22,272.125,8,46.6,242,0,21,22
7161553,CLASS,68.66666666666667,204,304,85,0,204,43.666666666666664,3,0,3,0.6666666666666666,2,5.666666666666667,3,69.33333333333333,204,0,16,47
8507718,CLASS,21.02127659574468,197,2413,49,9,447,69.48936170212765,47,0,40,11.51063829787234,197,260.5263157894737,19,32.53191489361702,197,2,21,103
7136749,CLASS,206.0,515,1701,275,1,617,65.66666666666667,3,0,3,0.3333333333333333,1,50.5,2,206.33333333333334,515,0,1,874
8603648,CLASS,67.4,332,734,118,2,334,60.6,5,0,4,0.6,1,1359.5,4,68.0,332,0,16,142
9395153,CLASS,67.33333333333333,685,4129,223,1,648,187.16666666666666,18,0,18,31.333333333333332,431,3829.0,1,98.66666666666667,835,0,42,114
6850586,CLASS,29.0,57,1135,70,0,57,57.5,2,0,2,0.5,1,33.0,1,29.5,57,1,1,994
6982100,CLASS,9.0,17,641,143,0,35,46.25,4,0,2,0.25,1,378.6666666666667,3,9.25,17,0,2,68
6048029,CLASS,344.0,344,1193,0,0,344,14.0,1,0,1,0.0,0,338.0,1,344.0,344,0,5,1193
6428158,CLASS,17.615384615384617,111,3714,269,13,149,84.61538461538461,13,0,13,6.153846153846154,25,937.6666666666666,6,23.76923076923077,111,0,19,208
4628823,CLASS,24.0,38,754,98,0,65,59.0,4,0,3,7.75,22,147.33333333333334,3,31.75,53,0,2,359
7790376,CLASS,9.211764705882352,47,4796,47,7,75,64.88235294117646,85,0,66,8.329411764705883,173,1675.1875,16,17.541176470588237,173,6,15,732
7528188,CLASS,12.0,49,1302,177,1,48,29.0,5,0,3,2.4,8,36.5,4,14.4,49,0,2,413
5857991,CLASS,43.888888888888886,487,4472,145,3,459,82.38888888888889,18,0,14,18.38888888888889,261,1435.6,5,62.27777777777778,487,0,7,1849
6337145,CLASS,21.625,75,1086,97,2,65,42.125,8,0,5,13.5,69,965.6666666666666,3,35.125,138,0,2,303
4745312,CLASS,190.5,717,553,91,0,711,173.0,4,0,3,12.75,38,292.5,2,203.25,717,0,7,189
5088331,CLASS,20.653846153846153,304,3077,108,7,170,63.42307692307692,26,0,23,14.115384615384615,134,234.45454545454547,11,34.76923076923077,304,5,12,255
8192759,CLASS,18.36842105263158,106,5707,295,5,57,155.3684210526316,19,0,19,15.368421052631579,106,274.57142857142856,7,33.73684210526316,212,1,2,84
7594784,CLASS,12.535714285714286,67,1841,65,3,206,51.464285714285715,28,0,22,5.178571428571429,38,221.25,4,17.714285714285715,102,0,6,2
6091805,CLASS,9.625,52,588,38,3,55,30.75,8,0,6,2.75,12,81.0,4,12.375,52,0,2,282
8295936,CLASS,17.333333333333332,86,1262,170,0,96,56.166666666666664,6,0,6,1.3333333333333333,5,470.4,5,18.666666666666668,86,0,5,240
3888459,CLASS,7.166666666666667,30,1920,76,0,33,46.833333333333336,12,0,10,4.416666666666667,11,564.6666666666666,6,11.583333333333334,30,0,2,1000
8262479,CLASS,17.0,17,965,0,0,17,108.0,1,0,1,0.0,0,80.0,1,17.0,17,0,1,965
5752718,CLASS,21.714285714285715,137,798,72,1,131,47.0,7,0,6,3.0,16,1002.5,4,24.714285714285715,137,0,9,289
3732429,CLASS,31.15026833631485,2574,2870,5,112,3683,33.98032200357782,559,0,271,24.561717352415027,2534,157.5,26,55.711985688729875,5108,62,123,0
3795599,CLASS,52.25,186,1013,161,0,179,22.25,4,0,4,7.5,16,27.75,4,59.75,186,0,4,367
4625995,CLASS,26.54054054054054,235,2915,74,6,530,63.45945945945946,37,0,31,12.216216216216216,131,778.9166666666666,12,38.75675675675676,271,1,17,164
5704168,CLASS,16.176470588235293,118,1843,88,2,80,64.23529411764706,17,0,16,11.470588235294118,60,441.42857142857144,7,27.647058823529413,177,0,7,333
7563790,CLASS,31.835443037974684,527,3691,46,10,771,58.70886075949367,79,0,64,22.075949367088608,527,1087.9285714285713,14,53.91139240506329,1054,2,46,2
7720470,CLASS,25.88888888888889,138,288,12,2,216,51.111111111111114,9,0,8,1.8888888888888888,6,200.0,4,27.77777777777778,138,0,13,177
7168351,CLASS,27.5,51,840,3,0,51,19.5,2,0,2,2.0,4,22.0,1,29.5,51,0,4,834
4193150,CLASS,32.42553191489362,366,4443,90,8,549,68.48936170212765,47,0,36,20.74468085106383,365,581.3636363636364,11,53.170212765957444,401,3,5,184
4359600,CLASS,51.53846153846154,318,5313,387,0,319,67.92307692307692,13,0,13,27.0,318,636.875,8,78.53846153846153,636,1,5,278
8911068,CLASS,44.36363636363637,588,1306,38,1,710,112.12121212121212,33,0,31,22.848484848484848,33,210.88235294117646,17,67.21212121212122,588,0,6,52
6099482,CLASS,100.0,100,431,0,0,100,18.0,1,0,1,0.0,0,1.0,1,100.0,100,0,1,431
4608696,CLASS,15.367088607594937,452,4812,58,17,602,106.88607594936708,79,0,67,7.746835443037975,137,1260.4666666666667,15,23.11392405063291,452,7,3,189
8501968,CLASS,15.0,71,1450,205,2,73,101.6,5,0,5,0.4,1,151.0,3,15.4,71,1,2,424
6484821,CLASS,89.0,177,556,50,0,177,45.0,2,0,2,0.5,1,1709.0,2,89.5,177,0,8,456
8811171,CLASS,4805.04128440367,39519,1867,8,23,292035,49.11009174311926,218,0,156,3465.4311926605506,32316,356.07142857142856,14,8270.47247706422,58435,1,5,1
4159107,CLASS,52.131147540983605,735,2499,36,11,1487,77.91803278688525,61,0,56,27.75409836065574,738,205.0,9,79.88524590163935,1473,7,4,283
7936623,CLASS,17.636363636363637,75,5585,264,1,105,36.81818181818182,11,0,10,8.090909090909092,53,1033.0,4,25.727272727272727,128,0,3,2679
4451710,CLASS,42.38461538461539,325,1846,126,2,470,71.6923076923077,13,0,13,6.230769230769231,56,139.5,10,48.61538461538461,325,0,1,207
4240679,CLASS,24.166666666666668,112,1706,10,2,83,67.83333333333333,6,0,4,10.333333333333334,28,110.5,2,34.5,112,1,7,1644
4206321,CLASS,12.54,355,2455,23,14,754,58.55,100,0,87,5.0,69,613.8214285714286,28,17.54,355,6,4,62
4509296,CLASS,8.571428571428571,36,4965,228,2,48,102.42857142857143,21,0,20,6.285714285714286,33,960.1666666666666,6,14.857142857142858,69,2,1,176
9138075,CLASS,79.5,162,5143,620,2,162,144.5,6,0,6,52.5,156,972.5,4,132.0,318,0,1,1423
4815345,CLASS,28.64406779661017,302,422,7,9,834,80.69491525423729,59,0,49,14.508474576271187,283,112.57142857142857,7,43.152542372881356,524,0,39,6
8618083,CLASS,12.666666666666666,83,991,48,3,92,65.44444444444444,9,0,9,2.4444444444444446,10,1402.5,4,15.11111111111111,83,0,7,555
5997662,CLASS,119.0,236,228,3,0,238,37.0,2,0,2,0.0,0,76.5,2,119.0,236,1,28,222
8598065,CLASS,3339.5,34423,2699,102,1,50390,71.15384615384616,26,0,23,1401.423076923077,14654,1526.0714285714287,14,4740.923076923077,44644,1,4,29
7251791,CLASS,26.875,115,3750,435,2,161,61.25,8,0,7,6.75,30,710.0,3,33.625,115,2,23,264
7372240,CLASS,34.31578947368421,525,427,15,3,532,34.89473684210526,19,0,15,6.315789473684211,37,3641.5,6,40.63157894736842,525,0,61,127
4232843,CLASS,62.319148936170215,1262,6168,119,8,539,77.55319148936171,47,0,37,50.851063829787236,988,201.0,13,113.17021276595744,1262,3,93,556
8267819,CLASS,63016.0,63016,996,0,0,63016,65.0,1,0,1,0.0,0,80.0,1,63016.0,63016,0,3,996
8717357,CLASS,9.125,28,6524,394,4,49,33.25,16,0,14,6.0625,28,1557.6666666666667,9,15.1875,56,0,4,213
7157571,CLASS,36.0,94,1103,138,0,101,16.666666666666668,3,0,3,2.3333333333333335,5,6.0,2,38.333333333333336,94,0,3,688
6493712,CLASS,102.33333333333333,290,776,160,2,291,51.0,3,0,3,5.333333333333333,11,170.0,1,107.66666666666667,290,0,14,296
6578481,CLASS,23930.0,23930,1007,0,0,23930,14.0,1,0,1,0.0,0,99.0,1,23930.0,23930,0,35,1007
7790763,CLASS,237.0,237,2923,0,1,237,56.0,1,0,1,0.0,0,2731.0,1,237.0,237,0,2,2923
6468434,CLASS,132.2,540,556,96,0,573,40.2,5,0,5,17.6,85,1114.25,4,149.8,540,0,2,74
8887186,CLASS,17.636363636363637,100,2187,164,1,111,99.9090909090909,11,0,10,7.545454545454546,68,225.85714285714286,7,25.181818181818183,136,0,6,380
3862557,CLASS,27.0,79,2288,541,0,77,43.333333333333336,3,0,2,1.3333333333333333,3,417.5,2,28.333333333333332,79,0,2,664
4003492,CLASS,131.0,131,2340,0,0,131,85.0,1,0,1,0.0,0,1597.0,1,131.0,131,0,8,2340
8886007,CLASS,3387.156862745098,36359,3853,24,4,254256,102.11764705882354,153,0,145,1725.3529411764705,31627,243.92156862745097,51,5112.509803921569,67986,5,4,52
6865229,CLASS,45.0,89,1135,70,0,89,57.5,2,0,2,0.5,1,33.0,1,45.5,89,1,1,994
7754810,CLASS,15.895833333333334,228,1355,9,17,-1,72.47222222222223,144,0,101,15.902777777777779,986,603.3125,16,31.79861111111111,986,15,28,10
9276314,CLASS,72.8,305,1121,84,2,531,176.8,10,0,10,19.7,148,3829.0,1,92.5,453,0,27,275
8601732,CLASS,28.0,85,577,135,0,111,66.75,4,0,4,0.25,1,1159.0,2,28.25,85,0,3,36
5019534,CLASS,5.947368421052632,29,4125,122,1,65,58.10526315789474,19,0,19,2.526315789473684,13,1823.5,4,8.473684210526315,36,1,3,1805
8494605,CLASS,6.476923076923077,78,3143,41,19,129,106.41538461538461,65,0,53,4.492307692307692,36,431.95238095238096,21,10.96923076923077,78,13,11,424
6542357,CLASS,20.692307692307693,151,2506,162,1,45,70.61538461538461,13,0,12,17.23076923076923,183,101.83333333333333,6,37.92307692307692,198,2,4,392
4707700,CLASS,11.75,75,2089,165,2,72,60.875,8,0,7,2.75,13,1609.0,2,14.5,75,1,2,769
9295153,CLASS,116.875,850,1495,153,1,868,175.375,8,0,8,8.375,32,3829.0,1,125.25,850,1,5,266
5865465,CLASS,54.0,99,1366,4,0,108,44.0,2,0,2,0.0,0,5699.0,1,54.0,99,0,5,1358
6773071,CLASS,136.65,1092,1198,59,1,1555,36.85,20,0,18,58.9,882,18.333333333333332,6,195.55,1092,1,277,0
3881454,CLASS,29.142857142857142,167,1085,105,0,160,74.71428571428571,7,0,6,6.285714285714286,17,101.25,4,35.42857142857143,167,0,13,350
7792407,CLASS,8.966666666666667,66,4902,139,5,25,48.266666666666666,30,0,23,8.133333333333333,83,2684.222222222222,9,17.1,83,1,31,717
4977435,CLASS,28.833333333333332,107,675,79,0,126,54.333333333333336,6,0,6,7.833333333333333,24,237.25,4,36.666666666666664,107,1,14,196
6119974,CLASS,142.22222222222223,1151,1194,53,1,1218,50.44444444444444,9,0,7,6.888888888888889,48,69.0,5,149.11111111111111,1151,0,5,712
8436827,CLASS,20.96153846153846,139,3099,119,10,194,67.92307692307692,26,0,23,13.5,139,4113.1,10,34.46153846153846,278,1,8,5
9507808,CLASS,33.666666666666664,180,3473,183,2,521,104.16666666666667,18,0,18,4.722222222222222,52,985.0,13,38.388888888888886,180,0,1,163
7867450,CLASS,11.363636363636363,88,1138,97,0,74,73.63636363636364,11,0,10,4.636363636363637,26,226.1,10,16.0,88,1,6,70
7944953,CLASS,22.210526315789473,295,2570,82,8,262,73.73684210526316,19,0,15,8.421052631578947,47,595.6666666666666,6,30.63157894736842,295,0,4,1011
4858143,CLASS,19.266666666666666,136,1464,94,2,201,64.8,15,0,14,5.866666666666666,26,213.375,8,25.133333333333333,136,0,2,53
3856241,CLASS,20.681818181818183,65,2726,108,0,209,64.72727272727273,22,0,20,11.181818181818182,62,623.0,8,31.863636363636363,111,0,9,350
9189420,CLASS,47.0,93,4489,424,1,65,39.5,2,0,2,14.5,29,1574.5,2,61.5,93,0,2,3640
5657210,CLASS,13.444444444444445,93,2185,226,3,92,179.11111111111111,9,0,9,3.2222222222222223,19,3423.5,2,16.666666666666668,93,0,5,144
5668440,CLASS,181.0,181,130,0,0,181,56.0,1,0,1,0.0,0,280.0,1,181.0,181,0,2,130
8406115,CLASS,9.30952380952381,81,4388,104,4,128,79.11904761904762,42,0,34,6.261904761904762,35,3565.7272727272725,11,15.571428571428571,116,2,11,5
6080166,CLASS,958.3333333333334,5692,431,46,2,5724,33.333333333333336,6,0,5,4.333333333333333,8,2750.5,2,962.6666666666666,5692,0,8,152
7829336,CLASS,141.66666666666666,394,17,3,0,420,65.0,3,0,3,1.6666666666666667,4,780.0,1,143.33333333333334,394,0,12,8
4737430,CLASS,76.28571428571429,308,923,85,1,251,28.0,7,0,7,40.42857142857143,120,390.3333333333333,3,116.71428571428571,308,0,7,325
8537138,CLASS,14.4,42,3143,181,2,44,56.333333333333336,15,0,15,11.466666666666667,40,321.5,14,25.866666666666667,74,1,2,424
6397068,CLASS,64.66666666666667,175,2283,165,8,212,56.166666666666664,12,0,11,47.0,175,318.25,4,111.66666666666667,350,1,6,298
4496340,CLASS,31.789473684210527,117,1508,75,3,442,68.94736842105263,19,0,17,8.526315789473685,39,111.85714285714286,7,40.31578947368421,141,0,35,79
7911276,CLASS,6.2,29,2164,73,0,46,50.12,25,0,22,4.36,13,606.0909090909091,11,10.56,29,0,2,330
5427653,CLASS,7.0,35,3921,180,2,101,82.3,20,0,16,1.95,5,933.6,5,8.95,38,1,5,319
4400511,CLASS,10.9,58,3985,340,1,76,73.6,10,0,10,3.3,24,2384.0,5,14.2,58,0,6,583
5097474,CLASS,19.285714285714285,60,1778,171,3,71,65.28571428571429,7,0,7,9.142857142857142,60,462.6666666666667,3,28.428571428571427,60,0,1,576
9312524,CLASS,52.2,211,771,133,0,209,58.8,5,0,5,10.4,44,3829.0,1,62.6,211,1,4,104
7414155,CLASS,58.125,748,666,31,2,799,40.625,16,0,13,8.1875,71,668.1666666666666,6,66.3125,748,1,4,162
7126434,CLASS,11.2,58,2225,129,1,70,71.6,10,0,9,4.2,17,63.0,8,15.4,58,1,15,929
9198380,CLASS,10.4,15,3993,123,4,36,100.6,5,0,5,3.2,15,1403.6666666666667,3,13.6,28,0,1,3376
7471950,CLASS,19.341772151898734,161,3031,38,6,248,63.48101265822785,79,0,63,16.20253164556962,327,313.92857142857144,14,35.54430379746835,380,7,18,0
5214839,CLASS,14.85,110,5117,238,1,136,51.45,20,0,20,08.05,94,211.44444444444446,9,22.9,204,0,6,356
4472442,CLASS,21.7,106,3655,131,2,143,133.3,10,0,8,7.4,29,392.25,4,29.1,119,0,11,2338
8131397,CLASS,13.833333333333334,43,3239,371,3,75,109.66666666666667,6,0,6,1.3333333333333333,4,395.0,4,15.166666666666666,47,0,14,1011
6254667,CLASS,40.2,151,904,73,3,123,35.8,5,0,4,15.6,72,210.66666666666666,3,55.8,151,1,16,539
8140286,CLASS,31.0,31,1006,0,0,31,27.0,1,0,1,0.0,0,49.0,1,31.0,31,0,1,1006
7643210,CLASS,12.0,92,5467,287,0,88,90.78947368421052,19,0,19,7.368421052631579,39,1081.8,5,19.36842105263158,92,5,5,8
7623277,CLASS,6.78125,40,5314,165,12,58,69.90625,32,0,30,4.96875,46,1442.0,3,11.75,86,6,5,9
8955314,CLASS,3387.156862745098,36359,3853,24,4,254256,102.11764705882354,153,0,145,1725.3529411764705,31627,243.92156862745097,51,5112.509803921569,67986,5,4,52
5946774,CLASS,16.11764705882353,49,4458,191,2,50,116.05882352941177,17,0,15,13.176470588235293,50,721.8333333333334,6,29.294117647058822,98,0,2,1208
4257056,CLASS,23.085714285714285,176,6029,147,6,198,107.82857142857142,35,0,29,17.428571428571427,174,237.55555555555554,9,40.51428571428571,350,0,5,850
6358306,CLASS,354.0,383,3026,378,0,364,27.0,2,0,2,172.0,344,335.0,2,526.0,669,0,35,2270
4512195,CLASS,263.0,1034,4734,110,0,1037,48.75,4,0,4,3.75,13,808.5,4,266.75,1034,0,60,4294
7100929,CLASS,434.0,434,115,0,0,434,60.0,1,0,1,0.0,0,388.0,1,434.0,434,0,8,115
4480837,CLASS,32.785714285714285,229,1000,5,1,209,42.285714285714285,14,0,12,17.857142857142858,90,202.0,1,50.642857142857146,229,2,11,928
7308132,CLASS,122.0,122,2725,0,1,122,57.0,1,0,1,0.0,0,213.0,1,122.0,122,0,4,2725
4823396,CLASS,25.636363636363637,109,3599,252,1,105,36.54545454545455,11,0,11,16.09090909090909,109,356.7142857142857,7,41.72727272727273,109,0,3,819
6204915,CLASS,9.0,46,843,67,1,47,34.666666666666664,9,0,9,3.7777777777777777,20,109.0,6,12.777777777777779,46,0,6,233
3868578,CLASS,15.272727272727273,116,3896,317,1,52,116.36363636363636,11,0,10,10.545454545454545,61,379.5,2,25.818181818181817,116,2,2,406
7482608,CLASS,27.0,27,218,0,0,27,60.0,1,0,1,0.0,0,223.0,1,27.0,27,0,1,218
6454251,CLASS,581.5,896,1177,578,0,1152,50.5,2,0,2,5.5,11,261.5,2,587.0,896,0,123,21
9025601,CLASS,43.34782608695652,416,2492,99,5,589,56.52173913043478,23,0,22,17.73913043478261,238,2323.285714285714,7,61.08695652173913,514,4,2,199
9308078,CLASS,41.09090909090909,433,4129,360,1,434,116.36363636363636,11,0,11,1.6363636363636365,6,3829.0,1,42.72727272727273,433,1,4,169
6364375,CLASS,10.333333333333334,34,586,61,2,71,36.0,9,0,7,2.4444444444444446,9,37.333333333333336,3,12.777777777777779,36,0,2,33
3797814,CLASS,213.0,213,367,0,0,213,18.0,1,0,1,0.0,0,34.0,1,213.0,213,0,3,367
5153171,CLASS,34.333333333333336,69,800,175,0,80,55.666666666666664,3,0,2,7.666666666666667,20,420.0,1,42.0,69,0,4,273
7899501,CLASS,189.33333333333334,353,177,34,2,480,48.666666666666664,3,0,3,29.333333333333332,83,263.0,1,218.66666666666666,436,0,53,74
6416620,CLASS,12.0,37,6247,548,6,37,48.27272727272727,11,0,11,8.636363636363637,37,816.1111111111111,9,20.636363636363637,74,0,3,214
5549285,CLASS,11.833333333333334,99,6259,224,5,55,76.625,24,0,22,9.541666666666666,52,754.9,10,21.375,99,1,4,883
6641988,CLASS,14.285714285714286,61,1454,122,1,50,34.0,7,0,7,7.142857142857143,23,122.4,5,21.428571428571427,61,0,1,595
5158152,CLASS,16.833333333333332,55,2634,372,1,73,39.833333333333336,6,0,6,4.666666666666667,25,446.6,5,21.5,55,0,4,399
7527099,CLASS,10.5,59,1302,74,1,44,55.666666666666664,12,0,10,6.833333333333333,45,116.8,5,17.333333333333332,59,0,3,413
5245618,CLASS,42.4,109,1392,20,0,127,59.0,5,0,5,17.0,63,133.0,3,59.4,112,0,6,1290
4965107,CLASS,17.333333333333332,91,965,58,2,183,32.0,12,0,11,2.0833333333333335,12,859.0,2,19.416666666666668,91,1,7,266
5603925,CLASS,14.571428571428571,74,5460,191,5,274,68.14285714285714,28,0,25,4.785714285714286,46,702.875,8,19.357142857142858,79,5,6,87
6261774,CLASS,14.375,107,976,100,3,85,81.75,8,0,7,3.75,28,322.8,5,18.125,107,0,8,175
4694033,CLASS,57.0,57,167,0,0,57,65.0,1,0,1,0.0,0,133.0,1,57.0,57,0,13,167
6301436,CLASS,35.333333333333336,104,547,155,0,104,40.0,3,0,3,0.6666666666666666,1,2596.3333333333335,3,36.0,104,0,2,80
9537015,CLASS,38.36363636363637,220,2833,242,0,226,85.27272727272727,11,0,11,17.818181818181817,150,650.1428571428571,7,56.18181818181818,220,0,7,163
4304469,CLASS,7.777777777777778,32,1565,31,1,96,59.94444444444444,18,0,16,2.4444444444444446,17,254.4,5,10.222222222222221,39,1,1,997
9191083,CLASS,20.444444444444443,101,5143,85,2,74,35.111111111111114,9,0,9,12.222222222222221,34,1158.6666666666667,3,32.666666666666664,101,0,2,4378
4283493,CLASS,9.363636363636363,61,2700,101,3,69,76.45454545454545,11,0,11,3.090909090909091,10,173.0,4,12.454545454545455,61,1,9,1587
9104309,CLASS,55.1764705882353,208,921,34,0,648,43.35294117647059,17,0,15,17.058823529411764,119,1586.3333333333333,3,72.23529411764706,260,2,2,333
4834610,CLASS,9.88888888888889,47,2786,200,1,43,64.55555555555556,9,0,8,5.111111111111111,23,2761.5,2,15.0,47,1,4,983
7048486,CLASS,78.3076923076923,599,423,29,2,679,79.07692307692308,13,0,12,26.076923076923077,222,352.5,2,104.38461538461539,599,2,2,36
