id,LambdaDensity,LinesOfCodeInClass,MethodReferenceDensity,NumberOfAccessorMethods,NumberOfLambdaExpressionsInClass,NumberOfMethodReferencesPerClass,NumberOfMethods,NumberOfMutatorMethods,NumberOfPublicFields,NumberOfPrivateFields,WeightedMethodsPerClass,WeightedMethodsPerClassWithoutAccessorAndMutatorMethods,WeightOfClass,NumberOfPublicMethods,ResponseForClass,NumberOfAnnotations,MeanAuthorCommits,Severity
279,0.0,81,0.0,7,0,0,14,7,0,7,14,0,0.0,14,16,5,204.5,3
280,0.0,7,0.0,0,0,0,1,0,0,0,1,1,1.0,1,1,0,34.0,0
281,0.0,5,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,1.0,0
282,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,25.5,0
283,0.0,40,0.0,0,0,0,2,0,0,2,8,8,1.0,2,15,0,541.6666666666666,0
284,0.0,59,0.0,0,0,0,3,0,2,3,7,7,1.0,2,32,0,659.0,0
285,0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,215.25,0
286,0.0,30,0.0,0,0,0,2,0,0,2,3,3,1.0,2,12,0,578.6,0
287,0.0,25,0.0,0,0,0,2,0,0,1,3,3,1.0,1,19,1,329.625,0
288,0.0,183,0.0,11,0,0,31,0,0,2,34,23,0.6451612903225806,30,36,0,514.375,0
289,0.0,18,0.0,0,0,0,2,0,0,1,2,2,1.0,2,4,0,589.6666666666666,0
290,0.0,13,0.0,1,0,0,2,1,0,1,2,0,0.0,2,2,0,2589.0,1
291,0.0,33,0.0,4,0,0,5,0,0,1,5,1,0.2,5,5,0,65.0,1
292,0.0,44,0.0,0,0,0,2,0,0,1,8,8,1.0,1,17,0,442.55,0
293,0.0,44,0.0,4,0,0,8,4,0,4,8,0,0.0,8,8,1,293.0,2
294,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,1028.2,0
295,0.0,86,0.0,0,0,0,1,0,0,1,15,15,1.0,1,43,0,859.5714285714286,0
296,0.0,35,0.0,0,0,0,1,0,0,1,6,6,1.0,1,22,0,2080.0,0
297,16.86046511627907,172,5.232558139534884,0,29,9,10,1,0,5,22,21,0.9,8,134,0,356.0,0
298,0.0,80,0.0,1,0,0,7,0,0,0,13,12,0.8571428571428571,4,31,0,1272.25,0
299,0.0,6,0.0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,346.0,0
300,0.0,18,0.0,1,0,0,2,0,0,1,2,1,0.5,2,4,0,131.66666666666666,0
301,0.0,10,0.0,0,0,0,1,0,0,0,2,2,1.0,1,2,0,4555.666666666667,0
302,0.0,57,0.0,4,0,0,9,0,0,2,11,7,0.5555555555555556,9,15,0,330.5,1
303,0.0,20,0.0,1,0,0,2,1,0,1,2,0,0.0,2,2,0,191.125,1
304,0.0,20,0.0,0,0,0,8,0,1,0,8,8,1.0,8,8,0,347.3076923076923,0
305,0.0,60,0.0,3,0,0,8,0,1,4,9,6,0.625,8,16,4,585.1764705882352,1
306,0.0,338,0.0,1,0,0,7,0,1,18,68,67,0.8571428571428571,6,132,17,437.375,0
307,0.0,91,0.0,8,0,0,12,0,1,5,16,7,0.3333333333333333,12,26,4,593.1666666666666,1
308,0.0,9,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,355.77777777777777,0
309,0.0,28,0.0,0,0,0,13,0,0,0,13,13,1.0,0,13,0,275.6,0
310,0.0,981,0.0,5,0,0,32,2,0,4,168,161,0.78125,26,542,36,285.10526315789474,0
311,0.0,357,0.0,0,0,0,22,0,0,4,57,57,1.0,5,165,0,172.4,0
312,0.0,7,0.0,0,0,0,2,0,0,0,2,2,1.0,2,2,0,2144.1666666666665,0
313,0.0,197,0.0,18,0,0,27,1,0,16,28,9,0.2962962962962963,27,33,0,1044.5,3
314,0.0,30,0.0,0,0,0,2,0,0,2,3,3,1.0,2,13,0,1526.071428571429,0
315,0.0,21,0.0,0,0,0,1,0,0,0,3,3,1.0,0,4,0,767.3846153846154,0
316,0.0,54,0.0,0,0,0,2,0,0,0,10,10,1.0,2,22,0,1526.071428571429,0
317,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,1614.3076923076924,0
318,0.0,24,0.0,0,0,0,2,0,0,0,4,4,1.0,0,13,0,1195.571428571429,0
319,1.2195121951219512,82,1.2195121951219512,3,1,1,9,0,0,4,18,15,0.6666666666666666,1,37,0,44.0,0
320,0.0,47,0.0,1,0,0,5,0,0,3,6,5,0.8,5,13,0,587.0384615384615,0
321,0.0,20,0.0,0,0,0,3,0,0,1,4,4,1.0,3,6,0,1407.0,0
322,0.0,65,0.0,0,0,0,3,0,1,1,15,15,1.0,3,21,0,944.4,0
323,0.0,15,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1932.857142857143,0
324,0.0,153,0.0,4,0,0,13,0,0,3,50,45,0.6923076923076923,13,28,0,848.875,0
325,0.0,19,0.0,0,0,0,1,0,0,0,5,5,1.0,1,11,0,113.42857142857144,0
326,0.0,29,0.0,0,0,0,3,0,0,0,3,3,1.0,3,7,0,1004.8695652173913,0
327,0.0,202,0.0,11,0,0,20,0,1,12,30,19,0.45,20,52,0,1920.5,0
328,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,323.0,0
329,0.0,19,0.0,0,0,0,1,0,0,0,3,3,1.0,1,9,0,441.3333333333333,0
330,0.0,104,0.0,1,0,0,6,0,0,4,15,14,0.8333333333333334,5,50,0,1052.0,0
331,0.0,32,0.0,1,0,0,3,0,0,2,5,4,0.6666666666666666,3,12,0,1441.2,0
332,0.0,20,0.0,0,0,0,1,0,0,3,2,2,1.0,1,6,0,1031.5,0
333,0.0,69,0.0,2,0,0,6,0,0,0,18,16,0.6666666666666666,5,18,0,356.07142857142856,0
334,0.0,738,0.0,15,0,0,52,5,6,10,166,146,0.6153846153846154,50,146,0,356.07142857142856,0
335,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,490.0,0
336,0.0,41,0.0,0,0,0,2,0,0,0,7,7,1.0,2,16,0,421.9,0
337,0.0,30,0.0,3,0,0,4,0,0,1,4,1,0.25,4,5,0,237.0,0
338,0.0,83,0.0,0,0,0,2,0,0,0,16,16,1.0,2,28,0,243.92156862745097,0
339,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,243.92156862745097,0
340,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,243.92156862745097,0
341,0.0,7,0.0,0,0,0,1,0,0,0,1,1,1.0,1,2,0,360.0,0
342,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,611.5,0
343,0.0,30,0.0,0,0,0,4,0,0,0,4,4,1.0,4,23,0,785.0,0
344,0.0,80,0.0,0,0,0,3,0,0,1,18,18,1.0,0,66,0,822.25,0
345,0.0,28,0.0,0,0,0,2,0,0,1,3,3,1.0,2,12,0,243.92156862745097,0
346,0.0,27,0.0,0,0,0,3,0,0,0,4,4,1.0,2,10,0,218.5,0
347,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,381.9166666666667,0
348,0.0,108,0.0,1,0,0,5,0,0,2,21,20,0.8,4,14,0,913.0,0
349,0.0,28,0.0,0,0,0,3,0,1,0,3,3,1.0,2,7,0,3079.333333333333,0
350,0.0,48,0.0,4,0,0,5,0,1,4,5,1,0.2,5,8,0,52.5,1
351,0.0,124,0.0,6,0,0,20,2,1,1,30,18,0.6,19,20,0,1937.25,0
352,0.0,47,0.0,0,0,0,7,0,0,1,8,8,1.0,7,28,0,1459.5,0
353,0.0,51,0.0,0,0,0,1,0,0,4,7,7,1.0,1,15,0,1515.235294117647,0
354,0.0,33,0.0,0,0,0,1,0,2,1,12,12,1.0,1,27,0,2172.75,0
355,0.0,99,0.0,0,0,0,3,0,0,6,18,18,1.0,3,26,0,568.1666666666666,0
356,0.0,26,0.0,0,0,0,0,0,7,0,0,0,0.0,0,0,0,2261.1428571428573,2
357,0.0,56,0.0,0,0,0,3,0,2,3,8,8,1.0,1,28,0,3634.0,0
358,0.0,38,0.0,2,0,0,3,1,0,2,5,0,0.0,2,8,0,1897.0,0
359,0.0,19,0.0,0,0,0,2,0,0,1,4,4,1.0,1,5,0,1515.6,0
360,0.0,135,0.0,3,0,0,10,0,0,6,21,18,0.7,0,23,0,1186.4,0
361,0.0,24,0.0,3,0,0,3,0,0,2,3,0,0.0,3,5,0,2156.5,1
362,0.0,103,0.0,3,0,0,8,0,0,2,15,12,0.625,7,36,2,1222.5,0
363,0.0,78,0.0,1,0,0,5,0,0,8,8,7,0.8,5,26,3,1615.8,0
364,0.0,164,0.0,0,0,0,7,0,0,9,26,26,1.0,0,56,9,1725.0,0
365,0.0,17,0.0,1,0,0,3,0,0,0,3,2,0.6666666666666666,3,7,0,2441.0,0
366,0.0,259,0.0,9,0,0,32,7,0,3,65,45,0.5,29,88,0,1374.5,2
367,0.0,16,0.0,0,0,0,6,0,0,0,6,6,1.0,0,7,0,1448.0,0
368,0.0,10,0.0,0,0,0,4,0,0,0,4,4,1.0,0,4,0,1267.0,0
369,0.0,15,0.0,0,0,0,1,0,0,0,4,4,1.0,1,1,0,1282.0,0
370,0.0,79,0.0,0,0,0,7,0,1,0,13,13,1.0,5,31,0,895.0,1
371,0.0,242,0.0,2,0,0,23,0,0,4,47,45,0.9130434782608696,19,66,0,1113.4,1
372,0.0,41,0.0,1,0,0,4,0,2,0,7,6,0.75,4,7,0,179.36363636363637,0
373,0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,275.0,0
374,0.0,33,0.0,0,0,0,2,0,0,0,6,6,1.0,2,6,0,730.0,0
375,0.0,17,0.0,0,0,0,1,0,0,0,1,1,1.0,0,7,0,46.0,0
376,0.0,34,0.0,2,0,0,5,1,0,2,6,3,0.4,5,5,0,945.3333333333334,1
377,0.0,61,0.0,1,0,0,6,0,0,3,9,8,0.8333333333333334,6,21,0,627.3,0
378,0.0,51,0.0,2,0,0,4,1,0,2,7,2,0.25,3,12,0,650.5,1
379,0.0,7,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,1597.0,0
380,0.0,31,0.0,0,0,0,3,0,0,0,5,5,1.0,3,7,0,499.25,0
381,0.0,48,0.0,3,0,0,7,2,0,1,7,2,0.2857142857142857,7,10,0,578.3333333333334,1
382,0.0,125,0.0,1,0,0,7,1,1,9,20,18,0.7142857142857143,7,15,0,270.6666666666667,0
383,0.0,23,0.0,0,0,0,1,0,0,0,5,5,1.0,1,22,0,868.5,0
384,0.0,59,0.0,1,0,0,3,0,1,3,6,5,0.6666666666666666,3,26,2,286.4,0
385,0.0,23,0.0,0,0,0,7,0,0,0,7,7,1.0,0,7,0,285.6666666666667,0
386,0.0,23,0.0,0,0,0,3,0,0,0,5,5,1.0,2,21,0,706.0,0
387,0.1342281879194631,745,0.0,31,1,0,73,10,0,5,114,73,0.4383561643835616,54,232,0,105.0952380952381,0
388,0.0,9,0.0,0,0,0,1,0,0,1,1,1,1.0,1,1,0,230.5,0
389,0.0,30,0.0,1,0,0,4,0,1,2,4,3,0.75,4,4,0,158.23076923076923,0
390,0.0,142,0.0,0,0,0,8,0,0,2,26,26,1.0,5,151,0,366.8181818181818,0
391,0.0,71,0.0,2,0,0,5,0,1,9,14,12,0.6,5,16,1,168.0,0
392,0.0,14,0.0,0,0,0,6,0,0,0,6,6,1.0,6,6,0,285.625,0
393,0.0,8,0.0,0,0,0,3,0,0,0,3,3,1.0,0,3,0,357.6666666666667,0
394,0.0,21,0.0,0,0,0,1,0,0,0,3,3,1.0,1,4,0,26.0,0
395,0.0,80,0.0,2,0,0,7,0,0,8,11,9,0.7142857142857143,7,22,0,203.9,0
396,0.0,17,0.0,0,0,0,2,0,0,1,3,3,1.0,1,12,0,673.5,0
397,0.0,19,0.0,2,0,0,2,0,0,2,2,0,0.0,2,2,0,1378.857142857143,0
398,0.0,15,0.0,0,0,0,6,0,0,0,6,6,1.0,0,6,0,1219.125,0
399,0.0,114,0.0,0,0,0,9,0,0,1,25,25,1.0,7,133,0,780.5,0
400,0.0,49,0.0,1,0,0,6,0,0,2,9,8,0.8333333333333334,4,16,0,21.0,0
401,0.0,41,0.0,1,0,0,4,0,2,0,5,4,0.75,4,13,0,184.06666666666663,1
402,0.0,14,0.0,0,0,0,1,0,0,0,1,1,1.0,1,13,0,567.0,0
403,0.0,6,0.0,0,0,0,1,0,0,0,1,1,1.0,1,2,0,229.22222222222223,0
404,0.0,16,0.0,0,0,0,2,0,0,0,2,2,1.0,2,4,0,192.46153846153845,0
405,0.0,9,0.0,0,0,0,2,0,0,0,2,2,1.0,2,4,0,257.5,0
406,0.0,103,0.0,0,0,0,9,1,0,5,19,17,0.8888888888888888,8,31,0,206.4,0
407,0.0,25,0.0,0,0,0,1,0,0,0,3,3,1.0,1,3,0,1246.6666666666667,0
408,0.0,21,0.0,0,0,0,1,0,0,1,2,2,1.0,1,4,0,709.6666666666666,0
409,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1789.5,0
410,0.0,57,0.0,3,0,0,9,0,0,2,13,10,0.6666666666666666,8,12,0,783.5,0
411,0.0,44,0.0,1,0,0,3,0,0,3,7,6,0.6666666666666666,3,10,0,877.8333333333334,0
412,0.0,25,0.0,0,0,0,3,0,0,1,3,3,1.0,2,7,0,354.3333333333333,0
413,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2968.0,0
414,0.0,10,0.0,0,0,0,4,0,0,0,4,4,1.0,0,4,0,282.0,0
415,0.0,19,0.0,1,0,0,1,0,3,1,1,0,0.0,1,1,0,244.0,0
416,0.0,56,0.0,4,0,0,8,2,0,2,8,2,0.25,7,8,0,253.8,1
417,0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,379.6666666666667,0
418,0.0,8,0.0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,73.25,0
419,0.0,19,0.0,0,0,0,1,0,1,2,2,2,1.0,0,1,0,392.2,0
420,0.0,34,0.0,0,0,0,2,0,0,0,6,6,1.0,2,21,0,173.0,0
421,0.0,14,0.0,1,0,0,1,0,0,2,1,0,0.0,1,1,0,726.5,0
422,0.0,41,0.0,4,0,0,5,0,0,2,7,3,0.2,5,15,0,426.5,0
423,0.0,200,0.0,1,0,0,32,0,0,1,60,59,0.96875,31,32,0,1305.0,0
424,0.0,8,0.0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,619.3333333333334,0
425,0.0,124,0.0,3,0,0,11,0,0,3,24,21,0.7272727272727273,9,18,0,807.2,0
426,0.0,35,0.0,0,0,0,2,0,0,1,6,6,1.0,1,19,0,1487.111111111111,0
427,0.0,348,0.0,0,0,0,21,0,0,2,80,80,1.0,2,173,0,3629.6,0
428,1.7857142857142858,56,0.0,0,1,0,4,0,0,1,9,9,1.0,0,34,0,2875.75,0
429,0.0,17,0.0,0,0,0,2,0,0,1,2,2,1.0,2,5,0,85.6,0
430,0.0,60,0.0,0,0,0,2,0,10,1,9,9,1.0,2,25,0,97.0,0
431,0.0,57,0.0,1,0,0,10,0,0,1,10,9,0.9,10,19,0,145.0,0
432,0.0,40,0.0,2,0,0,4,0,0,2,7,5,0.5,4,12,0,83.0,1
433,0.0,18,0.0,0,0,0,1,0,0,0,5,5,1.0,0,7,0,99.33333333333331,0
434,0.0,231,0.0,3,0,0,25,0,0,3,53,50,0.88,25,122,0,134.0,0
435,0.0,28,0.0,0,0,0,1,0,0,1,4,4,1.0,1,6,0,113.44444444444444,0
436,0.0,15,0.0,0,0,0,2,0,0,0,3,3,1.0,2,7,0,5.0,0
437,0.0,10,0.0,0,0,0,4,0,0,0,4,4,1.0,4,4,0,4.0,0
438,0.0,74,0.0,1,0,0,1,0,24,0,1,0,0.0,1,1,3,131.75,2
439,0.0,31,0.0,1,0,0,2,0,0,1,5,4,0.5,2,9,0,61.0,0
440,0.0,47,0.0,1,0,0,3,1,0,4,8,6,0.3333333333333333,3,14,0,140.0,0
441,0.0,16,0.0,0,0,0,2,0,0,0,2,2,1.0,2,2,2,72.0,0
442,0.0,19,0.0,0,0,0,2,0,0,2,2,2,1.0,2,7,0,59.0,0
443,0.0,10,0.0,0,0,0,4,0,0,0,4,4,1.0,4,4,0,108.0,0
444,0.0,12,0.0,0,0,0,5,0,0,0,5,5,1.0,0,5,0,247.4,0
445,0.0,246,0.0,2,0,0,15,2,10,10,35,31,0.7333333333333333,9,63,0,224.5,1
446,0.0,9,0.0,0,0,0,1,0,0,1,1,1,1.0,1,5,0,125.85714285714286,0
447,0.0,77,0.0,4,0,0,8,0,4,5,11,7,0.5,7,15,9,117.0,1
448,0.0,191,0.0,4,0,0,13,2,0,11,31,23,0.5384615384615384,9,48,0,147.33333333333334,0
449,0.0,10,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,509.0,0
450,0.0,71,0.0,5,0,0,9,0,0,5,13,8,0.4444444444444444,5,22,0,1496.0,1
451,0.0,134,0.0,0,0,0,18,0,2,1,26,26,1.0,18,145,0,200.0,0
452,0.0,20,0.0,0,0,0,0,0,3,0,0,0,0.0,0,0,2,7.0,0
453,0.0,306,0.0,0,0,0,7,0,0,13,49,49,1.0,6,137,0,241.6153846153846,0
454,0.0,51,0.0,7,0,0,7,0,0,6,7,0,0.0,7,7,0,8.0,2
455,0.0,8,0.0,0,0,0,3,0,0,0,3,3,1.0,0,3,0,506.4,0
456,0.0,60,0.0,2,0,0,11,1,0,3,11,8,0.7272727272727273,11,31,0,1209.0,0
457,0.0,18,0.0,0,0,0,3,0,0,0,3,3,1.0,0,9,0,69.25,0
458,0.0,116,0.0,3,0,0,13,0,0,4,17,14,0.7692307692307693,13,19,0,15.0,0
459,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,55.54545454545455,0
460,0.0,52,0.0,0,0,0,9,0,0,1,11,11,1.0,9,12,0,93.0,2
461,0.0,10,0.0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,151.0,0
462,1.492537313432836,67,0.0,4,1,0,10,0,1,2,10,6,0.6,10,14,0,883.6,0
463,0.0,3,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,888.4444444444445,0
464,0.0,16,0.0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,1055.8333333333333,0
465,0.0,77,0.0,0,0,0,17,0,1,0,17,17,1.0,5,47,0,1865.8,0
466,0.0,12,0.0,1,0,0,2,0,0,0,2,1,0.5,2,2,0,819.3,0
467,0.0,37,0.0,0,0,0,2,0,1,1,5,5,1.0,2,13,1,1441.0,0
468,0.0,19,0.0,1,0,0,3,0,0,1,3,2,0.6666666666666666,3,5,0,336.0,0
469,0.0,57,0.0,2,0,0,3,0,0,1,13,11,0.3333333333333333,3,12,0,716.6363636363636,0
470,0.0,12,0.0,0,0,0,5,0,0,0,5,5,1.0,0,5,0,642.8333333333334,0
471,0.0,19,0.0,2,0,0,2,0,0,2,2,0,0.0,2,2,0,157.25,0
472,0.0,71,0.0,6,0,0,9,0,3,0,9,3,0.3333333333333333,9,16,0,1758.0,0
473,0.0,12,0.0,0,0,0,5,0,0,0,5,5,1.0,0,5,0,1013.6,0
474,0.0,15,0.0,0,0,0,1,0,0,1,2,2,1.0,1,6,0,859.0,0
475,0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,2,2,0,1548.5,0
476,0.0,129,0.0,0,0,0,5,0,0,5,28,28,1.0,0,36,0,1701.0,0
477,0.0,154,0.0,0,0,0,2,0,0,0,33,33,1.0,2,66,0,329.0,0
478,0.0,17,0.0,0,0,0,1,0,0,0,1,1,1.0,1,27,0,27.5,0
479,0.0,42,0.0,4,0,0,5,0,0,2,5,1,0.2,5,10,0,542.0,1
480,0.0,75,0.0,2,0,0,7,2,0,3,14,10,0.4285714285714285,7,14,0,20.0,0
481,5.882352941176471,17,0.0,1,1,0,2,0,0,0,2,1,0.5,2,2,0,4676.0,0
482,0.0,49,0.0,3,0,0,4,0,1,5,6,3,0.25,4,8,0,52.5,0
483,0.0,11,0.0,0,0,0,2,0,0,0,2,2,1.0,1,2,0,542.5,0
484,0.0,72,0.0,3,0,0,7,0,0,2,13,10,0.5714285714285714,7,21,0,202.3,0
485,0.0,35,0.0,5,0,0,7,0,0,0,7,2,0.2857142857142857,7,7,0,240.375,0
486,0.0,66,0.0,2,0,0,7,1,0,3,12,8,0.5714285714285714,7,10,0,2157.0,0
487,0.0,25,0.0,1,0,0,4,0,0,1,4,3,0.75,4,4,0,455.5,0
488,0.0,28,0.0,3,0,0,3,0,0,3,3,0,0.0,3,3,0,913.0,1
489,0.0,15,0.0,0,0,0,1,0,0,0,1,1,1.0,1,10,0,2480.5,0
490,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,440.8888888888889,0
491,0.0,4,0.0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,494.05555555555554,0
492,0.0,85,0.0,0,0,0,12,0,0,0,22,22,1.0,12,40,0,3829.0,0
493,0.0,16,0.0,0,0,0,1,0,0,2,1,1,1.0,1,2,0,449.5,0
494,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,784.6666666666666,0
495,0.0,14,0.0,1,0,0,2,0,0,1,2,1,0.5,2,2,0,372.5,0
496,0.0,21,0.0,0,0,0,1,0,0,1,2,2,1.0,1,7,0,166.83333333333334,0
497,0.0,45,0.0,3,0,0,7,3,0,4,8,2,0.1428571428571428,7,7,0,430.0,1
498,0.0,39,0.0,0,0,0,3,0,0,2,5,5,1.0,0,11,0,177.5,0
499,0.0,27,0.0,1,0,0,2,0,2,1,2,1,0.5,2,6,0,1040.5,0
500,0.0,62,0.0,0,0,0,1,0,0,0,15,15,1.0,1,22,0,2562.0,0
501,0.0,182,0.0,0,0,0,9,0,0,6,37,37,1.0,8,65,0,56.25,0
502,0.0,120,0.0,8,0,0,10,0,0,9,12,4,0.2,10,31,0,576.2,0
503,0.0,26,0.0,0,0,0,2,0,0,3,2,2,1.0,1,7,0,404.5,0
504,0.0,132,0.0,2,0,0,11,0,0,4,29,27,0.8181818181818182,1,34,0,999.5,0
505,0.0,98,0.0,7,0,0,12,3,0,9,14,4,0.1666666666666666,12,15,0,822.0,0
506,0.0,59,0.0,2,0,0,12,0,2,0,15,13,0.8333333333333334,11,16,0,1639.3333333333333,0
507,0.0,37,0.0,0,0,0,1,0,0,7,2,2,1.0,1,6,0,313.5,0
508,0.0,18,0.0,1,0,0,2,0,0,1,2,1,0.5,2,4,0,356.5,0
509,0.0,236,0.0,17,0,0,35,16,0,20,40,7,0.0571428571428571,35,39,33,576.5,1
510,0.0,66,0.0,1,0,0,11,1,0,4,11,9,0.8181818181818182,11,23,0,175.5,1
511,0.0,12,0.0,0,0,0,1,0,0,0,1,1,1.0,1,10,0,561.0,0
512,0.0,8,0.0,0,0,0,3,0,0,0,3,3,1.0,3,3,0,121.0,0
513,0.0,26,0.0,0,0,0,1,0,0,2,3,3,1.0,1,15,0,23.5,0
514,0.0,82,0.0,0,0,0,4,0,0,4,15,15,1.0,0,68,0,100.75,0
515,0.0,35,2.857142857142857,0,0,1,4,0,0,3,4,4,1.0,2,16,0,1840.0,0
516,0.0,47,0.0,2,0,0,7,2,0,4,8,4,0.4285714285714285,7,18,0,1259.5,0
517,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,223.0,0
518,0.0,49,0.0,2,0,0,6,0,0,2,8,6,0.6666666666666666,6,16,1,192.9,0
519,0.0,126,0.0,0,0,0,2,0,0,0,14,14,1.0,2,68,0,553.4285714285714,0
520,0.0,12,0.0,0,0,0,5,0,0,0,5,5,1.0,0,5,0,444.1666666666667,0
521,0.0,116,0.0,3,0,0,10,0,0,7,22,19,0.7,10,28,0,5146.0,0
522,0.0,10,0.0,0,0,0,4,0,0,0,4,4,1.0,0,4,0,33.0,0
523,0.0,12,0.0,1,0,0,2,0,0,0,2,1,0.5,2,3,0,54.5,0
524,0.0,10,0.0,0,0,0,4,0,0,0,4,4,1.0,4,4,0,1584.6875,0
525,0.0,43,0.0,4,0,0,6,2,0,2,6,0,0.0,6,7,0,1880.0,1
526,0.0,452,0.0,8,0,0,40,1,3,8,98,89,0.775,37,98,2,665.5,1
527,0.0,9,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,205.0,0
528,0.0,33,0.0,3,0,0,4,0,0,0,7,4,0.25,2,5,0,578.6,0
529,0.0,37,0.0,0,0,0,2,0,4,0,5,5,1.0,0,20,0,78.0,0
530,0.0,60,0.0,0,0,0,1,0,0,0,1,1,1.0,1,81,0,1065.0,0
531,0.0,16,0.0,0,0,0,1,0,0,0,1,1,1.0,1,2,0,1.0,0
532,0.0,132,0.0,5,0,0,18,1,0,2,26,20,0.6666666666666666,15,29,0,1097.0,0
533,0.0,111,0.0,4,0,0,12,0,0,1,20,16,0.6666666666666666,11,29,0,389.0,0
534,0.0,30,0.0,1,0,0,2,0,0,2,3,2,0.5,2,7,0,1358.25,0
535,0.0,337,0.0,7,0,0,33,1,1,8,66,58,0.7575757575757576,30,69,1,356.8,0
536,0.0,7,0.0,0,0,0,1,0,0,0,1,1,1.0,1,6,0,124.0,0
537,0.0,24,0.0,1,0,0,6,0,0,1,6,5,0.8333333333333334,6,6,0,90.5,0
538,0.0,59,0.0,3,0,0,6,0,0,0,8,5,0.5,6,10,0,727.0,1
539,0.0,7,0.0,0,0,0,1,0,0,0,1,1,1.0,1,3,0,18.5,0
540,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,223.0,0
541,0.0,330,0.0,1,0,0,20,0,0,4,72,71,0.95,6,162,0,837.8571428571429,0
542,0.0,37,0.0,1,0,0,3,0,0,2,10,9,0.6666666666666666,2,9,0,1.0,0
543,0.0,29,0.0,0,0,0,5,0,0,0,6,6,1.0,5,9,0,3829.0,0
544,0.0,15,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,37.5,0
545,0.0,35,0.0,1,0,0,4,0,2,0,4,3,0.75,4,5,0,84.0,0
546,0.0,141,0.0,0,0,0,6,1,0,5,30,26,0.8333333333333334,3,45,0,1295.0,0
547,0.0,13,0.0,0,0,0,5,0,0,0,5,5,1.0,0,5,0,597.625,2
548,0.0,30,0.0,1,0,0,1,0,0,1,1,0,0.0,1,1,0,2750.5,0
549,0.0,56,0.0,2,0,0,7,0,1,2,8,6,0.7142857142857143,6,25,2,974.3333333333334,0
550,0.0,781,0.0,0,0,0,3,0,34,113,7,7,1.0,2,515,127,110.70833333333331,0
551,0.0,3,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,346.6666666666667,0
552,0.0,7,0.0,0,0,0,2,0,0,0,2,2,1.0,2,2,0,11.0,0
553,0.0,9,0.0,1,0,0,1,0,0,1,1,0,0.0,1,1,0,1353.25,0
554,0.0,47,0.0,0,0,0,1,0,0,2,11,11,1.0,1,12,2,2039.25,0
555,0.0,131,0.0,0,0,0,5,0,0,0,6,6,1.0,5,123,0,101.66666666666669,0
556,0.0,170,0.0,1,0,0,20,0,0,6,20,19,0.95,14,30,0,137.0,0
557,0.0,58,0.0,0,0,0,7,0,0,2,9,9,1.0,6,14,0,577.6666666666666,0
558,0.0,30,0.0,0,0,0,3,0,0,1,5,5,1.0,3,7,0,739.7777777777778,0
559,0.0,205,0.0,1,0,0,26,0,0,0,31,30,0.9615384615384616,12,104,0,204.6153846153846,0
560,0.0,92,0.0,14,0,0,16,0,0,0,18,4,0.125,16,19,0,83.5,0
561,0.0,26,0.0,0,0,0,3,1,0,0,3,2,0.6666666666666666,2,9,0,1838.0,0
562,0.0,45,0.0,5,0,0,7,2,0,1,7,0,0.0,7,9,0,1347.0,2
