id,LambdaDensity,LinesOfCodeInClass,MethodReferenceDensity,NumberOfAccessorMethods,NumberOfLambdaExpressionsInClass,NumberOfMethodReferencesPerClass,NumberOfMethods,NumberOfMutatorMethods,NumberOfPublicFields,NumberOfPrivateFields,WeightedMethodsPerClass,WeightedMethodsPerClassWithoutAccessorAndMutatorMethods,WeightOfClass,NumberOfPublicMethods,ResponseForClass,NumberOfAnnotations,DaysWithCommits,Severity
299,0.0,6,0.0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,4,0
300,0.0,18,0.0,1,0,0,2,0,0,1,2,1,0.5,2,4,0,7,0
301,0.0,10,0.0,0,0,0,1,0,0,0,2,2,1.0,1,2,0,3,0
302,0.0,57,0.0,4,0,0,9,0,0,2,11,7,0.5555555555555556,9,15,0,2,1
303,0.0,20,0.0,1,0,0,2,1,0,1,2,0,0.0,2,2,0,14,1
304,0.0,20,0.0,0,0,0,8,0,1,0,8,8,1.0,8,8,0,16,0
305,0.0,60,0.0,3,0,0,8,0,1,4,9,6,0.625,8,16,4,37,1
306,0.0,338,0.0,1,0,0,7,0,1,18,68,67,0.8571428571428571,6,132,17,34,0
307,0.0,91,0.0,8,0,0,12,0,1,5,16,7,0.3333333333333333,12,26,4,47,1
308,0.0,9,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10,0
309,0.0,28,0.0,0,0,0,13,0,0,0,13,13,1.0,0,13,0,6,0
310,0.0,981,0.0,5,0,0,32,2,0,4,168,161,0.78125,26,542,36,76,0
311,0.0,357,0.0,0,0,0,22,0,0,4,57,57,1.0,5,165,0,5,0
312,0.0,7,0.0,0,0,0,2,0,0,0,2,2,1.0,2,2,0,18,0
313,0.0,197,0.0,18,0,0,27,1,0,16,28,9,0.2962962962962963,27,33,0,79,3
314,0.0,30,0.0,0,0,0,2,0,0,2,3,3,1.0,2,13,0,23,0
315,0.0,21,0.0,0,0,0,1,0,0,0,3,3,1.0,0,4,0,178,0
316,0.0,54,0.0,0,0,0,2,0,0,0,10,10,1.0,2,22,0,23,0
317,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,34,0
318,0.0,24,0.0,0,0,0,2,0,0,0,4,4,1.0,0,13,0,40,0
319,1.2195121951219512,82,1.2195121951219512,3,1,1,9,0,0,4,18,15,0.6666666666666666,1,37,0,1,0
320,0.0,47,0.0,1,0,0,5,0,0,3,6,5,0.8,5,13,0,46,0
321,0.0,20,0.0,0,0,0,3,0,0,1,4,4,1.0,3,6,0,14,0
322,0.0,65,0.0,0,0,0,3,0,1,1,15,15,1.0,3,21,0,22,0
323,0.0,15,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,8,0
324,0.0,153,0.0,4,0,0,13,0,0,3,50,45,0.6923076923076923,13,28,0,13,0
325,0.0,19,0.0,0,0,0,1,0,0,0,5,5,1.0,1,11,0,8,0
326,0.0,29,0.0,0,0,0,3,0,0,0,3,3,1.0,3,7,0,169,0
327,0.0,202,0.0,11,0,0,20,0,1,12,30,19,0.45,20,52,0,9,0
328,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,142,0
329,0.0,19,0.0,0,0,0,1,0,0,0,3,3,1.0,1,9,0,36,0
330,0.0,104,0.0,1,0,0,6,0,0,4,15,14,0.8333333333333334,5,50,0,4,0
331,0.0,32,0.0,1,0,0,3,0,0,2,5,4,0.6666666666666666,3,12,0,5,0
332,0.0,20,0.0,0,0,0,1,0,0,3,2,2,1.0,1,6,0,7,0
333,0.0,69,0.0,2,0,0,6,0,0,0,18,16,0.6666666666666666,5,18,0,156,0
334,0.0,738,0.0,15,0,0,52,5,6,10,166,146,0.6153846153846154,50,146,0,156,0
335,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,11,0
336,0.0,41,0.0,0,0,0,2,0,0,0,7,7,1.0,2,16,0,14,0
337,0.0,30,0.0,3,0,0,4,0,0,1,4,1,0.25,4,5,0,2,0
338,0.0,83,0.0,0,0,0,2,0,0,0,16,16,1.0,2,28,0,145,0
339,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,145,0
340,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,145,0
341,0.0,7,0.0,0,0,0,1,0,0,0,1,1,1.0,1,2,0,5,0
342,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,5,0
343,0.0,30,0.0,0,0,0,4,0,0,0,4,4,1.0,4,23,0,2,0
344,0.0,80,0.0,0,0,0,3,0,0,1,18,18,1.0,0,66,0,5,0
345,0.0,28,0.0,0,0,0,2,0,0,1,3,3,1.0,2,12,0,145,0
346,0.0,27,0.0,0,0,0,3,0,0,0,4,4,1.0,2,10,0,13,0
347,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,14,0
348,0.0,108,0.0,1,0,0,5,0,0,2,21,20,0.8,4,14,0,16,0
349,0.0,28,0.0,0,0,0,3,0,1,0,3,3,1.0,2,7,0,16,0
350,0.0,48,0.0,4,0,0,5,0,1,4,5,1,0.2,5,8,0,2,1
351,0.0,124,0.0,6,0,0,20,2,1,1,30,18,0.6,19,20,0,23,0
352,0.0,47,0.0,0,0,0,7,0,0,1,8,8,1.0,7,28,0,6,0
353,0.0,51,0.0,0,0,0,1,0,0,4,7,7,1.0,1,15,0,59,0
354,0.0,33,0.0,0,0,0,1,0,2,1,12,12,1.0,1,27,0,4,0
355,0.0,99,0.0,0,0,0,3,0,0,6,18,18,1.0,3,26,0,7,0
356,0.0,26,0.0,0,0,0,0,0,7,0,0,0,0.0,0,0,0,29,2
357,0.0,56,0.0,0,0,0,3,0,2,3,8,8,1.0,1,28,0,3,0
358,0.0,38,0.0,2,0,0,3,1,0,2,5,0,0.0,2,8,0,16,0
359,0.0,19,0.0,0,0,0,2,0,0,1,4,4,1.0,1,5,0,10,0
360,0.0,135,0.0,3,0,0,10,0,0,6,21,18,0.7,0,23,0,172,0
361,0.0,24,0.0,3,0,0,3,0,0,2,3,0,0.0,3,5,0,9,1
362,0.0,103,0.0,3,0,0,8,0,0,2,15,12,0.625,7,36,2,17,0
363,0.0,78,0.0,1,0,0,5,0,0,8,8,7,0.8,5,26,3,42,0
364,0.0,164,0.0,0,0,0,7,0,0,9,26,26,1.0,0,56,9,21,0
365,0.0,17,0.0,1,0,0,3,0,0,0,3,2,0.6666666666666666,3,7,0,1,0
366,0.0,259,0.0,9,0,0,32,7,0,3,65,45,0.5,29,88,0,5,2
367,0.0,16,0.0,0,0,0,6,0,0,0,6,6,1.0,0,7,0,2,0
368,0.0,10,0.0,0,0,0,4,0,0,0,4,4,1.0,0,4,0,2,0
369,0.0,15,0.0,0,0,0,1,0,0,0,4,4,1.0,1,1,0,2,0
370,0.0,79,0.0,0,0,0,7,0,1,0,13,13,1.0,5,31,0,6,1
371,0.0,242,0.0,2,0,0,23,0,0,4,47,45,0.9130434782608696,19,66,0,9,1
372,0.0,41,0.0,1,0,0,4,0,2,0,7,6,0.75,4,7,0,48,0
373,0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,2,0
374,0.0,33,0.0,0,0,0,2,0,0,0,6,6,1.0,2,6,0,7,0
375,0.0,17,0.0,0,0,0,1,0,0,0,1,1,1.0,0,7,0,1,0
376,0.0,34,0.0,2,0,0,5,1,0,2,6,3,0.4,5,5,0,5,1
377,0.0,61,0.0,1,0,0,6,0,0,3,9,8,0.8333333333333334,6,21,0,34,0
378,0.0,51,0.0,2,0,0,4,1,0,2,7,2,0.25,3,12,0,6,1
379,0.0,7,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,1,0
380,0.0,31,0.0,0,0,0,3,0,0,0,5,5,1.0,3,7,0,5,0
381,0.0,48,0.0,3,0,0,7,2,0,1,7,2,0.2857142857142857,7,10,0,6,1
382,0.0,125,0.0,1,0,0,7,1,1,9,20,18,0.7142857142857143,7,15,0,6,0
383,0.0,23,0.0,0,0,0,1,0,0,0,5,5,1.0,1,22,0,7,0
384,0.0,59,0.0,1,0,0,3,0,1,3,6,5,0.6666666666666666,3,26,2,8,0
385,0.0,23,0.0,0,0,0,7,0,0,0,7,7,1.0,0,7,0,6,0
386,0.0,23,0.0,0,0,0,3,0,0,0,5,5,1.0,2,21,0,7,0
387,0.1342281879194631,745,0.0,31,1,0,73,10,0,5,114,73,0.4383561643835616,54,232,0,88,0
388,0.0,9,0.0,0,0,0,1,0,0,1,1,1,1.0,1,1,0,37,0
389,0.0,30,0.0,1,0,0,4,0,1,2,4,3,0.75,4,4,0,26,0
390,0.0,142,0.0,0,0,0,8,0,0,2,26,26,1.0,5,151,0,25,0
391,0.0,71,0.0,2,0,0,5,0,1,9,14,12,0.6,5,16,1,36,0
392,0.0,14,0.0,0,0,0,6,0,0,0,6,6,1.0,6,6,0,15,0
393,0.0,8,0.0,0,0,0,3,0,0,0,3,3,1.0,0,3,0,3,0
394,0.0,21,0.0,0,0,0,1,0,0,0,3,3,1.0,1,4,0,5,0
395,0.0,80,0.0,2,0,0,7,0,0,8,11,9,0.7142857142857143,7,22,0,27,0
396,0.0,17,0.0,0,0,0,2,0,0,1,3,3,1.0,1,12,0,2,0
397,0.0,19,0.0,2,0,0,2,0,0,2,2,0,0.0,2,2,0,35,0
398,0.0,15,0.0,0,0,0,6,0,0,0,6,6,1.0,0,6,0,12,0
399,0.0,114,0.0,0,0,0,9,0,0,1,25,25,1.0,7,133,0,42,0
400,0.0,49,0.0,1,0,0,6,0,0,2,9,8,0.8333333333333334,4,16,0,8,0
401,0.0,41,0.0,1,0,0,4,0,2,0,5,4,0.75,4,13,0,67,1
402,0.0,14,0.0,0,0,0,1,0,0,0,1,1,1.0,1,13,0,14,0
403,0.0,6,0.0,0,0,0,1,0,0,0,1,1,1.0,1,2,0,32,0
404,0.0,16,0.0,0,0,0,2,0,0,0,2,2,1.0,2,4,0,66,0
405,0.0,9,0.0,0,0,0,2,0,0,0,2,2,1.0,2,4,0,6,0
406,0.0,103,0.0,0,0,0,9,1,0,5,19,17,0.8888888888888888,8,31,0,17,0
407,0.0,25,0.0,0,0,0,1,0,0,0,3,3,1.0,1,3,0,4,0
408,0.0,21,0.0,0,0,0,1,0,0,1,2,2,1.0,1,4,0,5,0
409,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,8,0
410,0.0,57,0.0,3,0,0,9,0,0,2,13,10,0.6666666666666666,8,12,0,2,0
411,0.0,44,0.0,1,0,0,3,0,0,3,7,6,0.6666666666666666,3,10,0,20,0
412,0.0,25,0.0,0,0,0,3,0,0,1,3,3,1.0,2,7,0,3,0
413,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,4,0
414,0.0,10,0.0,0,0,0,4,0,0,0,4,4,1.0,0,4,0,4,0
415,0.0,19,0.0,1,0,0,1,0,3,1,1,0,0.0,1,1,0,91,0
416,0.0,56,0.0,4,0,0,8,2,0,2,8,2,0.25,7,8,0,27,1
417,0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,7,0
418,0.0,8,0.0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,15,0
419,0.0,19,0.0,0,0,0,1,0,1,2,2,2,1.0,0,1,0,12,0
420,0.0,34,0.0,0,0,0,2,0,0,0,6,6,1.0,2,21,0,16,0
421,0.0,14,0.0,1,0,0,1,0,0,2,1,0,0.0,1,1,0,7,0
422,0.0,41,0.0,4,0,0,5,0,0,2,7,3,0.2,5,15,0,4,0
423,0.0,200,0.0,1,0,0,32,0,0,1,60,59,0.96875,31,32,0,2,0
424,0.0,8,0.0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,5,0
425,0.0,124,0.0,3,0,0,11,0,0,3,24,21,0.7272727272727273,9,18,0,9,0
426,0.0,35,0.0,0,0,0,2,0,0,1,6,6,1.0,1,19,0,31,0
427,0.0,348,0.0,0,0,0,21,0,0,2,80,80,1.0,2,173,0,96,0
428,1.7857142857142858,56,0.0,0,1,0,4,0,0,1,9,9,1.0,0,34,0,9,0
429,0.0,17,0.0,0,0,0,2,0,0,1,2,2,1.0,2,5,0,7,0
430,0.0,60,0.0,0,0,0,2,0,10,1,9,9,1.0,2,25,0,9,0
431,0.0,57,0.0,1,0,0,10,0,0,1,10,9,0.9,10,19,0,2,0
432,0.0,40,0.0,2,0,0,4,0,0,2,7,5,0.5,4,12,0,1,1
433,0.0,18,0.0,0,0,0,1,0,0,0,5,5,1.0,0,7,0,3,0
434,0.0,231,0.0,3,0,0,25,0,0,3,53,50,0.88,25,122,0,6,0
435,0.0,28,0.0,0,0,0,1,0,0,1,4,4,1.0,1,6,0,50,0
436,0.0,15,0.0,0,0,0,2,0,0,0,3,3,1.0,2,7,0,1,0
437,0.0,10,0.0,0,0,0,4,0,0,0,4,4,1.0,4,4,0,1,0
438,0.0,74,0.0,1,0,0,1,0,24,0,1,0,0.0,1,1,3,20,2
439,0.0,31,0.0,1,0,0,2,0,0,1,5,4,0.5,2,9,0,1,0
440,0.0,47,0.0,1,0,0,3,1,0,4,8,6,0.3333333333333333,3,14,0,2,0
441,0.0,16,0.0,0,0,0,2,0,0,0,2,2,1.0,2,2,2,3,0
442,0.0,19,0.0,0,0,0,2,0,0,2,2,2,1.0,2,7,0,3,0
443,0.0,10,0.0,0,0,0,4,0,0,0,4,4,1.0,4,4,0,2,0
444,0.0,12,0.0,0,0,0,5,0,0,0,5,5,1.0,0,5,0,6,0
445,0.0,246,0.0,2,0,0,15,2,10,10,35,31,0.7333333333333333,9,63,0,6,1
446,0.0,9,0.0,0,0,0,1,0,0,1,1,1,1.0,1,5,0,25,0
447,0.0,77,0.0,4,0,0,8,0,4,5,11,7,0.5,7,15,9,6,1
448,0.0,191,0.0,4,0,0,13,2,0,11,31,23,0.5384615384615384,9,48,0,19,0
449,0.0,10,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,8,0
450,0.0,71,0.0,5,0,0,9,0,0,5,13,8,0.4444444444444444,5,22,0,1,1
451,0.0,134,0.0,0,0,0,18,0,2,1,26,26,1.0,18,145,0,27,0
452,0.0,20,0.0,0,0,0,0,0,3,0,0,0,0.0,0,0,2,1,0
453,0.0,306,0.0,0,0,0,7,0,0,13,49,49,1.0,6,137,0,40,0
454,0.0,51,0.0,7,0,0,7,0,0,6,7,0,0.0,7,7,0,1,2
455,0.0,8,0.0,0,0,0,3,0,0,0,3,3,1.0,0,3,0,7,0
456,0.0,60,0.0,2,0,0,11,1,0,3,11,8,0.7272727272727273,11,31,0,7,0
457,0.0,18,0.0,0,0,0,3,0,0,0,3,3,1.0,0,9,0,5,0
458,0.0,116,0.0,3,0,0,13,0,0,4,17,14,0.7692307692307693,13,19,0,1,0
459,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,28,0
460,0.0,52,0.0,0,0,0,9,0,0,1,11,11,1.0,9,12,0,5,2
461,0.0,10,0.0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,3,0
462,1.492537313432836,67,0.0,4,1,0,10,0,1,2,10,6,0.6,10,14,0,30,0
463,0.0,3,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,23,0
464,0.0,16,0.0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,13,0
465,0.0,77,0.0,0,0,0,17,0,1,0,17,17,1.0,5,47,0,22,0
466,0.0,12,0.0,1,0,0,2,0,0,0,2,1,0.5,2,2,0,22,0
467,0.0,37,0.0,0,0,0,2,0,1,1,5,5,1.0,2,13,1,2,0
468,0.0,19,0.0,1,0,0,3,0,0,1,3,2,0.6666666666666666,3,5,0,2,0
469,0.0,57,0.0,2,0,0,3,0,0,1,13,11,0.3333333333333333,3,12,0,21,0
470,0.0,12,0.0,0,0,0,5,0,0,0,5,5,1.0,0,5,0,50,0
471,0.0,19,0.0,2,0,0,2,0,0,2,2,0,0.0,2,2,0,7,0
472,0.0,71,0.0,6,0,0,9,0,3,0,9,3,0.3333333333333333,9,16,0,5,0
473,0.0,12,0.0,0,0,0,5,0,0,0,5,5,1.0,0,5,0,15,0
474,0.0,15,0.0,0,0,0,1,0,0,1,2,2,1.0,1,6,0,9,0
475,0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,2,2,0,4,0
476,0.0,129,0.0,0,0,0,5,0,0,5,28,28,1.0,0,36,0,2,0
477,0.0,154,0.0,0,0,0,2,0,0,0,33,33,1.0,2,66,0,40,0
478,0.0,17,0.0,0,0,0,1,0,0,0,1,1,1.0,1,27,0,3,0
479,0.0,42,0.0,4,0,0,5,0,0,2,5,1,0.2,5,10,0,26,1
480,0.0,75,0.0,2,0,0,7,2,0,3,14,10,0.4285714285714285,7,14,0,1,0
481,5.882352941176471,17,0.0,1,1,0,2,0,0,0,2,1,0.5,2,2,0,5,0
482,0.0,49,0.0,3,0,0,4,0,1,5,6,3,0.25,4,8,0,2,0
483,0.0,11,0.0,0,0,0,2,0,0,0,2,2,1.0,1,2,0,4,0
484,0.0,72,0.0,3,0,0,7,0,0,2,13,10,0.5714285714285714,7,21,0,10,0
485,0.0,35,0.0,5,0,0,7,0,0,0,7,2,0.2857142857142857,7,7,0,13,0
486,0.0,66,0.0,2,0,0,7,1,0,3,12,8,0.5714285714285714,7,10,0,7,0
487,0.0,25,0.0,1,0,0,4,0,0,1,4,3,0.75,4,4,0,2,0
488,0.0,28,0.0,3,0,0,3,0,0,3,3,0,0.0,3,3,0,1,1
489,0.0,15,0.0,0,0,0,1,0,0,0,1,1,1.0,1,10,0,17,0
490,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,13,0
491,0.0,4,0.0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,61,0
492,0.0,85,0.0,0,0,0,12,0,0,0,22,22,1.0,12,40,0,6,0
493,0.0,16,0.0,0,0,0,1,0,0,2,1,1,1.0,1,2,0,18,0
494,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,13,0
495,0.0,14,0.0,1,0,0,2,0,0,1,2,1,0.5,2,2,0,9,0
496,0.0,21,0.0,0,0,0,1,0,0,1,2,2,1.0,1,7,0,17,0
497,0.0,45,0.0,3,0,0,7,3,0,4,8,2,0.1428571428571428,7,7,0,10,1
498,0.0,39,0.0,0,0,0,3,0,0,2,5,5,1.0,0,11,0,7,0
499,0.0,27,0.0,1,0,0,2,0,2,1,2,1,0.5,2,6,0,2,0
500,0.0,62,0.0,0,0,0,1,0,0,0,15,15,1.0,1,22,0,5,0
501,0.0,182,0.0,0,0,0,9,0,0,6,37,37,1.0,8,65,0,11,0
502,0.0,120,0.0,8,0,0,10,0,0,9,12,4,0.2,10,31,0,7,0
503,0.0,26,0.0,0,0,0,2,0,0,3,2,2,1.0,1,7,0,4,0
504,0.0,132,0.0,2,0,0,11,0,0,4,29,27,0.8181818181818182,1,34,0,3,0
505,0.0,98,0.0,7,0,0,12,3,0,9,14,4,0.1666666666666666,12,15,0,4,0
506,0.0,59,0.0,2,0,0,12,0,2,0,15,13,0.8333333333333334,11,16,0,9,0
507,0.0,37,0.0,0,0,0,1,0,0,7,2,2,1.0,1,6,0,9,0
508,0.0,18,0.0,1,0,0,2,0,0,1,2,1,0.5,2,4,0,5,0
509,0.0,236,0.0,17,0,0,35,16,0,20,40,7,0.0571428571428571,35,39,33,36,1
510,0.0,66,0.0,1,0,0,11,1,0,4,11,9,0.8181818181818182,11,23,0,9,1
511,0.0,12,0.0,0,0,0,1,0,0,0,1,1,1.0,1,10,0,4,0
512,0.0,8,0.0,0,0,0,3,0,0,0,3,3,1.0,3,3,0,2,0
513,0.0,26,0.0,0,0,0,1,0,0,2,3,3,1.0,1,15,0,2,0
514,0.0,82,0.0,0,0,0,4,0,0,4,15,15,1.0,0,68,0,5,0
515,0.0,35,2.857142857142857,0,0,1,4,0,0,3,4,4,1.0,2,16,0,8,0
516,0.0,47,0.0,2,0,0,7,2,0,4,8,4,0.4285714285714285,7,18,0,12,0
517,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,1,0
518,0.0,49,0.0,2,0,0,6,0,0,2,8,6,0.6666666666666666,6,16,1,15,0
519,0.0,126,0.0,0,0,0,2,0,0,0,14,14,1.0,2,68,0,28,0
520,0.0,12,0.0,0,0,0,5,0,0,0,5,5,1.0,0,5,0,5,0
521,0.0,116,0.0,3,0,0,10,0,0,7,22,19,0.7,10,28,0,7,0
522,0.0,10,0.0,0,0,0,4,0,0,0,4,4,1.0,0,4,0,2,0
523,0.0,12,0.0,1,0,0,2,0,0,0,2,1,0.5,2,3,0,6,0
524,0.0,10,0.0,0,0,0,4,0,0,0,4,4,1.0,4,4,0,85,0
525,0.0,43,0.0,4,0,0,6,2,0,2,6,0,0.0,6,7,0,9,1
526,0.0,452,0.0,8,0,0,40,1,3,8,98,89,0.775,37,98,2,32,1
527,0.0,9,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,9,0
528,0.0,33,0.0,3,0,0,4,0,0,0,7,4,0.25,2,5,0,57,0
529,0.0,37,0.0,0,0,0,2,0,4,0,5,5,1.0,0,20,0,1,0
530,0.0,60,0.0,0,0,0,1,0,0,0,1,1,1.0,1,81,0,8,0
531,0.0,16,0.0,0,0,0,1,0,0,0,1,1,1.0,1,2,0,1,0
532,0.0,132,0.0,5,0,0,18,1,0,2,26,20,0.6666666666666666,15,29,0,2,0
533,0.0,111,0.0,4,0,0,12,0,0,1,20,16,0.6666666666666666,11,29,0,5,0
534,0.0,30,0.0,1,0,0,2,0,0,2,3,2,0.5,2,7,0,14,0
535,0.0,337,0.0,7,0,0,33,1,1,8,66,58,0.7575757575757576,30,69,1,51,0
536,0.0,7,0.0,0,0,0,1,0,0,0,1,1,1.0,1,6,0,1,0
537,0.0,24,0.0,1,0,0,6,0,0,1,6,5,0.8333333333333334,6,6,0,2,0
538,0.0,59,0.0,3,0,0,6,0,0,0,8,5,0.5,6,10,0,1,1
539,0.0,7,0.0,0,0,0,1,0,0,0,1,1,1.0,1,3,0,3,0
540,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0
541,0.0,330,0.0,1,0,0,20,0,0,4,72,71,0.95,6,162,0,48,0
542,0.0,37,0.0,1,0,0,3,0,0,2,10,9,0.6666666666666666,2,9,0,1,0
543,0.0,29,0.0,0,0,0,5,0,0,0,6,6,1.0,5,9,0,9,0
544,0.0,15,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,8,0
545,0.0,35,0.0,1,0,0,4,0,2,0,4,3,0.75,4,5,0,4,0
546,0.0,141,0.0,0,0,0,6,1,0,5,30,26,0.8333333333333334,3,45,0,9,0
547,0.0,13,0.0,0,0,0,5,0,0,0,5,5,1.0,0,5,0,27,2
548,0.0,30,0.0,1,0,0,1,0,0,1,1,0,0.0,1,1,0,2,0
549,0.0,56,0.0,2,0,0,7,0,1,2,8,6,0.7142857142857143,6,25,2,4,0
550,0.0,781,0.0,0,0,0,3,0,34,113,7,7,1.0,2,515,127,64,0
551,0.0,3,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,0
552,0.0,7,0.0,0,0,0,2,0,0,0,2,2,1.0,2,2,0,3,0
553,0.0,9,0.0,1,0,0,1,0,0,1,1,0,0.0,1,1,0,7,0
554,0.0,47,0.0,0,0,0,1,0,0,2,11,11,1.0,1,12,2,6,0
555,0.0,131,0.0,0,0,0,5,0,0,0,6,6,1.0,5,123,0,4,0
556,0.0,170,0.0,1,0,0,20,0,0,6,20,19,0.95,14,30,0,1,0
557,0.0,58,0.0,0,0,0,7,0,0,2,9,9,1.0,6,14,0,5,0
558,0.0,30,0.0,0,0,0,3,0,0,1,5,5,1.0,3,7,0,12,0
559,0.0,205,0.0,1,0,0,26,0,0,0,31,30,0.9615384615384616,12,104,0,16,0
560,0.0,92,0.0,14,0,0,16,0,0,0,18,4,0.125,16,19,0,5,0
561,0.0,26,0.0,0,0,0,3,1,0,0,3,2,0.6666666666666666,2,9,0,1,0
562,0.0,45,0.0,5,0,0,7,2,0,1,7,0,0.0,7,9,0,5,2
563,0.0,193,0.0,2,0,0,13,0,3,2,30,28,0.8461538461538461,7,107,0,3,0
564,0.0,10,0.0,0,0,0,2,0,0,0,2,2,1.0,2,2,0,3,0
565,0.0,23,0.0,2,0,0,4,2,0,2,4,0,0.0,4,4,0,5,2
566,0.0,23,0.0,2,0,0,4,0,0,0,4,2,0.5,4,5,0,1,0
567,0.0,60,0.0,0,0,0,5,0,7,0,7,7,1.0,5,15,0,26,0
568,1.2987012987012987,77,0.0,0,1,0,4,0,0,4,14,14,1.0,4,30,0,2,0
569,0.0,255,0.0,3,0,0,24,0,0,8,37,34,0.875,18,146,0,33,1
570,0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,2,0
571,0.0,89,0.0,0,0,0,3,0,0,3,23,23,1.0,3,52,0,6,0
572,0.0,31,0.0,1,0,0,3,0,0,0,6,5,0.6666666666666666,2,4,1,9,0
573,0.0,71,0.0,0,0,0,34,0,0,0,34,34,1.0,0,34,0,36,2
574,0.0,3,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,0
575,0.0,31,0.0,2,0,0,4,2,0,2,4,0,0.0,4,4,0,1,2
576,0.0,75,0.0,12,0,0,12,0,0,12,12,0,0.0,12,36,0,6,1
577,0.0,23,0.0,0,0,0,3,0,0,1,3,3,1.0,3,3,0,139,0
578,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,40,0
579,0.0,28,0.0,2,0,0,3,0,0,2,3,1,0.3333333333333333,3,8,0,2,0
580,0.0,30,0.0,1,0,0,4,3,0,3,4,0,0.0,4,4,0,20,0
581,0.0,57,0.0,5,0,0,8,0,0,4,8,3,0.375,8,16,0,11,0
582,0.0,10,0.0,0,0,0,1,0,0,0,1,1,1.0,1,3,0,9,0
583,0.0,33,0.0,0,0,0,5,0,0,1,6,6,1.0,4,6,0,2,0
584,1.9047619047619049,105,1.9047619047619049,0,2,2,16,0,0,0,27,27,1.0,16,77,0,28,0
585,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,5,0
586,0.0,21,0.0,2,0,0,3,1,0,1,3,0,0.0,3,3,0,7,1
587,0.0,94,0.0,0,0,0,6,0,0,0,12,12,1.0,4,29,0,3,0
588,0.0,24,0.0,0,0,0,1,0,0,3,1,1,1.0,1,2,2,1,1
589,0.0,101,0.0,0,0,0,5,0,0,7,20,20,1.0,3,24,0,4,0
590,0.0,41,0.0,0,0,0,3,1,0,6,3,2,0.6666666666666666,3,16,0,10,0
591,0.0,23,0.0,0,0,0,10,0,0,0,10,10,1.0,0,10,0,18,0
592,0.0,24,0.0,0,0,0,1,0,0,3,1,1,1.0,1,2,2,1,0
593,0.0,73,0.0,8,0,0,11,0,0,1,16,8,0.2727272727272727,11,28,0,12,0
594,0.0,20,0.0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,2,0
595,0.0,372,0.0,4,0,0,28,3,0,17,49,41,0.75,8,70,0,22,0
596,0.0,12,0.0,0,0,0,1,0,0,0,2,2,1.0,1,2,0,5,0
597,0.0,10,0.0,0,0,0,1,0,0,0,2,2,1.0,1,2,0,8,0
598,0.0,22,0.0,0,0,0,3,0,0,2,4,4,1.0,2,5,0,1,0
599,0.0,106,0.0,7,0,0,12,3,0,5,16,6,0.1666666666666666,12,27,0,6,0
600,0.0,22,0.0,0,0,0,5,0,0,0,5,5,1.0,5,10,0,3,0
601,0.0,36,0.0,3,0,0,4,0,0,2,6,3,0.25,4,5,0,7,1
602,0.0,185,0.0,0,0,0,8,0,0,6,31,31,1.0,6,67,0,5,0
603,0.0,130,0.0,1,0,0,5,0,0,0,17,16,0.8,5,84,0,2,0
