id,McCabeCyclomaticComplexity,LinesOfCodeInCallable,NumberOfLambdaExpressionsInCallable,NumberOfMethodReferencesPerCallable,MaxNumberOfAddedLines,Severity
987,1,3,0,0,4,0
988,2,7,0,0,8,0
989,1,7,0,0,8,0
990,2,7,0,0,8,0
991,1,3,0,0,4,0
992,5,28,0,0,37,0
993,1,3,0,0,5,0
994,1,5,0,0,5,0
995,2,22,0,0,32,0
996,5,13,0,0,16,0
997,1,5,0,0,6,0
998,1,4,0,0,5,0
999,2,11,0,0,15,0
1000,3,9,0,0,10,0
1001,4,17,0,0,21,0
1002,1,26,6,0,34,1
1003,2,6,0,0,7,0
1004,4,16,0,0,13,0
1005,15,76,0,0,96,0
1006,1,3,0,0,4,0
1007,4,15,0,0,15,0
1008,1,6,0,0,11,0
1009,3,9,0,0,14,0
1010,1,3,0,0,4,0
1011,11,38,0,0,40,0
1012,3,15,0,0,16,0
1013,1,3,0,0,5,0
1014,1,6,0,0,10,0
1015,4,20,0,0,21,0
1016,13,34,0,0,38,0
1017,2,8,0,0,9,0
1018,7,22,0,0,32,0
1019,6,17,0,0,18,0
1020,2,7,0,0,9,0
1021,4,17,0,0,24,0
1022,9,32,0,0,39,0
1023,1,4,0,0,5,0
1024,4,12,0,0,9,0
1025,5,26,0,0,28,0
1026,3,7,0,0,8,0
1027,2,6,0,0,9,0
1028,1,5,0,0,6,0
1029,3,7,0,0,11,0
1030,4,13,0,0,16,0
1031,1,10,0,0,11,0
1032,1,6,0,0,14,0
1033,25,98,0,0,64,0
1034,6,35,0,0,45,1
1035,1,3,0,0,4,0
1036,16,59,0,0,50,1
1037,1,3,0,0,4,0
1038,1,9,0,0,9,0
1039,5,17,1,0,18,0
1040,1,5,0,0,6,0
1041,6,20,0,0,19,0
1042,2,6,0,0,38,0
1043,1,3,0,0,8,0
1044,3,11,0,0,12,0
1045,2,7,0,0,8,0
1046,3,18,0,0,13,0
1047,7,20,0,0,26,0
1048,3,8,0,0,9,0
1049,2,6,0,0,7,0
1050,2,10,0,0,16,0
1051,2,12,0,0,37,0
1052,7,18,0,0,19,0
1053,9,27,0,0,22,0
1054,3,11,0,2,12,0
1055,1,3,0,0,4,0
1056,2,9,1,0,11,0
1057,4,20,0,0,21,0
1058,2,5,0,0,5,0
1059,3,9,0,0,9,0
1060,3,9,0,0,10,0
1061,3,7,0,0,10,0
1062,2,6,0,0,4,0
1063,2,10,0,0,9,0
1064,7,27,0,0,47,0
1065,1,3,0,0,4,0
1066,3,18,0,0,19,0
1067,1,12,0,0,16,0
1068,2,3,0,0,8,0
1069,6,17,0,0,24,0
1070,3,11,0,0,9,0
1071,6,25,0,0,27,0
1072,1,4,0,0,5,0
1073,3,14,0,0,15,0
1074,5,13,0,0,14,0
1075,2,8,0,0,9,0
1076,1,5,0,0,6,0
1077,7,31,0,0,36,0
1078,4,18,0,0,20,0
1079,1,5,0,0,6,0
1080,2,6,0,0,7,0
1081,1,3,1,0,4,0
1082,1,4,0,0,5,0
1083,1,4,0,0,5,0
1084,1,3,0,0,4,0
1085,2,6,0,0,10,0
1086,3,12,0,0,15,0
1087,1,3,0,0,6,0
1088,5,29,0,0,35,0
1089,3,12,0,0,14,0
1090,2,6,0,0,5,0
1091,7,24,0,0,25,0
1092,18,85,0,0,112,0
1093,1,3,0,0,20,0
1094,1,7,0,0,11,0
1095,2,7,0,0,10,0
1096,7,40,0,0,31,0
1097,5,18,0,0,24,0
1098,1,3,0,0,6,0
1099,2,5,0,0,6,0
1100,3,12,0,0,12,0
1101,1,5,0,0,4,0
1102,1,3,0,0,4,0
1103,2,14,0,0,15,0
1104,2,5,0,0,6,0
1105,2,9,0,0,12,0
1106,4,16,0,0,18,0
1107,1,5,0,0,8,0
1108,3,17,0,0,17,0
1109,2,18,0,0,20,0
1110,2,12,0,0,19,0
1111,1,35,0,0,57,0
1112,1,5,0,0,7,0
1113,2,6,0,0,8,0
1114,1,13,0,0,14,0
1115,4,17,0,0,21,0
1116,1,5,0,0,6,0
1117,1,5,0,0,6,0
1118,1,5,0,0,6,0
1119,3,16,0,0,17,0
1120,4,21,0,0,33,0
1121,1,3,0,0,5,0
1122,3,11,0,0,12,0
1123,1,3,0,0,4,0
1124,4,14,0,0,26,0
1125,1,5,0,3,20,0
1126,4,14,0,0,18,0
1127,2,6,0,0,7,0
1128,4,18,0,0,21,0
1129,2,7,0,0,13,0
1130,2,5,0,0,6,0
1131,4,12,0,0,13,0
1132,2,14,0,0,15,0
1133,2,7,0,0,8,0
1134,2,51,0,0,71,0
1135,7,44,0,0,62,0
1136,2,7,0,0,8,0
1137,8,23,0,0,27,0
1138,6,21,0,0,21,0
1139,2,11,0,0,12,0
1140,3,13,0,0,15,0
1141,2,8,0,0,9,0
1142,5,22,0,0,25,0
1143,1,4,0,0,5,0
1144,2,7,0,0,8,0
1145,3,10,0,0,11,0
1146,1,3,0,0,4,0
1147,1,5,0,0,6,0
1148,1,4,0,0,5,0
1149,2,7,0,0,8,0
1150,1,22,0,0,24,0
1151,1,3,0,0,50,0
1152,7,30,1,0,19,0
1153,8,41,0,0,48,0
1154,1,3,0,0,4,0
1155,1,17,0,0,33,0
1156,6,19,0,0,21,0
1157,3,14,0,0,10,0
1158,2,5,0,0,7,0
1159,7,25,0,0,24,0
1160,2,19,0,0,25,0
1161,1,4,1,0,9,0
1162,7,19,0,0,20,0
1163,3,9,0,0,11,0
1164,1,4,0,0,5,0
1165,1,3,0,0,5,0
1166,2,10,0,0,10,0
1167,1,22,0,0,34,0
1168,1,3,0,0,5,0
1169,2,7,0,0,9,0
1170,5,21,0,0,23,0
1171,1,3,0,0,5,0
1172,2,6,0,0,7,0
1173,3,9,0,0,10,0
1174,5,21,0,0,23,0
1175,2,11,1,0,12,0
1176,2,19,0,0,19,0
1177,2,6,0,0,7,0
1178,4,15,0,0,21,0
1179,1,5,0,0,6,0
1180,6,22,0,0,22,0
1181,2,5,0,0,7,0
1182,4,13,0,0,20,0
1183,2,6,0,0,7,0
1184,3,8,0,0,9,0
1185,1,25,0,0,27,0
1186,1,4,0,0,5,0
1187,1,3,0,0,5,0
1188,4,13,0,0,14,0
1189,2,6,0,0,8,0
1190,2,7,0,0,8,0
1191,5,25,0,0,26,0
1192,5,20,0,0,17,0
1193,1,4,0,0,6,0
1194,2,8,0,0,9,0
1195,1,4,0,0,5,0
1196,3,16,0,1,22,0
1197,1,12,0,0,16,0
1198,1,5,0,0,6,0
1199,1,3,0,0,6,0
1200,1,7,0,0,11,0
1201,2,19,0,0,24,0
1202,1,9,0,0,5,0
1203,1,3,0,0,4,0
1204,4,7,0,0,9,0
1205,1,4,0,0,5,0
1206,2,7,0,0,8,0
1207,4,11,0,0,12,0
1208,2,5,0,0,6,0
1209,1,5,0,0,14,0
1210,3,11,0,0,12,0
1211,4,16,0,0,21,0
1212,2,9,0,0,10,0
1213,3,10,0,0,11,0
1214,2,5,0,0,5,0
1215,2,8,0,0,9,1
1216,3,22,0,0,24,1
1217,2,8,0,0,11,0
1218,2,5,0,0,6,0
1219,1,8,0,0,9,0
1220,3,10,0,0,11,0
1221,4,23,0,0,27,1
1222,12,56,0,0,52,0
1223,4,12,0,0,15,0
1224,1,6,0,0,7,0
1225,1,3,0,0,4,0
1226,2,8,0,0,12,0
1227,3,18,0,0,30,0
1228,2,3,0,0,5,0
1229,2,7,0,0,10,0
1230,1,3,0,0,4,0
1231,2,6,0,0,7,0
1232,5,18,0,0,23,1
1233,1,3,0,0,4,0
1234,15,70,0,0,85,0
1235,1,4,0,0,5,0
1236,5,19,0,0,22,0
1237,7,19,0,0,26,0
1238,1,5,0,0,6,0
1239,2,15,0,0,23,2
1240,2,7,0,0,8,0
1241,3,9,0,0,10,0
1242,3,9,0,0,8,0
1243,1,3,0,0,4,0
1244,1,4,0,0,5,0
1245,2,6,0,0,7,0
1246,2,7,0,0,8,0
1247,3,18,0,0,19,0
1248,2,7,0,0,10,0
1249,4,17,0,0,14,0
1250,1,3,0,0,4,0
1251,8,25,0,0,11,0
1252,3,12,0,0,14,0
1253,2,9,0,0,11,0
1254,2,7,0,0,8,0
1255,7,24,0,0,23,0
1256,11,56,0,0,61,0
1257,2,7,0,0,8,0
1258,1,3,0,0,4,0
1259,3,10,0,0,12,0
1260,2,7,0,0,8,0
1261,4,16,0,0,10,0
1262,2,9,0,0,11,0
1263,1,3,0,0,4,0
1264,2,10,0,0,13,0
1265,3,9,0,0,11,0
1266,1,6,3,0,10,0
1267,1,5,0,0,6,0
1268,2,8,0,0,9,0
1269,1,8,0,0,10,0
1270,1,6,0,0,11,0
1271,4,10,0,0,11,0
1272,1,17,0,0,18,1
1273,2,14,0,0,15,0
1274,2,6,0,0,7,0
1275,1,3,0,0,8,0
1276,2,8,0,0,10,0
1277,2,5,0,0,6,0
1278,3,15,0,0,22,0
1279,1,4,0,0,5,0
1280,1,9,0,0,12,0
1281,3,10,0,0,11,0
1282,1,3,0,0,4,0
1283,2,6,0,0,7,0
1284,1,37,0,0,62,0
1285,5,26,0,0,35,1
1286,9,42,0,0,40,1
1287,1,31,0,0,39,2
1288,2,4,0,0,5,0
1289,1,3,0,0,4,0
1290,3,14,0,0,16,0
1291,2,3,0,0,9,0
1292,8,38,0,0,48,0
1293,4,16,0,0,26,0
1294,2,8,0,0,10,0
1295,1,5,0,0,6,0
1296,2,8,0,0,9,0
1297,6,21,0,0,28,0
1298,2,7,0,0,10,0
1299,2,8,0,0,9,0
1300,6,15,0,0,20,0
1301,2,5,0,0,6,0
1302,2,8,0,0,12,0
1303,3,12,0,0,12,0
1304,1,7,0,0,8,0
1305,3,7,0,0,8,0
1306,1,5,0,0,6,0
1307,1,6,0,0,10,0
1308,3,9,0,0,13,0
1309,1,12,0,0,14,0
1310,3,13,0,0,14,0
1311,2,4,0,0,6,0
1312,6,36,0,0,43,0
1313,4,15,0,0,17,0
1314,1,9,0,0,10,0
1315,7,24,0,0,27,0
1316,2,9,0,0,13,0
1317,2,11,0,0,12,0
1318,1,4,0,0,5,0
1319,2,5,0,0,7,0
1320,1,3,0,0,4,0
1321,2,7,0,0,8,0
1322,2,6,0,0,7,0
1323,1,3,0,0,7,0
1324,6,27,0,0,43,0
1325,4,12,0,0,15,0
1326,3,8,0,0,9,0
1327,1,8,0,0,10,0
1328,2,8,0,0,9,0
1329,1,11,0,0,11,0
1330,1,6,0,0,7,0
1331,7,32,0,0,40,0
1332,4,14,0,0,15,0
1333,2,10,0,0,14,0
1334,33,117,0,0,143,0
1335,1,3,0,0,4,0
1336,2,6,0,0,7,0
1337,3,18,0,0,23,0
1338,1,3,0,0,4,0
1339,1,5,0,1,7,0
1340,1,6,0,0,11,0
1341,1,4,0,0,5,0
1342,1,6,0,0,13,0
1343,1,3,0,0,4,0
1344,1,6,0,0,7,0
1345,7,39,0,0,55,0
1346,1,4,0,0,10,0
1347,3,17,0,0,22,0
1348,2,8,0,0,12,0
1349,2,7,0,0,8,0
1350,3,13,0,0,16,0
1351,5,14,0,0,18,0
1352,1,4,0,0,5,0
1353,2,17,0,0,26,0
1354,1,6,0,0,7,0
1355,8,40,0,0,39,0
1356,2,5,0,0,6,0
1357,1,6,0,0,9,0
1358,5,20,0,0,18,0
1359,1,3,0,0,4,0
1360,2,6,0,0,7,0
1361,1,3,0,0,4,0
1362,2,11,0,0,15,0
1363,8,20,0,0,13,0
1364,3,9,0,0,10,0
1365,15,38,0,0,39,1
1366,5,31,0,0,37,0
1367,2,7,0,0,12,0
1368,2,9,0,0,13,0
1369,6,16,0,0,15,0
1370,2,10,0,0,13,0
1371,1,3,0,0,4,0
1372,1,10,0,0,10,0
1373,3,11,0,0,13,0
1374,3,10,0,0,25,0
1375,1,3,0,0,4,0
1376,1,3,0,0,4,0
1377,3,10,0,0,18,0
1378,12,29,0,0,44,0
1379,2,5,0,0,6,0
1380,1,7,0,0,8,0
1381,3,11,0,0,12,0
1382,2,3,0,0,7,0
1383,6,20,0,0,23,0
1384,3,7,0,0,10,0
1385,5,44,0,0,45,0
1386,1,5,0,0,5,0
1387,4,50,0,0,51,0
1388,1,5,1,3,10,0
1389,10,37,0,0,32,1
1390,1,3,0,0,4,0
1391,1,3,0,0,4,0
1392,2,8,0,0,11,1
1393,1,4,1,0,6,0
1394,1,5,0,0,6,0
1395,11,53,0,0,55,0
1396,6,24,0,0,27,0
1397,2,14,0,0,19,0
1398,1,5,0,0,6,0
1399,1,3,0,0,4,0
1400,1,5,0,0,4,0
1401,9,39,0,0,39,0
1402,1,4,0,0,5,0
1403,2,7,0,0,12,0
1404,4,15,0,0,17,0
1405,6,17,0,0,42,0
1406,1,3,0,0,5,0
1407,1,5,0,0,6,0
1408,3,8,0,0,9,0
1409,4,17,0,0,16,0
1410,2,5,0,0,6,0
1411,1,3,0,0,6,2
1412,3,24,1,0,51,0
1413,11,67,0,0,96,2
1414,1,7,0,0,15,0
1415,2,6,0,0,8,0
1416,1,5,0,0,6,0
1417,3,12,0,0,16,0
1418,1,3,0,0,5,0
1419,2,8,0,0,9,0
1420,2,7,0,0,8,0
1421,3,10,0,0,13,0
1422,2,10,0,0,14,0
1423,6,18,0,0,21,2
1424,5,28,0,0,27,0
1425,4,12,0,0,13,0
1426,3,8,0,0,15,0
1427,6,18,0,0,15,0
1428,1,4,0,0,5,0
1429,2,9,0,0,9,0
1430,1,5,5,0,11,0
1431,3,14,0,0,18,0
1432,1,3,0,0,4,0
1433,2,11,0,0,12,0
1434,8,27,0,0,35,0
1435,1,3,0,0,8,0
1436,5,14,0,0,12,0
1437,1,3,0,0,4,0
1438,1,7,4,0,10,0
1439,1,7,0,0,8,0
1440,2,20,0,0,21,0
1441,2,8,0,0,9,0
1442,1,7,3,0,8,0
1443,4,10,0,0,11,0
1444,1,8,0,0,10,0
1445,1,3,0,0,6,0
1446,1,5,0,0,6,0
1447,1,3,0,0,7,0
1448,3,8,0,0,11,0
1449,2,10,0,0,14,0
1450,10,31,0,0,41,0
1451,2,15,0,0,16,1
1452,1,3,0,0,4,0
1453,19,66,0,0,95,0
1454,3,14,0,0,15,0
1455,6,30,1,0,32,1
1456,2,7,0,0,27,0
1457,1,4,0,0,5,0
1458,5,24,0,0,30,0
1459,2,7,0,0,8,0
1460,7,23,0,0,24,1
1461,3,6,0,0,8,0
1462,3,11,0,0,16,0
1463,3,17,0,0,19,0
1464,6,11,0,0,13,0
1465,1,3,0,0,6,0
1466,1,6,0,0,7,0
1467,2,8,0,0,9,0
1468,2,7,0,0,9,0
1469,9,31,0,0,46,0
1470,3,45,0,0,37,0
1471,1,5,0,0,6,0
1472,2,8,0,0,9,0
1473,1,3,0,0,5,0
1474,15,65,0,0,127,2
1475,10,81,0,0,79,0
1476,6,36,0,0,45,0
1477,2,11,0,0,11,0
1478,1,3,0,0,4,0
1479,2,4,0,0,5,0
1480,3,9,0,0,10,0
1481,9,47,0,0,51,0
1482,3,10,0,0,11,0
1483,2,6,0,0,7,0
1484,1,3,0,0,8,0
1485,1,12,0,0,13,0
1486,3,9,0,0,8,0
1487,2,7,0,0,8,0
1488,2,6,0,0,7,0
1489,2,6,0,0,8,0
1490,2,6,0,0,7,0
1491,2,16,0,0,11,0
1492,11,46,0,0,49,0
1493,2,9,0,0,9,0
1494,1,4,0,0,5,0
1495,1,4,0,0,5,0
1496,2,31,0,0,45,0
1497,3,8,0,0,9,0
1498,4,11,0,0,12,0
1499,1,8,0,0,9,0
1500,4,13,0,0,14,0
1501,1,3,0,0,4,0
1502,1,12,0,0,14,0
1503,11,44,0,0,71,1
1504,1,15,0,0,17,0
1505,10,51,0,0,63,1
1506,2,14,0,0,15,0
1507,2,9,0,0,13,0
1508,2,15,0,0,16,0
1509,8,29,0,0,33,0
1510,4,34,0,0,24,0
1511,3,6,0,0,7,0
1512,1,6,0,0,7,0
1513,1,5,0,0,6,0
1514,1,3,0,0,4,0
1515,1,6,0,0,7,0
1516,1,5,0,0,6,0
1517,5,22,0,0,22,1
1518,1,6,0,0,7,0
1519,9,40,0,0,45,0
1520,3,8,0,0,8,0
1521,1,7,0,0,14,0
1522,1,3,0,0,5,0
1523,1,4,0,0,5,0
1524,3,12,0,0,10,0
1525,5,19,0,0,20,0
1526,2,7,0,0,5,0
1527,3,10,0,0,11,0
1528,2,11,0,0,13,0
1529,3,13,0,0,15,0
1530,6,26,1,0,38,1
1531,5,3,0,0,7,0
1532,1,3,0,0,4,0
1533,2,10,0,0,11,0
1534,4,15,0,0,10,0
1535,3,24,0,0,28,0
1536,3,8,0,0,12,0
1537,1,7,0,0,8,0
1538,10,34,0,0,44,1
1539,1,16,0,0,17,0
1540,1,4,0,0,10,0
1541,9,65,0,0,66,0
1542,1,4,0,0,5,0
1543,1,4,0,0,5,0
1544,3,10,0,0,22,0
1545,3,16,0,0,17,0
1546,7,35,0,0,40,0
1547,1,4,0,0,8,0
1548,2,6,0,0,8,0
1549,1,5,0,0,6,0
1550,2,8,0,0,11,0
1551,6,25,0,0,26,0
1552,18,91,0,0,128,0
1553,2,10,0,0,11,0
1554,4,14,0,0,13,0
1555,5,16,0,0,20,0
1556,1,5,0,0,6,0
1557,1,5,0,0,6,0
1558,1,3,0,0,4,0
1559,10,23,0,0,46,0
1560,17,56,0,0,62,0
1561,1,4,0,0,5,0
1562,4,9,0,0,10,0
1563,2,6,0,0,7,0
1564,2,17,0,0,20,0
1565,3,18,0,0,21,0
1566,6,17,0,0,24,0
1567,8,44,0,0,50,0
1568,4,15,0,0,16,0
1569,1,6,0,0,7,0
1570,1,6,0,0,7,0
1571,1,8,0,0,10,0
1572,2,23,0,0,26,0
1573,2,7,0,0,10,0
1574,3,10,0,0,12,0
1575,8,34,0,0,335,0
1576,3,11,0,0,12,0
1577,7,30,0,0,42,0
1578,2,6,0,0,11,0
1579,3,15,0,0,16,0
1580,3,8,0,0,9,0
1581,2,8,0,0,9,0
1582,1,6,0,0,7,0
1583,1,3,0,0,4,0
1584,1,6,0,0,7,0
1585,5,11,0,0,29,0
1586,6,28,0,0,29,0
1587,7,27,0,0,29,0
1588,2,8,0,0,12,0
1589,3,11,0,0,12,0
1590,3,17,0,0,20,0
1591,2,10,0,0,12,0
1592,5,22,0,0,20,0
1593,1,32,0,0,33,0
1594,3,10,0,0,11,0
1595,3,13,0,0,31,0
1596,4,12,0,0,15,0
1597,2,7,0,0,8,0
1598,2,9,0,0,10,0
1599,18,66,0,0,87,0
1600,3,19,0,0,23,0
1601,1,13,0,0,14,0
1602,7,26,0,0,27,0
1603,5,25,0,0,27,0
1604,4,13,0,0,10,0
1605,22,77,0,0,97,0
1606,6,24,0,0,27,0
1607,4,15,0,0,29,0
1608,1,7,0,0,9,0
1609,2,13,0,0,19,0
1610,1,5,0,0,4,0
1611,2,6,0,0,8,0
1612,4,6,0,0,9,0
1613,2,11,0,0,13,0
1614,2,6,0,0,7,0
1615,2,3,0,0,4,0
1616,2,14,0,0,15,0
1617,1,3,0,0,4,0
1618,3,18,0,0,23,0
1619,15,98,0,0,97,0
1620,1,5,0,0,6,0
1621,2,7,0,0,11,0
1622,2,8,0,0,9,0
1623,1,4,0,0,5,0
1624,2,10,0,0,12,0
1625,1,12,0,0,13,0
1626,1,4,0,0,5,0
1627,2,10,0,0,11,0
1628,2,8,0,0,9,0
1629,4,14,0,0,17,0
1630,6,21,0,0,66,0
1631,2,12,0,0,13,0
1632,3,11,0,0,13,0
1633,1,12,0,0,16,0
1634,1,3,0,0,4,0
1635,2,6,0,0,7,0
1636,1,4,0,0,6,0
1637,2,7,0,0,8,0
1638,1,4,0,0,5,0
1639,3,17,0,0,26,0
1640,1,4,0,0,9,0
1641,9,39,0,0,45,0
1642,1,12,0,0,13,0
1643,1,4,0,0,4,0
1644,1,24,0,0,26,0
1645,3,8,0,0,9,0
1646,1,3,0,0,4,0
1647,2,10,0,0,13,0
1648,1,3,0,0,4,0
1649,3,22,0,0,33,0
1650,11,39,0,0,49,0
1651,3,12,0,0,13,0
1652,1,4,0,0,5,0
1653,1,3,0,0,4,0
1654,1,4,0,0,8,0
1655,3,9,0,0,10,0
1656,2,8,0,0,9,0
1657,5,13,0,0,14,0
1658,2,8,0,0,9,0
1659,2,6,0,0,10,0
1660,3,13,0,0,13,0
1661,12,32,0,0,33,0
1662,7,31,0,0,29,0
1663,3,10,0,0,12,0
1664,2,6,0,0,7,0
1665,2,6,0,0,6,0
1666,7,26,0,0,27,0
1667,1,5,0,0,7,0
1668,6,11,0,0,12,0
1669,5,14,0,0,16,1
1670,1,5,0,0,5,0
1671,2,7,0,0,8,0
1672,5,21,0,0,27,0
1673,3,5,0,0,6,0
1674,2,7,0,0,8,0
1675,2,8,0,0,11,0
1676,1,6,0,0,6,0
1677,2,15,0,0,15,0
1678,2,13,1,0,14,0
1679,1,3,0,0,4,0
1680,2,9,0,0,14,0
1681,2,6,0,0,9,0
1682,1,10,0,0,11,0
1683,3,8,0,0,10,0
1684,1,6,0,0,7,0
1685,2,5,0,0,7,0
1686,7,18,0,0,19,0
1687,5,8,0,0,8,0
1688,2,6,0,0,8,0
1689,5,21,0,0,22,0
1690,2,9,0,0,14,0
1691,1,4,0,0,5,0
1692,2,8,0,0,10,0
1693,3,10,0,0,19,0
1694,1,3,0,0,4,0
1695,2,8,0,0,50,0
1696,1,12,0,0,16,0
1697,2,3,0,0,6,0
1698,1,10,0,0,11,0
1699,1,6,0,0,7,0
1700,8,26,0,0,30,0
1701,1,11,0,0,12,0
1702,3,9,0,0,10,0
1703,2,7,0,0,8,0
1704,4,24,0,0,25,0
1705,1,5,0,0,6,0
1706,3,10,0,0,12,0
1707,2,7,0,0,6,0
1708,1,4,0,0,5,0
1709,1,8,0,0,9,0
1710,3,10,0,0,17,0
1711,2,8,0,0,10,0
1712,2,6,0,0,7,0
1713,1,5,0,0,6,0
1714,2,9,0,0,10,0
1715,1,3,0,0,6,0
1716,1,3,0,0,10,0
1717,11,30,0,0,31,0
1718,6,20,0,0,27,0
1719,2,21,0,0,11,0
1720,3,10,0,0,11,0
1721,3,13,0,0,15,0
1722,1,3,0,0,4,0
1723,3,11,0,0,14,0
1724,5,19,0,0,26,0
1725,2,5,0,0,6,0
1726,1,3,0,0,4,0
1727,20,45,0,0,46,0
1728,2,11,0,0,12,0
1729,1,3,0,0,7,0
1730,2,6,0,0,4,0
1731,3,9,0,0,10,0
1732,1,8,0,0,9,0
1733,4,17,0,0,23,0
1734,3,11,0,0,12,0
1735,3,9,0,0,11,0
1736,1,5,0,0,6,0
1737,3,12,0,0,13,0
1738,4,10,0,0,11,0
1739,1,5,0,0,6,0
1740,1,3,0,0,4,0
1741,13,27,0,0,34,0
1742,5,17,0,0,18,0
1743,6,22,0,0,27,0
1744,2,7,0,0,12,0
1745,16,56,0,0,57,0
1746,4,12,0,0,14,0
1747,4,20,0,0,24,0
1748,2,8,0,0,9,0
1749,12,36,0,0,46,0
1750,2,7,0,0,8,0
1751,3,5,0,0,8,0
1752,1,24,0,0,21,0
1753,10,53,0,0,68,0
1754,5,21,0,0,26,1
1755,1,4,0,0,4,0
1756,2,6,0,0,7,0
1757,1,12,0,0,13,0
1758,3,13,0,0,14,0
1759,2,12,0,0,15,0
1760,1,12,0,0,16,0
1761,2,9,0,0,10,0
1762,10,42,0,0,58,2
1763,2,9,0,0,9,0
1764,1,6,0,0,40,0
1765,2,6,0,0,7,0
1766,1,5,0,0,6,0
1767,3,13,0,0,12,0
1768,3,13,0,0,19,0
1769,8,44,0,0,28,1
1770,2,8,0,0,5,0
1771,2,8,0,0,10,0
1772,7,33,0,0,41,0
1773,1,10,0,0,14,0
1774,4,22,0,0,18,0
1775,2,8,0,0,9,0
1776,5,26,0,0,25,0
1777,1,6,0,0,7,0
1778,1,5,0,0,6,0
1779,1,3,0,0,4,0
1780,1,21,0,0,33,0
1781,5,18,0,0,19,0
1782,1,4,0,0,5,0
1783,2,5,0,0,6,0
1784,2,7,0,0,8,0
1785,1,5,0,0,5,0
1786,6,16,0,0,12,0
1787,3,29,0,0,36,0
1788,2,4,0,0,4,0
1789,3,10,0,0,12,0
1790,4,13,0,0,14,0
1791,1,4,0,0,5,0
1792,1,11,0,0,12,0
1793,2,8,0,0,9,0
1794,3,11,0,0,12,0
1795,1,6,0,0,7,0
1796,21,66,0,0,71,0
1797,2,13,0,0,15,0
1798,2,6,0,0,7,0
1799,1,6,0,0,7,0
1800,1,8,0,0,14,0
1801,74,302,0,0,368,0
1802,6,14,0,0,15,0
1803,2,6,0,0,6,0
1804,1,37,0,0,40,0
1805,2,9,0,0,12,0
1806,6,33,0,0,24,0
1807,3,9,0,0,10,0
1808,1,4,0,0,5,0
1809,1,3,0,0,6,0
1810,13,68,0,0,74,0
1811,4,12,0,0,13,0
1812,1,6,0,0,6,0
1813,1,4,0,0,7,0
1814,2,9,0,0,7,0
1815,6,38,0,0,39,0
1816,1,4,0,0,5,0
1817,3,9,0,0,10,0
1818,2,9,0,0,10,0
1819,6,27,0,0,24,0
1820,1,7,0,0,8,2
1821,5,22,0,0,23,0
1822,4,17,0,0,11,0
1823,5,16,0,0,17,0
1824,6,30,0,0,30,0
1825,1,3,0,0,4,0
1826,2,7,0,0,8,0
1827,4,18,0,0,23,1
1828,2,7,0,0,8,0
1829,3,9,0,0,10,0
1830,1,11,0,0,12,0
1831,1,4,0,0,5,0
1832,2,7,0,0,8,0
1833,5,24,0,0,27,0
1834,2,7,0,0,9,0
1835,2,5,0,0,7,0
1836,3,8,0,0,9,0
1837,4,24,0,0,29,0
1838,2,7,0,0,8,0
1839,7,15,0,0,22,0
1840,1,3,0,0,4,0
1841,1,4,0,0,7,0
1842,3,13,0,0,14,0
1843,2,15,0,0,15,0
1844,14,75,0,0,100,0
1845,2,8,0,0,43,0
1846,4,11,0,0,13,0
1847,3,12,0,0,18,0
1848,1,4,0,0,13,0
1849,3,10,0,0,15,0
1850,1,4,0,0,8,0
1851,2,12,0,0,14,0
1852,1,3,0,0,4,0
1853,9,36,0,0,30,0
1854,8,29,0,0,30,0
1855,1,8,0,0,15,0
1856,1,3,0,0,4,0
1857,2,10,0,0,11,0
1858,3,20,0,0,20,0
1859,5,16,0,0,26,0
1860,2,91,0,0,58,0
1861,1,4,0,0,5,0
1862,1,6,0,0,7,0
1863,11,47,0,0,52,0
1864,1,3,0,0,4,0
1865,1,5,0,0,5,0
1866,4,22,0,0,28,0
1867,4,23,0,0,27,0
1868,1,8,0,0,13,0
1869,7,22,0,0,32,1
1870,5,22,0,0,21,0
1871,1,12,0,0,11,0
1872,1,4,0,0,6,0
1873,2,7,0,0,10,0
1874,2,5,0,0,6,0
1875,2,7,0,0,9,0
1876,3,10,0,0,13,0
1877,1,8,0,0,10,0
1878,1,22,0,0,23,0
1879,2,6,0,0,7,0
1880,1,12,0,0,18,0
1881,11,25,0,0,16,1
1882,3,14,0,0,35,0
1883,4,24,0,0,32,0
1884,1,4,0,0,5,0
1885,2,5,0,0,6,0
1886,3,13,0,0,14,0
1887,4,20,0,0,138,0
1888,4,16,0,0,19,0
1889,4,20,0,0,26,0
1890,9,33,0,0,42,0
1891,2,5,0,0,7,0
1892,12,61,0,0,46,0
1893,1,4,0,0,5,0
1894,2,9,1,0,17,0
1895,9,49,1,0,35,0
1896,1,3,0,0,4,0
1897,2,4,0,0,4,0
1898,4,12,0,0,13,0
1899,7,48,0,0,47,0
1900,9,28,0,0,29,0
1901,8,27,0,0,29,0
1902,2,7,0,0,8,0
1903,1,7,0,0,8,0
1904,3,12,0,0,13,0
1905,1,3,0,0,4,0
1906,9,30,0,0,34,0
1907,1,4,0,0,5,0
1908,3,12,0,0,15,0
1909,1,3,0,0,4,0
1910,10,39,0,0,47,0
1911,1,10,0,0,17,0
1912,2,12,0,0,13,0
1913,4,22,0,0,23,0
1914,1,5,0,0,9,0
